,folio_Bamberg,lemma_id,lemma_Bamberg,gloss_id_Bamberg,gloss_Bamberg,gloss_type_Bamberg,gloss_form_Bamberg,nature,marginal_note_id_Bamberg,marginal_note_type_Bamberg,marginal_note_form_Bamberg,folio_Lat7499,lemma_Lat7499,gloss_id_Lat7499,gloss_Lat7499,gloss_type_Lat7499,gloss_form_Lat7499,marginal_note_id_Lat7499,marginal_note_type_Lat7499,marginal_note_form_Lat7499
28,71r,p447_l11_o07,opusculũ ,p447_l11_o07_a,libellũ hunc,S53,F3,normal,,,,73r,opusculum ,p447_l11_o07_a,paruũ opꝰ ł libellũ hunc,S23,F4,,,
29,71r,p447_l12_o02,discernendas ,p447_l12_o02_a,distinguendas,S22,F2,normal,,,,73r,discernendas ,p447_l12_o02_a,distinguendas separandas,S22,F3,,,
30,71r,p447_l12_o08,inclusi ,p447_l12_o08_a,cõp̃hendi,S22,F2,normal,p447_l12_o08_b,S22,F2,73r,inclusi ,p447_l12_o08_a,ꝑstrinxi consũmaui cõp̃henid,S22,F3,,,
31,71r,p447_l12_o09,quorũ ,p447_l12_o09_a,sb̶ librorũ,S3232,F2,normal,,,,73r,Quorum ,p447_l12_o09_a,.s. librorũ,S3232,F2,,,
32,71r,p447_l13_o02,obseruationib; ,p447_l13_o02_a,regulis,S22,F2,normal,,,,73r,obseruationib; ,p447_l13_o02_a,regulis,S22,F2,,,
33,71r,p447_l13_o03,instruit᷑ ,p447_l13_o03_a,disponit᷑ ORDIN ͣ ͭ ͧ ͬ,S22,F3,normal,,,,73r,instruit᷑ ,p447_l13_o03_a,ordinat᷑ et disponit᷑,S22,F3,,,
34,71r,p447_l13_o04,generalibus ,p447_l13_o04_a,cõmunib,S22,F2,normal,,,,73r,generalib ,p447_l13_o04_a,cõmunib,S22,F2,,,
35,71r,p447_l13_o06,indicio ,p447_l13_o06_a,agnitione,S22,F2,normal,,,,73r,inditio ,p447_l13_o06_a,signo Agnitione :,S22,F3,,,
36,71r,p447_l13_o07,finalitatis ,p447_l13_o07_a,TERMINA ͭ ͥ ͦ ᷠ ͥ ᷤ,S22,F3,shorthand,,,,73r,finalitatis ,p447_l13_o07_a,t̃minationis,S22,F2,,,
37,71r,p447_l14_o01,speciales ,p447_l14_o01_a,singulares PROP ͬ ͥ ͧ ͫ,S22,F3,normal,,,,73r,spetiales ,p447_l14_o01_a,singulares & ꝓpͥas,S22,F3,,,
38,71r,p447_l14_o02,exsequit᷑ ,p447_l14_o02_a,c̃seꝗt᷑ c̃tin&,S22,F3,normal,,,,73r,exequit᷑ ,p447_l14_o02_a,÷ cseqͥt᷑  ualde seqͥt᷑ contin&,S23,F3,p447_l14_o02_b,S4181,F5
39,71r,p447_l17_o02,quidem ,p447_l17_o02_a,causa ł c̃iunctio,S35,F3,normal,,,,73r,QUIDEM ,p447_l17_o02_a,causa ł c̃iunctio,S35,F3,,,
40,71r,p447_l17_o08,Vna ,p447_l17_o08_a,PRO pͥma PON ͥ ͭ ͧ ͬ,S53,F4,normal,,,,73r,VNA ,p447_l17_o08_a,ꝓ pͥma ponit᷑,S53,F4,p447_l17_o08_b,S53,F5
41,71r,p447_l18_o01,carens ,p447_l18_o01_a,ñ habens,S23,F3,normal,,,,73r,CARENS ,p447_l18_o01_a,÷ caret ac/centu in fine,S23,F4,,,
42,71r,p447_l18_o05,barutonos ,p447_l18_o05_a,bari apud g̃cos dr̃ grauis tonos accentꝰ inde/baritonos id ÷ grauis accentus,S211,F4,normal,,,,73r,ΒΑΡΙΤΟΝΑ ,p447_l18_o05_a,grauisona,S211,F2,,,
43,71r,p447_l18_o07,eis ,p447_l18_o07_a,SUBAUD ͥ ͭ ͧ ͬ gręcis,S3232,F3,normal,,,,73r,eis ,p447_l18_o07_a,.s. grecis,S3232,F2,,,
44,71r,p447_l18_o09,quę ,p447_l18_o09_a,sb̶ pͥma species CONIUGA ͭ ͥ ͦ ᷠ ͥ ᷤ,S3232,F4,normal,,,,73r,Quę ,p447_l18_o09_a,in pͥma spetie c̃tinent᷑ .VI. c̃iugationes carentes accentu in fine :,S53,F4,,,
45,71r,p448_l01_o06,sex ,,,,,,p448_l01_o06_a,S64,F4,73r,sex ,p448_l01_o06_a,.s. speties coniugationũ,S53,F3,,,
46,71r,p448_l01_o08,significat ,p448_l01_o08_a,demonstrat,S22,F2,normal,,,,73r,significat ,p448_l01_o08_a,declarat / demonstrat,S22,F3,,,
47,71r,p448_l01_o09,Alia ,p448_l01_o09_a,sb̶ species CONIUGA ͭ ͥ ͦ ᷠ ͥ ᷤ,S3232,F3,normal,p448_l01_o09_b,S53,F4,73r,Alia ,p448_l01_o09_a,ẽ alia scđa ponit᷑ : scđa dr̃  seꝗt᷑ tertia : / ꝓnom̃ ordinis,S53,F4,,,
48,71r,p448_l02_o04,ꝓlata ,p448_l02_o04_a,enuntiata,S22,F2,normal,,,,73r,ꝓlata  ,p448_l02_o04_a,narrata / ꝓnuntiata / enuntiata,S22,F3,,,
49,71r,p448_l02_o06,eos ,p448_l02_o06_a,sb̶ gręcos,S3232,F2,normal,,,,73r,eos ,p448_l02_o06_a,÷ grecos,S3232,F2,,,
50,71r,p448_l02_o08,ꝑispomene ,p448_l02_o08_a,peri DIC ͥ ͭ ͧ ͬ circũ UNDE perispomene IDEST CIRCUM FLEXIBILIS,S211,F4,normal,,,,73r,ΠΕΡΙCΠΩΜΕΝΗ ,p448_l02_o08_a,cirũflexibils; ΠΕΡΙCΠΩ ÷ circũfleto/ΠΕΡΙ dr̃ circũ unde perispomę / ne circũflexis accentꝰ,S211,F4,,,
51,71r,p448_l04_o03,t̃tia ,p448_l04_o03_a,sb̶ species CONIUGA ͭ ͥ ͦ ᷠ ͥ ᷤ,S53,F4,normal,,,,73r,tertia ,p448_l04_o03_a,.s. species coniugationũ,S53,F3,,,
52,71r,p448_l04_o10,t̃minatione ,p448_l04_o10_a,instu?cia que nobis uult,S53,F4,normal,,,,73r,desinentẽ ,p448_l04_o10_a,finientem; ista t̃tia speties uocat᷑ .ω. desinens,S53,F4,,,
53,71r,p448_l04_o11,dicunt ,p448_l04_o11_a,sb̶ gręci,S415,F2,normal,,,,73r,dicunt ,p448_l04_o11_a,.s. ipsi greci : in multis enĩ reguł : obseruationes gre / corũ seruamus : et in multis caremꝰ,S53,F4,,,
54,71r,p448_l05_o06,habent ,p448_l05_o06_a,sb̶ gręci,S415,F2,normal,,,,73r,habeant ,p448_l05_o06_a,greci,S53,F2,,,
55,71r,p448_l06_o05,prorsus ,p448_l06_o05_a,omnino,S22,F2,normal,,,,73r,ꝓrsus ,p448_l06_o05_a,certe om̃ino,S22,F3,,,
56,71r,p448_l07_o01,indicia ,p448_l07_o01_a,signa,S22,F2,normal,,,,73r,inditia ,p448_l07_o01_a,signa,S22,F2,p448_l07_o01_b,S53,F5
57,71r,p448_l07_o03,iterũ ,p448_l07_o03_a,SUBAUD ͥ ͭ ͧ ͬ VID ͤ ᷠ ͭ ͧ ͬ,S53,F2,normal,,,,73r,iterum ,p448_l07_o03_a,.s. uident᷑,S53,F2,,,
58,71r,p448_l07_o05,penitꝰ ,p448_l07_o05_a,funditꝰ,S22,F2,normal,,,,73r,penitus ,p448_l07_o05_a,funditꝰ ꝑietũ,S23,F3,,,
59,71r,p448_l07_o06,omĩb; ,p448_l07_o06_a,sb̶ indiciis,S53,F2,normal,,,,73r,om̃ib; ,p448_l07_o06_a,inditiis,S53,F2,,,
60,71r,p448_l08_o02,uident᷑ ,p448_l08_o02_a,sb̶ latini,S415,F2,normal,,,,73r,uident᷑ ,p448_l08_o02_a,.s. latini,S53,F2,,,
61,71r,p448_l08_o03,imitari ,p448_l08_o03_a,sequi,S22,F2,normal,,,,73r,imitari ,p448_l08_o03_a,seqͥ assimilari,S22,F3,,,
62,71r,p448_l08_o05,t̃minalẽ ,p448_l08_o05_a,finalẽ,S22,F2,normal,,,,73r,terminalem ,p448_l08_o05_a,finalem,S22,F2,,,
63,71r,p448_l08_o08-09,in-plerisq; ,p448_l08_o08-09_a,in multis modis,S53,F3,normal,,,,73r,in plerisq ,p448_l08_o08-09_a,in aliqͥb;,S22,F2,,,
64,71r,p448_l09_o01,habentes ,p448_l09_o01_a,illi latini,S415,F3,normal,,,,73r,Cumq; ,p448_l09_o01_a,.s. etsi sint,S23,F3,,,
65,71r,p448_l09_o07-08,natura ,p448_l09_o07-08_a,ꝑ naturã,S22,F2,normal,,,,73v,natura romanę ,p448_l09_o07-08_a,ꝑ natura latinę,S22,F3,,,
66,71r,p448_l10_o04,tenore ,p448_l10_o04_a,accentu,S22,F2,normal,,,,73v,tenore ,p448_l10_o04_a,accentu,S22,F2,,,
67,71r,p448_l10_o05,prorsus ,p448_l10_o05_a,PENI ͭ ͧ ᷤ,S22,F2,normal,,,,73v,ꝓrsus ,p448_l10_o05_a,om̃ino penitꝰ,S22,F3,,,
68,71r,p448_l11_o02,carent ,p448_l11_o02_a,sb̶ uerba,S53,F2,normal,,,,73v,carent. ,p448_l11_o02_a,ñ hñt s hnt : / .s. ipsa uerba,S53,F4,,,
