,folio_Bamberg,lemma_id,lemma_Bamberg,gloss_id_Bamberg,gloss_Bamberg,gloss_type_Bamberg,gloss_form_Bamberg,nature,marginal_note_id_Bamberg,marginal_note_type_Bamberg,marginal_note_form_Bamberg,folio_Lat7499,lemma_Lat7499,gloss_id_Lat7499,gloss_Lat7499,gloss_type_Lat7499,gloss_form_Lat7499,marginal_note_id_Lat7499,marginal_note_type_Lat7499,marginal_note_form_Lat7499
128,71v,p449_l19_o13,penitꝰ ,p449_l19_o13_a,funditꝰ,S22,F2,normal,,,,74r,penitus ,p449_l19_o13_a,funditꝰ om̃ino,S22,F3,,,
129,71v,p449_l20_o06,reboo ,p449_l20_o06_a,resono,S22,F2,normal,p449_l20_o06_b,S53,F5,74r,reboo ,p449_l20_o06_a,resono,S22,F2,,,
130,71v,p449_l20_o11,boω ,p449_l20_11_a,sono,S22,F2,normal,,,,74r,GoωG ,p449_l20_o11_a,sono,S211,F2,,,
131,71v,p449_l22_o06,reboant ,p449_l22_o06_a,+,S22,F2,shorthand,,,,74r,Reboant ,p449_l22_o06_a,resonant,S22,F2,,,
132,71v,p449_l22_o10,olimpus ,p449_l22_o10_a,mons ÷,S554,F4,normal,,,,74r,olympus ,p449_l22_o10_a,mons excelsus,S554,F3,,,
133,71v,p449_l23_o02,inchoo ,p449_l23_o02_a,incipio,S22,F2,normal,,,,74r,inchoo ,p449_l23_o02_a,÷ incipio qͣsi inchao,S22,F3,,,
134,71v,p449_l23_o09,traductũ ,p449_l23_o09_a,deductũ diriuatũ,S22,F3,normal,,,,74r,traductu ,p449_l23_o09_a,diriuatũ deductũ,S22,F3,,,
135,71v,p449_l24_o02,igit᷑ ,p449_l24_o02_a,+,S22,F2,shorthand,,,,74r,.gͥ. ,p449_l24_o02_a,ap,S22,F2,,,
136,71v,p449_l25_o04,u&eres ,p449_l25_o04_a,antiquos,S22,F2,normal,,,,74r,ueteres ,p449_l25_o04_a,antiquos actores artiũ disciplinarũ / artiũ scriptores,S23,F3,,,
137,71v,p449_l25_o08,c̃iugationis ,p449_l25_o08_a,SUBAUD ͥ ͭ ͧ ͬ?  SUNT,S53,F2,shorthand,,,,74r,coniugationis. ,p449_l25_o08_a,s. sunt,S611,F2,,,
138,71v,p449_l26_o11,alię ,p449_l26_o11_a,+,S53,F2,shorthand,,,,74r,alię ,p449_l26_o11_a,c̃iugatioñ; ÷ suas ꝓprias terminationes,S53,F3,,,
139,71v,p449_l27_o07,frequentatiua ,p449_l27_o07_a,SUBAUD ͥ ͭ ͧ ͬ VERB ͣ POSSID ͤ ͭ,S53,F4,normal,,,,74r,frequentatiua ,p449_l27_o07_a,s. uerba possid&,S53,F3,,,
140,71v,p449_l27_o08,t̃tia ,p449_l27_o08_a,CONIUGA ͭ ͥ ͦ,S53,F2,shorthand,,,,74r,t̃tia ,p449_l27_o08_a,coniugatio,S53,F2,,,
141,71v,p449_l27_o09,inchoatiua ,p449_l27_o09_a,SUBAUD ͥ ͭ ͧ ͬ VERB ͣ POSSID ͤ ͭ,S53,F4,normal,,,,74r,inchoatiua ,p449_l27_o09_a,uerba possidet,S53,F4,,,
142,71v,p449_l28_o01,quarta ,p449_l28_o01_a,+,S3232,F3,shorthand,,,,74r,quarta ,p449_l28_o01_a,c̃iugatio,S3232,F2,,,
143,71v,p449_l28_o05,scđa ,p449_l28_o05_a,CONIUGA ͭ ͥ ͦ,S53,F2,shorthand,p449_l28_o05_b,S63,F4,74r,scđa ,p449_l28_o05_a,c̃iugatio,S3232,F2,,,
144,71v,p449_l29_o01,specialẽ  ,p449_l29_o01_a,PROPRI ͣ ͫ POSSID ͤ ͭ,S53,F4,shorthand,,,,74r,specialẽ. ,p449_l29_o01_a,ꝓpriã,S22,F2,,,
145,71v,p449_l29_o02,ipsa ,p449_l29_o02_a,CONIUGA ͭ ͥ ͦ SECUND ͣ,S53,F3,shorthand,,,,74r,ipsa ,p449_l29_o02_a,possid& coniugatio,S53,F3,,,
146,71v,p449_l29_o07,solũ ,p449_l29_o07_a,TANTUMMODO SUBAUD ͥ ͭ ͧ ͬ HOC HAB ͤ ͭ,S53,F3,shorthand,,,,74r,solũ ,p449_l29_o07_a,solũ mͦ /.s. hoc hab&,S22,F2,,,
147,71v,p449_l30_o03,habeo ,p449_l30_o03_a,possideo,S22,F2,normal,,,,74r,Habeo ,p449_l30_o03_a,possideo,S22,F2,p449_l30_o03_b,S23,F5
148,71v,p449_l30_o04,taceo ,p449_l30_o04_a,sileo,S22,F2,normal,,,,74r,Taceo ,p449_l30_o04_a,sileo,S22,F2,,,
149,71v,p449_l30_o09,moneo ,p449_l30_o09_a,admoneo,S22,F2,normal,,,,74r,Moneo ,p449_l30_o09_a,admoneo ł doceo,S22,F3,,,
150,71v,p449_l30_o10,stupeo ,p449_l30_o10_a,admiror,S22,F2,normal,,,,74r,Stupeo ,p449_l30_o10_a,admiror,S22,F2,,,
151,71v,f74r_l17_o12,scabeo ,f74r_l17_o12_a,scalpo,S22,F2,normal,,,,74r,Scabeo ,f74r_l17_o12_a,scalpo leꝓsus/effitio/scalpeo :,S22,F3,,,
152,71v,f74r_l18_o01,arceo ,f74r_l18_o01_a,ꝓhibeo,S22,F2,normal,,,,74r,Arceo ,f74r_l18_o01_a,ꝓhibeo,S22,F2,,,
153,71v,p449_l31_o01,censeo ,p449_l31_o01_a,iudico,S22,F2,normal,,,,74r,Censeo ,p449_l31_o01_a,iudico,S22,F2,p449_l31_o01_b,S24,F5
154,71v,p449_l30_o05,candeo ,p449_l30_o05_a,albesco,S22,F2,normal,,,,74r,Candeo ,p449_l30_o05_a,albesco ł splendeo,S22,F3,,,
155,71v,p449_l30_o08,timeo ,p449_l30_o08_a,uereor,S22,F2,normal,,,,74r,Timeo ,p449_l30_o08_a,uereor,S22,F2,,,
156,71v,p449_l30_o06,egeo ,p449_l30_o06_a,opus habeo,S23,F4,normal,,,,74r,Egeo ,p449_l30_o06_a,indigeo ł opus habeo,S23,F3,,,
157,71v,p449_l31_o02,pateo ,p449_l31_o02_a,aperio,S22,F2,normal,,,,74r,Pateo ,p449_l31_o02_a,aperio,S22,F2,,,
158,71v,p449_l31_o03,caueo ,p449_l31_o03_a,p̃uideo,S22,F2,normal,,,,74r,Caueo. ,p449_l31_o03_a,p̃uideo,S22,F2,,,
159,71v,p449_l33_o02,polliceor ,p449_l33_o02_a,spondeo,S22,F2,normal,p449_l33_o02_b,S63,F2,74r,polliceor ,p449_l33_o02_a,spondeo ł ꝓmitto,S22,F3,,,
160,71v,p449_l33_o03,liqueor ,p449_l33_o03_a,defluo DECURR ͦ,S23,F3,shorthand,,,,74r,Liqueor ,p449_l33_o03_a,liquorẽ facio,S23,F3,,,
161,71v,p449_l33_o04,medeor ,p449_l33_o04_a,sano medico,S22,F3,normal,,,,74r,Medeor ,,,,,p449_l33_o04_a,S23,F4
162,71v,p449_l33_o06,męreor ,p449_l33_o06_a,tristor,S22,F2,normal,,,,74r,Mereor ,p449_l33_o06_a,tristor,S22,F2,p449_l33_o06_b,S554,F5
163,71v,p449_l33_o05,reor ,p449_l33_o05_a,ęstimo autumo,S22,F3,normal,,,,74r,Reor ,p449_l33_o05_a,estimo,S22,F2,,,
164,71v,p449_l33_o07,uereor ,p449_l33_o07_a,paueo,S22,F2,normal,,,,74r,Vereor ,p449_l33_o07_a,paueo timeo,S22,F3,p449_l33_o07_b,S24,F5
165,71v,p449_l33_o10,fateor ,p449_l33_o10_a,dico,S22,F2,normal,,,,74r,Fateor ,p449_l33_o10_a,dico ł credo,S22,F3,,,
166,71v,p450_l01_o01,ꝓfiteor ,p450_l01_o01_a,c̃fiteor,S22,F2,normal,,,,74r,Profiteor ,p450_l01_o01_a,ualde fateor,S23,F3,,,
167,71v,p450_l01_o02,tueor ,p450_l01_o02_a,uideo ł defendo,S22,F3,normal,,,,74r,Tueor ,p450_l01_o02_a,uideo/ł defendo,S22,F3,,,
168,71v,p450_l01_o03,intueor ,p450_l01_o03_a,cerno,S22,F2,normal,,,,74r,Intueor ,p450_l01_o03_a,inspitio cerno,S22,F3,,,
169,71v,p450_l01_o04,Notant᷑ ,p450_l01_o04_a,excipiunt᷑,S22,F2,normal,,,,74r,Notant᷑ ,p450_l01_o04_a,excipiunt᷑,S22,F2,,,
170,71v,p450_l01_o08,beo ,p450_l01_o08_a,beatũ facio,S23,F4,normal,,,,74v,beo ,p450_l01_o08_a,beatũ fatio,S23,F3,,,
171,71v,p450_l01_o09,creo ,p450_l01_o09_a,c̃do,S22,F2,normal,,,,74v,Creo ,p450_l01_o09_a,condo,S22,F2,,,
172,71v,p450_l02_o01,meo ,p450_l02_o01_a,transeo,S22,F2,normal,,,,74v,Meo ,p450_l02_o01_a,transeo/ãbulo,S22,F3,,,
173,71v,p450_l02_o03,nauseo ,p450_l02_o03_a,fastidio,S22,F2,normal,,,,74v,Nauseo ,p450_l02_o03_a,fastidio,S22,F2,,,
174,71v,p450_l02_o04,enucleo ,p450_l02_o04_a,manifesto,S22,F2,normal,,,,74v,Enucleo ,p450_l02_o04_a,aperio /manifesto,S22,F3,p450_l02_o04_b,S54,F4
175,71v,p450_l02_o05,laqueo ,p450_l02_o05_a,irr&io,S22,F2,normal,,,,74v,Laqueo ,p450_l02_o05_a,irretio,S22,F2,p450_l02_o05_b,S23,F5
176,71v,p450_l02_o06,screo ,p450_l02_o06_a,spuo,S22,F2,normal,,,,74v,Screo ,p450_l02_o06_a,spuo,S22,F2,p450_l02_o06_b,S54,F5
177,71v,p450_l02_o07,Quartę ,p450_l02_o07_a,sb̶notant᷑ uerba,S53,F4,normal,,,,74v,Quartę ,p450_l02_o07_a,.s. notant᷑ uerba,S53,F3,,,
178,71v,p450_l03_o04,his ,p450_l03_o04_a,ID EST eo & queo,S53,F3,normal,,,,74v,(e)is ,p450_l03_o04_a,eo et q̃o,S53,F3,,,
179,71v,p450_l03_o07,illis ,p450_l03_o07_a,sup̃dictis q̃ st̃ pͥmę c̃iug̃,S64,F4,normal,,,,74v,illis ,p450_l03_o07_a,s. ex superiorib; ÷ beo,S53,F3,,,
180,71v,p450_l05_o03,imbuo ,p450_l05_o03_a,doleo inbibo/ATQUE immolo UT + ab +,S22,F3,normal,,,,74v,Imbuo ,p450_l05_o03_a,+Imbibo atq; immolo. ut uirgłs nrĩs ab ouilib/imbu& agnꝰ  /doceo c̃secro,S4181,F4,,,
181,71v,p450_l05_o04,tribuo ,p450_l05_o04_a,dono,S22,F2,normal,,,,74v,Tribuo ,p450_l05_o04_a,dono do,S22,F3,p450_l05_o04_b,S24,F5
182,71v,p450_l05_o06,induo ,p450_l05_o06_a,circũdo,S22,F2,normal,,,,74v,Induo ,p450_l05_o06_a,cirũdo,S22,F2,,,
183,71v,p450_l05_o07,arguo ,p450_l05_o07_a,increpo/ ostento,S22,F3,normal,,,,74v,Arguo ,p450_l05_o07_a,Rep̃hendo,S22,F2,p450_l05_o07_b,S23,F3
184,71v,p450_l05_o08,fluo ,p450_l05_o08_a,mano,S22,F2,normal,,,,74v,Fluo ,p450_l05_o08_a,decurro/mano,S22,F3,,,
185,71v,p450_l05_o09,polluo ,p450_l05_o09_a,c̃taminor,S22,F2,normal,,,,74v,Polluo ,p450_l05_o09_a,contamino : coinqͥno,S22,F3,,,
186,71v,p450_l05_o11,alluo ,p450_l05_o11_a,inundo,S22,F2,normal,,,,74v,Alluo ,p450_l05_o11_a,mundo,S22,F2,,,
187,71v,p450_l06_o01,innuo ,p450_l06_o01_a,nũtũ facio,S23,F4,normal,,,,74v,Innuo ,p450_l06_o01_a,ł nutũ facio/signo,S23,F3,,,
188,71v,p450_l06_o04,ruo ,p450_l06_o04_a,cado,S22,F2,normal,,,,74v,Ruo ,p450_l06_o04_a,cado,S22,F2,,,
189,71v,p450_l06_o05,suo ,,,,,,p450_l06_o05_a,S54,F4,74v,Suo ,p450_l06_o05_a,c̃suo uestim̃ta,S23,F3,,,
190,71v,p450_l06_o06,m&uo ,p450_l06_o06_a,timeo,S22,F2,normal,,,,74v,Metuo ,p450_l06_o06_a,ma?,S22,F2,,,
191,71v,p450_l06_o07,fatuo ,p450_l06_o07_a,hębeo,S22,F2,normal,,,,74v,Fatuo ,p450_l06_o07_a,hebeo tardo,S22,F3,p450_l06_o07_b,S5,F5
192,71v,p450_l06_o09,liquor ,p450_l06_o09_a,-,S11,F1,normal,,,,74v,Liquor ,,,,,p450_l06_o09_a,S5,F5
193,71v,p450_l06_o10,fruor ,p450_l06_o10_a,utor,S22,F2,normal,,,,74v,Fruor ,p450_l06_o10_a,infructꝰ a fruendo,S54,F3,p450_l06_o10_b,S23,F4
194,71v,p450_l08_o01,ratio ,p450_l08_o01_a,regula,S22,F2,normal,,,,74v,ratio ,p450_l08_o01_a,regula,S22,F2,,,
195,71v,p450_l08_o04,qua ,p450_l08_o04_a,SUBAUD ͥ ͭ ͧ ͬ RA ͭ ͥ ͦ ᷠ ͤ,S3232,F2,normal,,,,74v,qua ,p450_l08_o04_a,ratione,S3232,F2,,,
196,71v,p450_l08_o08,uacuo ,p450_l08_o08_a,exinanio,S22,F2,normal,,,,74v,Vacuo ,p450_l08_o08_a,uacuus,S24,F2,,,
197,71v,p450_l08_o09,uiduo ,p450_l08_o09_a,desero ł orbo,S22,F3,normal,,,,74v,Viduo ,p450_l08_o09_a,desero ł cibo,S22,F3,,,
198,71v,p450_l09_o02,c̃tinuo ,p450_l09_o02_a,ꝓtelo +? CONIUNC ͭ ͧ ͫ ? QUAE COEP ͥ ͭ ͧ ͬ FAC ͭ ͧ ͫ ?,S23,F4,normal,,,,74v, Continuo ,p450_l09_o02_a,ꝓtelo/ł continuatĩ q̃ cepi fatio,S23,F4,,,
199,71v,p450_l09_o03,fluctuo ,p450_l09_o03_a,titubo,S22,F2,normal,,,,74v,Fluctuo ,p450_l09_o03_a,dubito ł titubo,S22,F3,,,
200,71v,p450_l10_o09,C̃fusionis ,p450_l10_o09_a,cõmixtionis/ãbiguitatis,S22,F3,normal,,,,74v,Confusionis ,p450_l10_o09_a,cõmixtionis/ł ãbiguitati/ut possit discerni qͣ uerba/hñt .i. breuẽ ⁊ quę ꝓducta :s,S53,F4,p450_l10_o09_b,S631,F5
201,71v,p450_l11_o02,discernenadę ,p450_l11_o02_a,distinguendę/discrepandę,S22,F3,normal,,,,74v,discernendę ,p450_l11_o02_a,discrepandę,S22,F2,,,
202,72r,p450_l13_o01,illa ,p450_l13_o01_a,VERB ͣ,S3232,F2,shorthand,,,,74v,illa ,p450_l13_o01_a,uerba,S3232,F2,,,
203,72r,p450_l13_o02,primę ,p450_l13_o02_a,CONIUGA ͭ ͥ ͦ ᷠ ͥ ᷤ,S53,F3,shorthand,p450_l13_o02_b,S53,F4,74v,primę ,p450_l13_o02_a,coniugatioñ,S53,F2,,,
204,72r,p450_l13_o05,adherentia ,p450_l13_o05_a,seruientia,S22,F2,normal,,,,74v,adhęrentia ,p450_l13_o05_a,quę nõib; adhęrent/seruientia .s. illa uerba adhęrent nõib qͣ hñt/similia nõa sibi a qͥb; diriuant᷑,S53,F4,p450_l13_o05_b,S53,F5
205,72r,p450_l13_o07-09,trissillabis ,p450_l13_o07-09_a,VERBIS,S53,F2,shorthand,,,,74v,non minus trisillabis. ,p450_l13_o07-09_a,nõib,S53,F2,p450_l13_o07-09_b,S53,F5
206,72r,p450_l14_o01,pio ,p450_l14_o01_a,mundo,S22,F2,normal,,,,74v,pio  ,p450_l14_o01_a,mundo/inde expio,S24,F3,,,
207,72r,p450_l15_o09,sautius ,p450_l15_o09_a,uulneratꝰ,S22,F2,normal,,,,74v,Saucius ,p450_l15_o09_a,uulneratꝰ/ł uulnerator,S22,F3,,,
208,72r,p450_l16_o06,curia ,p450_l16_o06_a,locꝰ ÷ ubi curã antiꝗ exercebant,S23,F4,normal,,,,74v,Curia. ,,,,,p450_l16_o06_b,S63,F3
209,72r,p450_l16_o07,decurio ,,,,,,p450_l16_o07_b,S23,F5,74v,decurio ,,,,,p450_l16_o07_a,S4181,F5
210,72r,p450_l17_o01,fiducior ,p450_l17_o01_a,FIDUCI ͣ ͫ HAB ͤ ͦ,S25,F3,shorthand,,,,74v,Fiducior ,p450_l17_o01_a,fidutiã habeo,S23,F3,,,
211,72r,p450_l17_o03,repudiũ ,p450_l17_o03_a,repulsio ł reꝓbatio,S22,F3,normal,,,,74v,Repudiũ ,p450_l17_o03_a,Repulsio reiectio / respuo/inde repudiũ,S24,F4,,,
212,72r,p450_l17_o06,tripudiũ ,p450_l17_o06_a,gaudiũ,S22,F2,normal,,,,74v,Tripudiũ ,p450_l17_o06_a,Gaudiũ,S22,F2,,,
213,72r,p450_l17_o07,tripudio ,p450_l17_o07_a,triũpho,S22,F2,normal,,,,74v,Tripudio ,p450_l17_o07_a,triũpho,S22,F2,,,
214,72r,p450_l18_o02,radio ,p450_l18_o02_a,luceo,S22,F2,normal,,,,74v,Radio ,p450_l18_o02_a,splendeo,S22,F2,,,
215,72r,p450_l19_o03,defolio ,p450_l19_o03_a,folia carpo,S23,F4,normal,,,,74v,defolio ,p450_l19_o03_a,folia carpo,S23,F3,,,
216,72r,p450_l20_o03,linia ,p450_l20_o03_a,blandim̃tũ,S22,F2,normal,p450_l20_o03_b,S53,F4,74v,Linia ,p450_l20_o03_a,blandim̃ta,S22,F2,,,
217,72r,p450_l20_o04,delinio ,p450_l20_o04_a,blandior,S22,F2,normal,,,,74v,Delinio ,p450_l20_o04_a,blandior,S22,F2,,,
218,72r,p450_l20_o06,auxiliũ ,p450_l20_o06_a,adium̃tũ,S22,F2,normal,,,,74v,Auxiliũ ,p450_l20_o06_a,adium̃tũ,S22,F2,,,
219,72r,p450_l21_o10,bassiũ ,p450_l21_o10_a,osculũ,S22,F2,normal,,,,74v,Basiũ ,p450_l21_o10_a,Inde basilica dr̃/regale tẽplum,S24,F4,,,
220,72r,p450_l23_o03,uitiũ ,p450_l23_o03_a,macula ł delictũ,S22,F3,normal,,,,74v,Vitium ,p450_l23_o03_a,macula ł delictũ,S22,F3,,,
221,72r,p450_l23_o07,itaq ,p450_l23_o07_a,ergo,S22,F2,normal,,,,74v,itaq; ,p450_l23_o07_a,ergo,S22,F2,,,
222,72r,p450_l24_o04,appositũ ,p450_l24_o04_a,adsociatũ,S22,F2,normal,,,,74v,appositũ ,p450_l24_o04_a,associatũ,S22,F2,,,
223,72r,p450_l25_o08,hio ,p450_l25_o08_a,spiro,S22,F2,normal,,,,74v,Hio ,p450_l25_o08_a,os aperio ł spiro,S23,F3,,,
224,72r,p450_l26_o01,pio ,p450_l26_o01_a,mundo,S22,F2,normal,,,,74v,pio ,p450_l26_o01_a,mundo,S22,F2,,,
225,72r,p450_l27_o02,Amplio ,p450_l27_o02_a,amplifico,S22,F2,normal,p450_l27_o02_b,S54,F3,74v,Amplio ,p450_l27_o02_a,ãplifico accumulo/ł congrego,S22,F3,p450_l27_o02_b,S53,F5
226,72r,p451_l02_o05-06,ꝑ apocopã ,p451_l02_o05-06_a,ꝑ abscisione litterę,S22,F3,normal,,,,75r,ꝑ apocopam ,p451_l02_o05-06_a,ꝑ abscisionẽ ultimę litterę,S53,F3,,,
227,72r,p451_l04_o10,priuatũ ,p451_l04_o10_a,alienatũ ł fraudatũ,S22,F3,normal,,,,75r,priuatũ ,p451_l04_o10_a,fraudatũ/separatum/alienatũ,S22,F3,,,
228,72r,p451_l07_o04-05,sine dubio ,p451_l07_o04-05_a,ꝓcul dubio,S22,F3,normal,,,,75r,sine dubio ,p451_l07_o04-05_a,ꝓcul dubio,S22,F2,,,
229,72r,p451_l07_o06,cognoscit᷑. ,p451_l07_o06_a,agnoscit᷑,S22,F2,normal,,,,75r,cognoscit᷑ ,p451_l07_o06_a,agnoscit᷑,S22,F2,,,
230,72r,p451_l08_o04,Ambio ,p451_l08_o04_a,c̃cumeo,S22,F2,normal,,,,75r,Ambio ,p451_l08_o04_a,ab am et eo/÷ circumeo/ł concupisco,S25,F3,,,
231,72r,p451_l08_o08,sancio ,p451_l08_o08_a,iudico diffinio,S22,F3,normal,,,,75r,Sanctio ,p451_l08_o08_a,definio,S22,F2,p451_l08_o08_b,S5,F5
232,72r,p451_l09_o02,farcio ,p451_l09_o02_a,repleo,S22,F2,normal,,,,75r,Fartio ,p451_l09_o02_a,repleo ÷ ꝓfli?o,S22,F3,,,
233,72r,p451_l09_o03,expedio ,p451_l09_o03_a,absoluo,S22,F2,normal,,,,75r,Expedio ,p451_l09_o03_a,expedio ex ex ⁊ pes/÷ absoluo ł conuenio/qͣsi ex pede,S25,F3,,,
234,72r,p451_l09_o04,inpedio ,p451_l09_o04_a,noceo,S22,F2,normal,,,,75r,Impedio ,p451_l09_o04_a,noceo ab in et pes;,S25,F3,,,
235,72r,p451_l09_o05,fastidio ,p451_l09_o05_a,nauseo,S22,F2,normal,,,,75r,Fastidio ,p451_l09_o05_a,nauseo sperno  ł repudio,S22,F3,,,
236,72r,p451_l09_o07,custodio ,p451_l09_o07_a,ꝓuideo,S22,F2,normal,,,,75r,Custodio ,p451_l09_o07_a,ꝓuideo,S22,F2,,,
237,72r,p451_l09_o08,erudio ,p451_l09_o08_a,doceo,S22,F2,normal,,,,75r,Erudio ,p451_l09_o08_a,doceo,S22,F2,p451_l09_o08_b,S54,F4
238,72r,p451_l09_o09,oboedio ,p451_l09_o09_a,pareo,S22,F2,normal,,,,75r,Oboedio ,p451_l09_o09_a,pareo seruio,S22,F3,,,
239,72r,p451_l10_o01,uagio ,p451_l10_o01_a,+++ ͤ? INFAN ͭ ͧ ͫ EST uagire,S23,F4,normal,,,,75r,Vagio ,p451_l10_o01_a,plango ł ploro/ꝓprie uagire/inanio,S22,F3,,,
240,72r,p451_l10_o02,pręsagio ,p451_l10_o02_a,futura p̃dico,S23,F4,normal,,,,75r,Presagio ,p451_l10_o02_a,futura p̃dico,S23,F3,p451_l10_o02_b,S5,F5
241,72r,p451_l10_o05,stabilio ,p451_l10_o05_a,c̃firmo,S22,F2,normal,,,,75r,Stabilio ,p451_l10_o05_a,c̃firmo,S22,F2,,,
242,72r,p451_l10_o06,mollio ,p451_l10_o06_a,mollis efficio,S23,F4,normal,,,,75r,Mollio ,p451_l10_o06_a,mollis effitio,S23,F3,,,
243,72r,p451_l10_o07,bullio ,p451_l10_o07_a,scateo?,S22,F2,normal,,,,75r,Bullio ,p451_l10_o07_a,ferueo scateo /a nõe bulla,S54,F3,,,
244,72r,p451_l10_o09,redimio ,p451_l10_o09_a,corono ł como,S22,F3,normal,,,,75r,Redimio ,p451_l10_o09_a,orno corono como edifico/ et inde redimicula ÷ or/namenta,S24,F4,,,
245,72r,p451_l10_o10,exinanio ,p451_l10_o10_a,euacuo,S22,F2,normal,,,,75r,Exinanio ,p451_l10_o10_a,euacuo dem̃tior,S22,F3,,,
246,72r,p451_l11_o01,insanio ,p451_l11_o01_a,seuio,S22,F2,normal,,,,75r,Insanio ,p451_l11_o01_a,seuio,S22,F2,,,
247,72r,p451_l11_o04,insignio ,p451_l11_o04_a,nobilito,S22,F2,normal,,,,75r,Insignio ,p451_l11_o04_a,nobilio,S22,F2,p451_l11_o04_b,S5,F5
248,72r,p451_l11_o05,finio ,p451_l11_o05_a,t̃mino,S22,F2,normal,,,,75r,Finio ,p451_l11_o05_a,̃t̃mino,S22,F2,,,
249,72r,p451_l11_o06,hinnio ,p451_l11_o06_a,EQU ͦ ͬ ͧ ͫ EST HINN ͥ ͬ ͥ,S23,F4,normal,,,,75r,Hinnio ,p451_l11_o06_a,equoꝵ ꝓpͥe,S23,F3,,,
250,72r,p451_l11_o07,tinnio ,p451_l11_o07_a,ęs tinnit,S23,F4,normal,,,,75r,Tinnio ,p451_l11_o07_a,sono aeris est ꝓpͥe,S23,F3,,,
251,72r,p451_l11_o08,grunnio ,p451_l11_o08_a,murmuro,S22,F2,normal,,,,75r,Grunnio ,p451_l11_o08_a,porcoꝵ ꝓpͥe ẽ,S23,F3,,,
252,72r,p451_l11_o09,munio ,p451_l11_o09_a,defendo,S22,F2,normal,,,,75r,Munio ,p451_l11_o09_a,firmo/defendo,S22,F3,,,
253,72r,p451_l11_o10,punio ,p451_l11_o10_a,dãno ł ulciscor,S22,F3,normal,,,,75r,Punio ,p451_l11_o10_a,dãpno/ł ulciscor,S22,F3,p451_l11_o10_b,S54,F4
254,72r,p451_l12_o01,sępio ,p451_l12_o01_a,circũdo,S22,F2,normal,,,,75r,Sepio ,p451_l12_o01_a,cirũdo,S22,F2,,,
255,72r,p451_l12_o02,sopio ,p451_l12_o02_a,dormio,S22,F2,normal,,,,75r,sopio ,p451_l12_o02_a,dormio /Vnde sopinus et sopor qđ fuit a p̃ paganos defectiuũ/fit,S5,F4,,,
256,72r,p451_l12_o03,ferio ,p451_l12_o03_a,ꝑcutio,S22,F2,normal,,,,75r,Ferio ,p451_l12_o03_a,ꝑcutio,S22,F2,,,
257,72r,p451_l12_o06,garrio ,p451_l12_o06_a,garrire auiũ ÷ PROPRI ͤ,S23,F3,normal,,,,75r,Garrio ,p451_l12_o06_a,murmuro et inepte loquor et importo / auiũ ÷ ꝓpͥe garrire,S22,F4,p451_l12_o06_b,S23,F4
258,72r,p451_l12_o07,ligurrio ,p451_l12_o07_a,lingo,S22,F2,normal,,,,75r,Ligurio ,p451_l12_o07_a,lingue gusto/lingo,S22,F3,,,
259,72r,p451_l12_o10,micturio ,p451_l12_o10_a,AB EO QUOD EST mingo DEDUC ͥ ͭ ͧ ͬ,S54,F4,normal,,,,75r,Micturio ,p451_l12_o10_a,ab eo qđ ÷ mingere/deducitur meditor min/gero,S54,F4,,,
260,72r,p451_l13_o01,prurio ,p451_l13_o01_a,scabeo,S22,F2,normal,,,,75r,Prurio ,p451_l13_o01_a,uerbũ leꝓsi ÷ scabeo,S23,F3,,,
261,72r,p451_l13_o04,irretio ,p451_l13_o04_a,inlaqueo,S22,F2,normal,,,,75r,Irretio ,p451_l13_o04_a,illaq̃o/retineo,S22,F2,,,
262,72r,p451_l13_o05,sentio ,p451_l13_o05_a,intelligo,S22,F2,normal,,,,75r,Sentio ,p451_l13_o05_a,intelligo,S22,F2,p451_l13_o05_b,S5,F4
263,72r,p451_l16_o06-07,minꝰ trissillabis ,p451_l16_o06-07_a,.s. SED dyssillabis,S53,F3,normal,,,,75r,non minus ,p451_l16_o06-07_a,.s. s minꝰ,S22,F3,,,
264,72r,p451_l17_o06,notant᷑ ,p451_l17_o06_a,excipiunt᷑,S22,F2,normal,,,,75r,notant᷑ ,p451_l17_o06_a,excipiunt᷑,S22,F2,,,
265,72r,p451_l21_o06,elicio ,p451_l21_o06_a,extorqueo ł exprimo,S22,F3,normal,,,,75r,Elicio ,p451_l21_o06_a,extorq̃o ł expͥmo/ꝓuoco illicib;,S22,F3,,,
266,72r,p451_l21_o08,pellicio ,p451_l21_o08_a,decipio,S22,F2,normal,p451_l21_o08_b,S24,F4,75r,Pelltio ,p451_l21_o08_a,decipio,S22,F2,,,
267,72r,p451_l21_o09,int̃ficio ,p451_l21_o09_a,int̃imo occido,S22,F3,normal,p451_l21_o09_b,S22,F2,75r,Int̃fitio ,p451_l21_o09_a,occido/int̃imo,S22,F3,,,
268,72r,p451_l21_o10,officio ,p451_l21_o10_a,noceo,S22,F2,normal,,,,75r,Offitio ,p451_l21_o10_a,offendo/ł noceo,S22,F3,,,
269,72r,p451_l22_o03,cupio ,p451_l22_o03_a,desidero,S22,F2,normal,,,,75v,cupio ,p451_l22_o03_a,desidero,S22,F2,,,
270,72r,f75r_l06_o23,quatio ,f75r_l06_o23_a,moueo,S22,F2,normal,,,,75r,Quatio ,f75r_l06_o23_a,ꝑcutio  uibro,S22,F3,,,
