,lemma_id,folio_VLO41,lemma_VLO41,gloss_VLO41,gloss_type_VLO41,gloss_form_VLO41,marginal_note_id_VLO41,marginal_note_type_VLO41,marginal_note_form_VLO41,folio_Bamberg,lemma_Bamberg,gloss_id,gloss_Bamberg,gloss_type_Bamberg,gloss_form_Bamberg,nature,marginal_note_id_Bamberg,marginal_note_type_Bamberg,marginal_note_form_Bamberg
33,p448_l02_o06,02r,eos,s apud grecos,S3232,F3,,,,71r,eos ,p448_l02_o06_a,sb̶ gręcos,S3232,F2,normal,,,
34,p448_l02_o08,02r,ΠE/ΡΙCΠΟΜΕΝΕ,ꝑicpomene circũflexibilis,S211,F3,,,,71r,ꝑispomene ,p448_l02_o08_a,peri DIC ͥ ͭ ͧ ͬ circũ UNDE perispomene IDEST CIRCUM FLEXIBILIS,S211,F4,normal,,,
35,p448_l04_o11,02v,dicunt,apellant,S22,F2,,,,71r,dicunt ,p448_l04_o11_a,sb̶ gręci,S415,F2,normal,,,
36,p448_l06_o05,02v,prorsus,certe /omnino,S22,F3,,,,71r,prorsus ,p448_l06_o05_a,omnino,S22,F2,normal,,,
37,p448_l07_o01,02v,inditia,signa,S22,F2,,,,71r,indicia ,p448_l07_o01_a,signa,S22,F2,normal,,,
38,p448_l07_o05,02v,penitus,ex toto /& funditias,S22,F3,,,,71r,penitꝰ ,p448_l07_o05_a,funditꝰ,S22,F2,normal,,,
39,p448_l08_o03,02v,imitari,seꝗ s̃ lat̃ ,S53,F2,,,,71r,imitari ,p448_l08_o03_a,sequi,S22,F2,normal,,,
40,p448_l08_o05,02v,terminalẽ,& finalem,S22,F2,,,,71r,t̃minalẽ ,p448_l08_o05_a,finalẽ,S22,F2,normal,,,
41,p448_l11_o02,02v,carent,lat̃,S53,F2,,,,71r,carent ,p448_l11_o02_a,sb̶ uerba,S53,F2,normal,,,
42,p448_l14_o02,02v,penitus,funditꝰ,S22,F2,,,,71r,penitꝰ ,p448_l14_o02_a,radicitꝰ,S22,F2,normal,,,
43,p448_l14_o04,02v,incerta,&ãbigua,S22,F2,,,,71r,incerta ,p448_l14_o04_a,dubia,S22,F2,normal,,,
44,p448_l14_o08,02v,cogimur,c̃pellim᷑,S22,F2,,,,71r,cogim᷑ ,p448_l14_o08_a,cõpellim᷑,S22,F2,normal,,,
45,p448_l19_o01,02v,anomalis ,inęqualib;,S22,F2,,,,71r,anomalis ,p448_l19_o01_a,inęqualib,S22,F2,normal,,,
46,p448_l20_o04,02v,cędo,dic,,F2,,,,71r,cedo ,p448_l20_o04_a,dic,S22,F2,normal,,,
47,p448_l20_o06,02v,faxo,ꝓfacio,S22,F2,,,,71r,faxo ,p448_l20_o06_a,facio ł ILLUMIN ͦ?,S22,F3,normal,,,
48,p448_l20_o07,02v,sodes,si audes,S23,F3,,,,71r,sodes ,p448_l20_o07_a,si audes,S25,F3,normal,,,
49,p448_l20_o08,02v,aue,salue,S22,F2,,,,71r,aue ,p448_l20_o08_a,salue,S22,F2,normal,,,
50,p448_l20_o09,02v,ferit,qͣsi ꝑcutit,S22,F2,,,,71r,ferit ,p448_l20_o09_a,ꝑcutit,S22,F2,normal,p448_l20_o09_b,S54,F4
51,p448_l20_o10,02v,insit,dicit,S22,F2,,,,71r,infit ,p448_l20_o10_a,inquit,S22,F2,normal,,,
52,p448_l24_o06,03r,temptabo,conabor,S22,F2,,,,71r,tẽptabo ,p448_l24_o06_a,conabor nitare,S53,F3,normal,,,
53,p448_l28_o02,03r,ebesco ,fadt᷑dr̃,S22,F2,,,,71v,hebesco ,p448_l28_o02_a,hebes fieri incipio,S23,F3,normal,,,
54,p448_l28_o04,03r,pertimesco,ualde timere incipio ,S23,F4,,,,71v,ꝑtimesco ,p448_l28_o04_a,ꝑtimere INCIPI ͦ,S23,F3,shorthand,,,
55,p448_l28_o05,03r,euanesco,deficio,S22,F2,,,,71v,euanesco ,p448_l28_o05_a,uanꝰ INCIPI ͦ FI ͤ ͬ ͥ,S23,F3,shorthand,,,
56,p449_l01_o04,03r,labasco,ruere,S22,F2,,,,71v,labasco ,p449_l01_o04_a,labere ID EST CAD ͤ ͬ ͤ INCIPI ͦ,S23,F3,normal,p449_l01_o04_b,S54,F4
57,p449_l02_o04,03r,glisco,cresco,S22,F2,,,,71v,glisco  ,p449_l02_o04_a,crescere INCIPI ͦ,S23,F3,normal,,,
58,p449_l04_o01,03r,micturio,mingere /meditor,S22,F3,,,,71v,micturio ,p449_l04_o01_a,mingere meditor,S23,F3,normal,,,
59,p449_l04_o02,03r,esurio,manducare,S22,F2,,,,71v,esurio ,,,,,,p449_l04_o02_a,S333,F4
60,p449_l07_o01,03r,lectito,frequent̃ lego,S23,F3,,,,71v,lectito ,p449_l07_o01_a,frequent̃ lego,S23,F3,normal,,,
61,p449_l07_o08,03r,merso ,frequent̃ mergo,S23,F3,,,,71v,merso ,p449_l07_o08_a,A MERG ͦ VERB ͦ,S54,F3,normal,,,
62,p449_l07_o10,03r,nexo,frequent̃ necto,S23,F3,,,,71v,nexo ,p449_l07_o10_a,frequent̃ necto ID EST ligo,S23,F3,normal,,,
63,p449_l07_o11,03r,uiso ,desidero uidere,S23,F3,,,,71v,Viso ,p449_l07_o11_a,desidero uidere,S23,F4,normal,,,
64,p449_l08_o03,03r,qđ,uerbũ,S3232,F2,,,,71v,qđ ,p449_l08_o03_a,VERB ͧ ͫ (?),S3232,F2,shorthand,,,
65,p449_l09_o04,03r,eodẽ ,s libro,S3232,F2,,,,71v,eodem ,p449_l09_o04_a,SUBAUD ͥ ͭ ͧ ͬ libro,S3232,F3,normal,,,
66,p449_l15_o08,03r,anomala,inequalia,S22,F2,,,,71v,anomala ,,,,,,p449_l15_o08_a,S53,F4
