,lemma_id,folio_VLO41,lemma_VLO41,gloss_VLO41,gloss_type_VLO41,gloss_form_VLO41,marginal_note_id_VLO41,marginal_note_type_VLO41,marginal_note_form_VLO41,folio_Lat7499,lemma_Lat7499,gloss_id,gloss_Lat7499,gloss_type_Lat7499,gloss_form_Lat7499,marginal_note_id_Lat7499,marginal_note_type_Lat7499,marginal_note_form_Lat7499
34,p448_l02_o06,02r,eos,s apud grecos,S3232,F3,,,,73r,eos ,p448_l02_o06_a,÷ grecos,S3232,F2,,,
35,p448_l02_o08,02r,ΠE/ΡΙCΠΟΜΕΝΕ,ꝑicpomene circũflexibilis,S211,F3,,,,73r,ΠΕΡΙCΠΩΜΕΝΗ ,p448_l02_o08_a,cirũflexibils; ΠΕΡΙCΠΩ ÷ circũfleto/ΠΕΡΙ dr̃ circũ unde perispomę / ne circũflexis accentꝰ,S211,F4,,,
36,p448_l04_o11,02v,dicunt,apellant,S22,F2,,,,73r,dicunt ,p448_l04_o11_a,.s. ipsi greci : in multis enĩ reguł : obseruationes gre / corũ seruamus : et in multis caremꝰ,S53,F4,,,
37,p448_l05_o01,02v,licet,si uis,S22,F3,,,,73r,Licet ,p448_l05_o01_a,÷ quãuis,S22,F2,,,
38,p448_l06_o05,02v,prorsus,certe /omnino,S22,F3,,,,73r,ꝓrsus ,p448_l06_o05_a,certe om̃ino,S22,F3,,,
39,p448_l07_o01,02v,inditia,signa,S22,F2,,,,73r,inditia ,p448_l07_o01_a,signa,S22,F2,p448_l07_o01_b,S53,F5
40,p448_l07_o05,02v,penitus,ex toto /& funditias,S22,F3,,,,73r,penitus ,p448_l07_o05_a,funditꝰ ꝑietũ,S23,F3,,,
41,p448_l08_o03,02v,imitari,seꝗ s̃ lat̃ ,S53,F2,,,,73r,imitari ,p448_l08_o03_a,seqͥ assimilari,S22,F3,,,
42,p448_l08_o05,02v,terminalẽ,& finalem,S22,F2,,,,73r,terminalem ,p448_l08_o05_a,finalem,S22,F2,,,
43,p448_l11_o02,02v,carent,lat̃,S53,F2,,,,73v,carent. ,p448_l11_o02_a,ñ hñt s hnt : / .s. ipsa uerba,S53,F4,,,
44,p448_l12_o01,02v,ordinẽ,seriem,S22,F2,,,,73v,(add) ,p448_l12_o01_a,ordinẽ,S611,F2,,,
45,p448_l14_o02,02v,penitus,funditꝰ,S22,F2,,,,73v,penitꝰ ,p448_l14_o02_a,Radicitꝰ,S22,F2,,,
46,p448_l14_o04,02v,incerta,&ãbigua,S22,F2,,,,73v,incerta ,p448_l14_o04_a,dubia,S22,F2,,,
47,p448_l14_o08,02v,cogimur,c̃pellim᷑,S22,F2,,,,73v,cogimur ,p448_l14_o08_a,cõpellim᷑ s. nisi ueniamꝰ,S22,F3,,,
48,p448_l16_o05,02v,conabor,ĩtẽptabor.,S22,F2,,,,73v,Conabor ,p448_l16_o05_a,tẽptabo,S22,F2,,,
49,p448_l18_o10,02v,notatis,exceptis & segregatis.,S22,F3,,,,73v,scilet  ,p448_l18_o10_a,scire licet,S25,F3,,,
50,p448_l19_o01,02v,anomalis ,inęqualib;,S22,F2,,,,73v,anomalis ,p448_l19_o01_a,inęqualib; / s. uerbis,S22,F2,p448_l19_o01_b,S22,F4
51,p448_l20_o04,02v,cędo,dic,,F2,,,,73v,cędo ,p448_l20_o04_a,ꝑcutio,S22,F2,p448_l20_o04_b,S13,F5
52,p448_l20_o06,02v,faxo,ꝓfacio,S22,F2,,,,73v,Faxo ,p448_l20_o06_a,facio ł illumino,S22,F3,,,
53,p448_l20_o07,02v,sodes,si audes,S23,F3,,,,73v,Sodes ,p448_l20_o07_a,si audes,S25,F3,,,
54,p448_l20_o08,02v,aue,salue,S22,F2,,,,73v,Aue ,p448_l20_o08_a,salue,S22,F2,,,
55,p448_l20_o09,02v,ferit,qͣsi ꝑcutit,S22,F2,,,,73v,Ferit ,p448_l20_o09_a,ꝑcutit,S22,F2,p448_l20_o09_b,S5,F5
56,p448_l20_o10,02v,insit,dicit,S22,F2,,,,73v,Infit ,p448_l20_o10_a,inꝗd,S22,F2,,,
57,p448_l23_o08,02v,generale,qͣsi generalit̃ et cõmunit̃,S22,F3,,,,73v,generale ,p448_l23_o08_a,÷ generales regulas,S53,F3,,,
58,p448_l24_o06,03r,temptabo,conabor,S22,F2,,,,73v,tẽptabo ,p448_l24_o06_a,conabor nitari  .s. de una ꝑfecta et trib; ĩꝑfectis :,S53,F4,p448_l24_o06_b,S53,F5
59,p448_l26_o12,03r,tantũ,c̃iugaciones,S53,F2,,,,73v,tantũmodo ,p448_l26_o12_a,solũ modo,S22,F2,,,
60,p448_l28_o02,03r,ebesco ,fadt᷑dr̃,S22,F2,,,,73v,Hebesco ,p448_l28_o02_a,hebes eẽ incipio,S23,F3,,,
61,p448_l28_o04,03r,pertimesco,ualde timere incipio ,S23,F4,,,,73v,Pertimesco ,p449_l28_o04_a,inc̃ ꝑtimere,S23,F3,,,
62,p448_l28_o05,03r,euanesco,deficio,S22,F2,,,,73v,Euanesco. ,p448_l28_o05_a,inc̃ euanere ł uacuare / ł uanus fieri incipio,S23,F3,,,
63,p449_l01_o01,03r,patesco,aperire incip{io},S23,F3,,,,73v,Patesco ,p449_l01_o01_a,inc̃ patere : inc̃ pateri,S23,F3,,,
64,p449_l01_o02,03r,notesco,notꝰ fieri iñpio,S23,F3,,,,73v,Notesco ,p449_l01_o02_a,inc̃ notescere,S23,F3,p449_l01_o02_b,S23,F4
65,p449_l01_o04,03r,labasco,ruere,S22,F2,,,,73v,Labasco ,p449_l01_o04_a,labare ÷ ruere,S23,F3,p449_l01_o04_b,S23,F4
66,p449_l02_o04,03r,glisco,cresco,S22,F2,,,,73v,Glisco ,p449_l02_o04_a,÷ crescere,S23,F3,p449_l02_o04_b,S5,F5
67,p449_l04_o01,03r,micturio,mingere /meditor,S22,F3,,,,73v,Micturio ,p449_l04_o01_a,÷ mingere,S23,F3,,,
68,p449_l04_o02,03r,esurio,manducare,S22,F2,,,,73v,Esurio ,p449_l04_o02_a,÷ esurire,S23,F3,,,
69,p449_l05_o08,03r,p̃cedente ,antecedente,S22,F2,,,,73v,p̃cedente ,p449_l05_o08_a,ante,S22,F2,,,
