,lemma_id,gloss_Lat14087,gloss_type_Lat14087,gloss_form_Lat14087,folio,lemma,gloss_id,gloss_Lat7499,gloss_type_Lat7499,gloss_form_Lat7499,marginal_note_id,marginal_note_type,marginal_note_form
40,p452_l21_o01,Obsequor famulor,S22,F2,76r,Obsequor ,p452_l21_o01_a,oboedio/obtẽmpero,S22,F3,,,
41,p452_l22_o04,Iustitum publicus luctus ł puiblici iuris silentũ,S23,F3,76r,Iustitium ,p452_l22_o04_a,locus ubi iustitia sit,S23,F4,,,
42,p452_l23_o03,ꝑpendo. m&ior ł estimo. ł libro ł diligent̃ uideo;,S23,F4,76r,Perpendo ,p452_l23_o03_a,coęquo ꝑpendo/mensuro,S22,F3,,,
43,p452_l24_o07,ferculũ discus,S22,F2,76r,Ferculũ ,p452_l24_o07_a,discus mensa,S22,F3,,,
44,p453_l10_o11,Marceo. langueo. ł areo,S22,F3,76v,Marceo ,p453_l10_o11_a,areo,S22,F2,,,
45,p453_l14_o03,Liquor defluo. labor,S22,F3,77r,Liquor ,p453_l14_o03_a,fluo,S22,F2,p453_l14_o03_b,S5,F4
46,p453_l26_o07,Merges fascis spicarũ ł lini,S23,F3,77r,Merges ,p453_l26_o07_a,mergitis gñs,S222,F3,p453_l26_o07_b,S5,F5
47,p453_l26_o11,Luo penã soluo,S23,F4,77r,Luo ,p453_l26_o11_a,sustineo/ł soluo,S22,F3,p453_l26_o11_b,S54,F4
48,p453_l27_o01,lues pestilentia ł clades / lues pestis,S22,F3,77r,Lues ,p453_l27_o01_a,pestis/luis gñs,S222,F3,p453_l27_o01_b,S22,F4
49,p453_l27_o03,c̃geries cuiꝰ lib& regi,S23,F3,77r,Strues ,p453_l27_o03_a,congeries ligni/ł cumulus terrę,S23,F3,,,
50,p453_l28_o04,intorqueo . uibro,S22,F2,77r,Torqueo ,,,,,p453_l28_o04_b,S23,F5
51,p453_l29_o08,Effutilis inutilis ł in stablis uanꝰ ł loquax; ,S22,F3,77r,effutił ,p453_l29_o08_a,uanus/ instabilis,S22,F3,p453_l29_o08_b,S25,F5
52,p453_l29_o01,Nubo cõiugẽ duco,S23,F4,77r,Nubo  ,,,,,p453_l29_o01_a,S23,F4
53,p453_l29_o02,Nubilis ad nubendũ habilis,S23,F3,77r,nubił ,p453_l29_o02_a,puella/apta ad/nubendũ,S23,F3,,,
54,p453_l30_o01,occidualis/occidentalis,S22,F3,77r,occiduus ,p453_l30_o01_a,transitiuus,S22,F2,p453_l30_o01_b,S23,F5
55,p453_l30_o04,Cedo transigo conficio,S22,F3,77r,Pręcido ,p453_l30_o04_a,ambulo/cedo,S22,F3,,,
56,p453_l30_o05,Inceduus inaccessiblis sine+cila? ;,S22,F3,77r,Pręciduus ,p453_l30_o05_a,locus ad ꝑgendũ habilis,S23,F3,,,
57,p454_l03_o04,decipio frustror,S22,F2,77r,Fallo ,p454_l03_o04_a,m̃tior,S22,F2,,,
58,p454_l17_o07,ꝓnuba. quę nubentibus p̃÷ łquae utrũq c̃iugit;,S23,F4,77v,ꝓnuba ,p454_l17_o07_a,ꝗ nubentib p̃est,S23,F4,p454_l17_o07_b,S23,F5
59,p454_l18_o08,lena c̃cilatrox meretricũ;,S22,F3,77v,Sequor ,p454_l18_o08_a,minister qui/assequitur ł qui assequit? ł / secreta sui senio/ris scit ł assecula,S23,F4,,,
60,p454_l18_o06,Convena de diuersis uenientes locis,S23,F3,77v,Lenio ,p454_l18_o06_a,placo/ł satis fatio,S22,F3,,,
61,p454_l22_o01,Cubo reqͥesco.,S22,F2,77v,Cubo ,p454_l22_o01_a,iaceo,S22,F2,,,
62,p454_l23_o11,Incubo immineo. insto.,S22,F3,77v,Incubo ,,,,,p454_l23_o11_b,S5,F5
63,p454_l26_o04,ꝓpago linea generis,S23,F3,78r,ꝓpago ,,,,,p454_l26_o04_b,S23,F4
64,p455_l03_o01,uas. uadis. pignus ł uadimoniũ,S22,F3,78r,uas ,p455_l03_o01_a,pignꝰ / fide iussor/ꝗ uades re/cipit?,S23,F3,,,
65,p455_l03_o07,fulcrũ.ornam̃tũ lecti. dictũ qđ eo fultam᷑ id ÷ sustentem᷑ ł lectus & cubile;,S23,F4,78r,fulcrũ ,,,,,p455_l03_o07_a,S8141,F5
66,p455_l10_o05,Cõpos possessor ł assecutor uoti;,S23,F3,78r,cõpos. ,p455_l10_o05_a,effector uoti ł adeptor uoti/ł cõpositor ornam̃ti ł uoluntatis,S23,F3,,,
67,p455_l28_o03,Obrigatio caretio. induratio ł congelatio,S22,F3,78v,Obrigatio ,p455_l28_o03_a,obrigo ÷ asꝑgo aquã/asꝑsio ł c̃gelatio,S23,F4,,,
68,p455_l30_o02,Flutor sustentator,S22,F2,78v,Fultor ,p455_l30_o02_a,sustenator/fultio,S22,F3,,,
69,p456_l06_o08,Altilis studiose saginatꝰ,S22,F3,79r,Altilis ,p456_l06_o08_a,auis qͣ saginatur,S23,F4,p456_l06_o08_b,S23,F5
70,p456_l10_o11,Ambages uerboꝵ circuitꝰ sermonũ ꝑplexitas;,S23,F3,79r,Ambages ,p456_l10_o11_a,concertationes ł c̃flictiones ł dubitationes/circuitiones ł an/fractus,S22,F3,,,
71,p456_l18_o07,Censura decus. seueritas. honor iuditia,S22,F2,79r,censura. ,p456_l18_o07_a,iuditiũ iudicatio/ł̃ mensuratio,S22,F3,,,
72,p457_l16_o02,Inspico. Ad ęqualitatẽ spicarũ acuo ł findo; ,S23,F4,80r,Inspico ,p457_l16_o02_a,acuo findo,S22,F3,,,
73,p457_l18_o02,Trutina pensa statera mensura,S22,F3,80r,Trutina ,p457_l18_o02_a,lanx ł m̃sura,S22,F3,,,
74,p457_l18_o03,Trutino. pondero ł ꝓpendo,S22,F3,80r,Trutino ,p457_l18_o03_a,ęqualit̃ m̃suro/pondero coęquo,S22,F3,,,
75,p457_l18_o05,Machinor molior exquiro. fabrico. paro c̃fitio. Exstruo,S22,F3,80r,Machina ,p457_l18_o05_a,argum̃tũ/ędificium,S22,F3,p457_l18_o05_b,S22,F3
76,p457_l19_o02,Nundinę loca mercati id ÷ argisteria.,S23,F3,80r,Nundine ,p457_l19_o02_a,mercatũ ł mercationes ł anonis/semꝑ płtr ꝓ̃nuntiantur,S312,F4,,,
77,p457_l19_o03,Nundinor meror . Emo. comparo.,S22,F3,80r,Nundinor ,p457_l19_o03_a,mercor,S22,F2,,,
78,p457_l20_o05,Moror  ꝓcrastino differo .r&ardo,S22,F3,80r,moror ,p457_l20_o05_a,tardo,S22,F2,,,
79,p457_l21_o04,Causor calõnior impedio,S22,F3,80r,causor ,p457_l21_o04_a,causas q̃ro,S25,F4,,,
80,p457_l21_o07,gemino cresco,S22,F2,80r,Rota ,p457_l21_o07_a,uolubilitas,S22,F2,,,
81,p457_l21_o10,Multa occisio. ł int̃emptio,S22,F3,80r,Multa ,p457_l21_o10_a,occisio censꝰ/ł tributum,S22,F3,,,
82,p457_l21_o11,condẽpno uexo. lacero ł iterimo,S22,F3,80r,Multo ,p457_l21_o11_a,dãpno occido/condẽpno,S22,F3,,,
83,p457_l22_o05,Lixa aqua lipida,S23,F3,80r,Lixa ,p457_l22_o05_a,seruus militũ/siue mercenarius,S22,F3,p457_l22_o05_b,S23,F5
84,p457_l22_o06,Eliquo id ÷ aqua excoquo÷,S23,F4,80r,Elixo ,,,,,p457_l22_o06_a,S5,F5
85,p457_l23_o01,Baccha oliuae. Lauriq; poma,S23,F3,80r,Baccha ,p457_l23_o01_a,insania dem̃tia,S22,F3,,,
86,p457_l23_o02,Bachor cũ furore discurro . insanio ł seuio,S23,F4,80r,Bacchor ,p457_l23_o02_a,insanio seuio inde bacchus/appellat ᷑uinum,S24,F4,,,
87,p457_l26_o07,ꝓbus. benemoratꝰ. honestus. Festiuus decens . grauis ,S22,F3,80r,ꝓbus ,p457_l26_o07_a,bonus ęquus/ꝑfectus,S22,F3,,,
88,p457_l28_o05,uagor. circũfero discurro. erro ,S22,F3,80r,Vagor ,p457_l28_o05_a,erro hac & illac uergo,S23,F4,p457_l28_o05_b,S22,F3
89,p457_l28_o13,Desolo destituo nudo inopẽ facio.,S23,F4,80r,Desolo ,,,,,p457_l28_o13_a,S23,F4
90,p457_l30_o06,Serenus. purus. tranquillus . placidus.,S22,F3,80r,Serenus ,p457_l30_o06_a,humilis tranquillus/mitis,S22,F3,,,
91,p457_l32_o04,Obliquo . trasuerto . ł curuo delato . deposito inferor umposto ł latiorẽ facio.,S23,F4,80r,Obliquo ,p457_l32_o04_a,incuruo,S22,F2,,,
92,p457_l34_o05,Apto. c̃iungo ł sotio,S22,F2,80r,Apto ,p457_l34_o05_a,Accõmođ ł dignor,S22,F3,,,
93,p457_l34_o08,Sollicito. inquięto. molesto. ,S22,F3,80r,Sollicito ,p457_l34_o08_a,curo assiduo,S22,F3,,,
94,p457_l35_o09,uiduus. alienus. sterilis. Diuisus separatus,S22,F3,80r,Viduus ,p457_l35_o09_a,derertꝰ,S22,F2,,,
95,p457_l35_o10,Viduo. desclor,S22,F2,80r,Viduo ,p457_l35_o10_a,Deserto separo,S22,F3,,,
96,p458_l01_o01,Mutuus. cõmodatus,S22,F2,80r,Mutuus ,p458_l01_o01_a,prestator/p̃statꝰ,S22,F3,,,
97,p458_l01_o10,fucus color niger,S23,F3,80r,Focus ,p458_l01_o10_a,"Φos grece, Lux latine. Inde diriuat᷑ focus correpta fo :",S211,F4,,,
98,p458_l01_o11,Fuco tingo. inficio. depingo.,S22,F3,80r,Suffoco ,p458_l01_o11_a,a noẽ focꝰ suffoco ÷ strangulo,S54,F3,,,
99,p458_l02_o10,Stimulo urgeo  fimo. Sordeo,S22,F3,80r,Stimulo ,p458_l02_o10_a,pungo incito,S22,F3,,,
100,p458_l03_o06,M&a finis ,S22,F2,80r,Terminꝰ ,p458_l03_o06_a,finis meta,S22,F3,,,
101,p458_l03_o07,M&ior constituo castra designo,S23,F4,80r,Termino ,p458_l03_o07_a,finio/meto,S22,F3,,,
102,p458_l03_o10,ꝑenno. ꝑannos ago,S25,F3,80v,ꝑenno ,p458_l03_o10_a,ꝑmaneo p unũ annũ ł moror/ꝑ annos/ꝓtelo,S23,F4,,,
103,p458_l05_o07,Stomachor . lacero . lrascor.,S22,F3,80v,Stomachor ,p458_l05_o07_a, maxime in stomacho/fit ira ł letitia/os uentris/irascor,S23,F4,,,
104,p458_l06_o06,Libũ .genus dulciam̃ti ł libam̃tũ ,S222,F3,80v,Libũ ,p458_l06_o06_a,sacrificiũ p̃gusto,S22,F3,p458_l06_o06_b,S4181,F5
105,p458_l06_o07,libo sacrifico. uel deglisto.,S22,F3,80v,libo ,,,,,p458_l06_o07_a,S22,F4
106,p458_l07_o06,peculiũ pecunia,S22,F2,80v,Peculiũ ,p458_l07_o06_a,ꝓpͥa possessio,S23,F3,p458_l07_o06_b,S23,F4
107,p458_l07_o07,Depeculior depopulor conpilo. Exhaurio  e uesto,S22,F3,80v,depeculior ,p458_l07_o07_a,aufero diuitias tuas a te/deuasto,S23,F4,,,
108,p458_l11_o11, ꝑagror circũeo ꝑãbo ꝑtranseo.giro. uagor,S22,F3,80v,ꝑagro ,p458_l11_o11_a,ꝑagro suado/seu ꝑlustro,S22,F3,,,
109,p458_l17_o07,Contionor . alloquor,S22,F2,80v,contionor ,p458_l17_o07_a,contionem/alloquor/eloquent̃ loquor/in foro ł in  placito ser es catalogꝰ,S23,F4,,,
110,p458_l18_o05,Deuirgino corrũpo. c̃tamino,S22,F2,80v,deuirgino ,p458_l18_o05_a,puellã corrũpo/ł uirgintatẽ aufero,S23,F4,,,
111,p458_l19_o03,Lacto . decipio. blandior .,S22,F2,80v,Lacto ,p458_l19_o03_a,decipio alo nutrio/siue lac do,S23,F4,,,
112,p458_l21_o06,Exuberor abundo,S22,F2,80v,Exubero ,p458_l21_o06_a,habundo,S22,F2,,,
113,p458_l21_o09,Aggeror. comulo. congrego,S22,F3,80v,Aggero ,p458_l21_o09_a,c̃grego accumulo,S22,F3,,,
114,p458_l24_o09,Auguro. Omina capito,S23,F3,80v,Auguro ,p458_l24_o09_a,auguriis intendo/ł diuino,S23,F4,,,
115,p458_l25_o06,Nugas turpes. uanos. inutiles. uanos maculosos.,S22,F3,80v,Nugas ,p458_l25_o06_a,uanꝰ mał t᷑pis piger,S22,F3,,,
116,p458_l25_o08,Nugor t᷑pit̃ ago,S23,F3,80v,Nur̶gor ,p458_l25_o08_a,uilesco det᷑por,S22,F3,,,
117,p458_l26_o01,uas. uadis pignus ł uadimoniũ,S22,F3,80v,Vas ,p458_l26_o01_a,qđ rustice dr̃/uuatges dicr̃ aut̃/uades coqđ illis datis,S21,F4,p458_l26_o01_b,S23,F5
118,p458_l26_o07,Aries machina,S222,F2,80v,Aries ,p458_l26_o07_a,princeps/gregis,S23,F3,p458_l26_o07_b,S23,F3
119,p458_l26_o08,Arieto impingo,S22,F2,80v,Arieto ,p458_l26_o08_a,ꝯiuros destruo/ł gub̶no,S23,F4,,,
120,p458_l27_o02,Comito. comeseo. ꝓsequor,S22,F3,80v,comitor ,p458_l27_o02_a,tecũ uado ł subsequor,S23,F4,,,
121,p458_l27_o05,Sedo. Mollio placo. Mitigo // Sedo. pacifico. mitigo. ,S22,F3,80v,Sedo ,p458_l27_o05_a,mitigo placo/sereno fecundo,S22,F3,,,
122,p458_l29_o09, Detestor abominor,S22,F2,81r,testor ,p458_l29_o09_a,iuro inde detestor ÷ ab hominor,S54,F3,,,
123,p459_l03_o05, lego legas. tes,S24,F3,81r,Lego  ,p459_l03_o05_a,leges cõpono/ł legationẽ mitto,S23,F4,,,
124,p459_l04_o07,ꝑnox ꝑuigl,S22,F2,81r,ꝑnox ,p459_l04_o07_a,ꝑuigil,S22,F2,,,
125,p459_l07_o07,ab estus. eftuo,S54,F3,81r,ęstuo ,p459_l07_o07_a,ardeo caleo/ferueo,S22,F3,,,
126,p459_l13_o03,Nisus conam̃ cestam̃,S22,F3,81r,nisus ,p459_l13_o03_a,audeo A nitor Conam̃ conatio,S22,F3,,,
127,p459_l13_o05,Notꝰ a nosco,S54,F3,81r,Notus. ,p459_l13_o05_a,Notio ⁊ Notam̃,S22,F3,,,
128,p459_l14_o03,Acies. ab acuo,S54,F3,81r,acies ,p459_l14_o03_a,uenit ab acuo/acum̃ exercitꝰ,S53,F3,,,
129,p459_l14_o04,facies a fatio,S54,F3,81r,Facies ,p459_l14_o04_a,a fatio,S54,F3,,,
130,p459_l14_o05,fides a  fido,S54,F3,81r,Fides ,p459_l14_o05_a,a ũbo fido ÷ credo,S54,F3,,,
131,p459_l14_o06,Res a reor,S54,F3,81r,Res ,p459_l14_o06_a,a ũbo Reor,S54,F3,,,
132,p459_l32_o11,indagor. Inuestigo. inquiro,S22,F3,81v,iNdagor ,p459_l32_o11_a,inꝗro exploro inuestigo,S22,F3,,,
133,p461_l01_o07,Mancipo. manu capio in seruitutẽ redigo,S23,F4,82v,Mancipo ,p461_l01_o07_a,subdo familor seruio inde mancipiũ,S22,F3,,,
134,p461_l10_o04,Humo humi trado ł sepelio.,S22,F3,82v,humus ,p461_l10_o04_a,tellus,S22,F2,,,
135,p461_l17_o06,Ingurgito. p̃cipitẽdo,S22,F2,82v,ingurgito ,p461_l17_o06_a,deglutino absorbeo,S22,F3,,,
136,p461_l19_o07,ꝑendie.  ꝓ̃cras. uel p̃tertium diem ł antediem.,S23,F3,82v,ꝓcrastino ,p461_l19_o07_a,ꝓtelo ꝓlongo ꝑendino differo aliꝗd,S23,F4,,,
137,p461_l20_o02,cõꝑendino. in t̃tiũ diẽ ꝓtraho ł differo,S23,F4,82v,coꝑendino ,p461_l20_o02_a,÷ ꝓlongo differo in aliũ diem in longũ mitto,S23,F4,,,
138,p462_l06_o07,Vello moueo,S22,F2,83r,uello ,p462_l06_o07_a,decio destruo carpo eradico,S22,F3,,,
139,p462_l06_o09,Vellico cauillor,S22,F2,83r,uellico ,p462_l06_o09_a,idir? uim est qđ uello,S23,F4,p462_l06_o09_b,S5,F5
140,p462_l07_o05,Nt̃co iurgo,S22,F2,83r,Nutrio ,p462_l07_o05_a,alo foueo,S22,F3,,,
141,p462_l10_o02,sarcinor oneror,S22,F2,83r,sarcinor ,p462_l10_o02_a,pondero,S22,F2,,,
142,p462_l28_o10,luo penã soluo,S23,F4,83r,luo ,p462_l28_o10_a,sustineo,S22,F2,,,
143,p463_l08_o06,Bulla inflatio auqarũ ł ornam̃ in similitudine inflatioñ spumę aquarũ,S23,F4,83r,bulla ,p463_l08_o06_a,ornam̃tũ camelorũ si/ue uesicule in aqua,S23,F4,,,
144,p463_l09_o08,Largior g{r}atiã p̃sto,S23,F4,83r,largio ,p463_l09_o08_a,tribuo,S22,F2,,,
145,p463_l12_o03,Balbus. ab alando dictus potius quã ad  loquendo,S53,F4,83r,Balbus ,p463_l12_o03_a,balbio fier&,S54,F4,,,
146,p463_l14_o02,Moles magnitudo aceruus cumulus,S22,F3,83v,Moles ,p463_l14_o02_a,magnitudo,S22,F2,,,
147,p463_l15_o06,Sepior circũdo uallo,S22,F3,83v,Sepio ,p463_l15_o06_a,munio circũdo,S22,F3,,,
148,p463_l18_o10,calx posterior pars pedis,S23,F3,83v,calx ,,,,,p463_l18_o10_a,S8141,F5
149,p463_l19_o04,Calcius soccus unde caltinaria,S24,F3,83v,caltius ,p463_l19_o04_a,÷ calcaneũ,S22,F2,,,
150,p463_l25_o02,M&a finis,S22,F2,83v,meta ,p463_l25_o02_a,finis t̃minus,S22,F3,,,
151,p463_l25_o03,termino finio,S22,F2,83v,Metor ,p463_l25_o03_a,figo t̃mino,S22,F3,,,
152,p463_l25_o09,M&ior constituo castra designo,S23,F4,83v,metior ,p463_l25_o09_a,÷ mensuro,S22,F2,,,
153,p465_l23_o02,ludifico. eludo ,S22,F2,84r,Ludificor ,p465_l23_o02_a,decipio ł̃ ludũ fatio,S23,F3,,,
154,p465_l24_o04,Morigeror morib; cõpno,S23,F4,84r,Morigeror ,p465_l24_o04_a,mores gero compositũ a nõe ⁊ uerbo,S25,F4,,,
155,p465_l25_o11,ꝓmitto polliceor. ,S22,F2,84r,Polliceor ,p465_l25_o11_a,ꝓmitto spondeo,S22,F3,,,
