,lemma_id,folio,lemma,gloss_VLO41,gloss_type_VLO41,gloss_form_VLO41,marginal_note_id,marginal_note_type,marginal_note_form,gloss_Lat14087,gloss_type_Lat14087,gloss_form_Lat14087
53,p453_l29_o08,07r,efutilis,uacuus instabilis,S22,F3,,,,Effutilis inutilis ł in stablis uanꝰ ł loquax; ,S22,F3
54,p453_l29_o01,07r,nubo,muliem du{xi},S23,F3,,,,Nubo cõiugẽ duco,S23,F4
55,p453_l29_o02,07r,nubilis ,nubilis dr̃ apta ad,S23,F4,,,,Nubilis ad nubendũ habilis,S23,F3
56,p453_l30_o01,07r,occiduus,occidentalis,S22,F2,,,,occidualis/occidentalis,S22,F3
57,p453_l30_o04,07r,cedo,paucior ãbulo / in,S22,F3,,,,Cedo transigo conficio,S22,F3
58,p454_l03_o04,07v,fallo,,,,,,,decipio frustror,S22,F2
59,p454_l17_o07,08r,pronuba,mulier ꝗ disponit nuptias,S23,F4,,,,ꝓnuba. quę nubentibus p̃÷ łquae utrũq c̃iugit;,S23,F4
60,p454_l18_o08,08r,lena,sillex,S22,F2,,,,lena c̃cilatrox meretricũ;,S22,F3
61,p454_l18_o06,08r,conuena,ꝗ simulcũ aliis conuenit,S23,F4,,,,Convena de diuersis uenientes locis,S23,F3
62,p454_l18_o10,08r,adsecula,qͣsi serui militis,S23,F3,,,,assecula. domesticus diens familiaris subiectus;,S22,F3
63,p454_l22_o01,08r,cubo,a cubando,S54,F3,s genꝰ monstri,S23,F3,Cubo reqͥesco.,S22,F2
64,p454_l23_o11,08r,incubo,genꝰ demonũ,S52,F3,,,,Incubo immineo. insto.,S22,F3
65,p454_l26_o04,08r,propago ,ad ui nite res ꝑtinet,S23,F4,,,,ꝓpago linea generis,S23,F3
66,p455_l03_o07,08v,fulcrũ,ornamentũ lecti,S23,F3,,,,fulcrũ.ornam̃tũ lecti. dictũ qđ eo fultam᷑ id ÷ sustentem᷑ ł lectus & cubile;,S23,F4
67,p455_l10_o05,08v,compos,sotius siue effector uotiui,S22,F3,,,,Cõpos possessor ł assecutor uoti;,S23,F3
68,p455_l10_o08,08v,auxpex,inspector auiũ aurator,S23,F3,,,,Auspex. qͥ auiũ auspicia id÷ quasi ospitia captat.,S23,F4
69,p455_l28_o03,09r,obiurgatio,increpatio,S22,F2,,,,Obrigatio caretio. induratio ł congelatio,S22,F3
70,p455_l30_o02,09r,fultor,sustentator,S22,F2,,,,Flutor sustentator,S22,F2
71,p456_l06_o01,09v,plausibilis,ꝑuissibilis,S22,F2,,,,Plausibilis popularis uulgaris,S22,F3
72,p456_l06_o08,09v,altilis,++++ ł saginatus,S22,F3,,,,Altilis studiose saginatꝰ,S22,F3
73,p456_l07_o01,09v,tortilis,funis,S22,F2,,,,Tortilis qͥ torqueri potest,S23,F4
74,p456_l10_o11,09v,ambages,dubietates,S22,F2,,,,Ambages uerboꝵ circuitꝰ sermonũ ꝑplexitas;,S23,F3
75,p456_l18_o07,09v,censura,res ad iudicatio,S23,F3,,,,Censura decus. seueritas. honor iuditia,S22,F2
76,p457_l18_o02,10v,trutina,libra eꝗ lanx,S23,F3,,,,Trutina pensa statera mensura,S22,F3
77,p457_l18_o03,10v,trutino,equo,S22,F2,,,,Trutino. pondero ł ꝓpendo,S22,F3
78,p457_l18_o04,10v,machina,instrum̃tũ qđcũq; p̃paratũ ad insidias,S23,F4,,,,Machina instructio bellica,S222,F3
79,p457_l18_o05,10v,machinor,molior fraudẽ g̃ deponens,S23,F3,,,,Machinor molior exquiro. fabrico. paro c̃fitio. Exstruo,S22,F3
80,p457_l19_o02,10v,nundine,mercata pubica,S23,F3,,,,Nundinę loca mercati id ÷ argisteria.,S23,F3
81,p457_l19_o03,10v,nundinor,mercator,S22,F2,,,,Nundinor meror . Emo. comparo.,S22,F3
82,p457_l20_o05,10v,moror,tardo,S22,F2,,,,Moror  ꝓcrastino differo .r&ardo,S22,F3
83,p457_l21_o04,10v,causor,testor,S22,F2,,,,Causor calõnior impedio,S22,F3
84,p457_l21_o11,11r,multo,uindico punio,S22,F3,,,,condẽpno uexo. lacero ł iterimo,S22,F3
85,p457_l22_o05,11r,lixa,ł aqua/mercenarius,S22,F3,,,,Lixa aqua lipida,S23,F3
86,p457_l22_o06,11r,elixo,aliꝗd aq(uor ?)/c̃tendo,S23,F3,,,,Eliquo id ÷ aqua excoquo÷,S23,F4
87,p457_l23_o01,11r,bacha,lauriẽ ,S22,F2,,,,Baccha oliuae. Lauriq; poma,S23,F3
88,p457_l23_o02,11r,bachor,ł idem stomachorł irascor,S22,F3,,,,Bachor cũ furore discurro . insanio ł seuio,S23,F4
89,p457_l26_o07,11r,prob;,idoneus strenuus sagax,S22,F3,,,,ꝓbus. benemoratꝰ. honestus. Festiuus decens . grauis ,S22,F3
90,p457_l30_o06,11r,serenus,tranquillus,S22,F2,,,,Serenus. purus. tranquillus . placidus.,S22,F3
