               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.021835,            0.028028,           0.0028359,             0.89204,             0.83054,             0.86814,             0.56025,            0.030052,            0.030012,           0.0020301,             0.00307,             0.00307,             0.00307
                  37,            0.021307,            0.028136,           0.0031076,             0.89728,             0.83878,             0.86558,             0.57122,            0.028841,            0.030214,           0.0020063,            0.002872,            0.002872,            0.002872
                  38,            0.021181,            0.030958,           0.0025634,             0.89854,             0.85214,             0.86726,             0.56257,            0.030193,             0.03041,           0.0019355,            0.002674,            0.002674,            0.002674
                  39,              0.0206,            0.028061,             0.00249,             0.88287,             0.85731,             0.86242,             0.55606,            0.029152,              0.0306,           0.0017952,            0.002476,            0.002476,            0.002476
                  40,            0.019979,            0.027134,            0.002403,             0.89006,             0.85856,             0.86026,              0.5687,            0.028851,            0.030944,           0.0016031,            0.002278,            0.002278,            0.002278
                  41,            0.020469,            0.027049,           0.0027259,              0.8884,             0.84159,             0.85962,             0.55248,            0.029732,            0.031455,           0.0016287,             0.00208,             0.00208,             0.00208
                  42,            0.019397,            0.026622,           0.0021544,             0.88602,             0.83731,             0.85637,               0.575,             0.02899,            0.031479,            0.001567,            0.001882,            0.001882,            0.001882
                  43,            0.018843,            0.027343,           0.0023601,             0.85848,             0.85826,             0.85554,             0.57414,            0.028928,            0.031145,           0.0015209,            0.001684,            0.001684,            0.001684
                  44,            0.018709,            0.027528,           0.0021704,             0.85578,             0.85638,             0.86072,             0.57444,            0.028733,            0.031045,           0.0014349,            0.001486,            0.001486,            0.001486
                  45,            0.018574,            0.026871,           0.0023591,             0.83516,             0.84026,             0.83407,             0.56855,            0.028404,            0.031258,            0.001405,            0.001288,            0.001288,            0.001288
                  46,            0.018756,            0.025545,           0.0019741,             0.86009,             0.85411,             0.85516,              0.5799,            0.027971,            0.031448,           0.0013351,             0.00109,             0.00109,             0.00109
                  47,              0.0173,            0.026715,           0.0022618,             0.89692,              0.8223,             0.86004,             0.57699,            0.028199,            0.031481,           0.0013087,            0.000892,            0.000892,            0.000892
                  48,            0.017285,            0.027624,           0.0018747,              0.8996,             0.82359,             0.85498,             0.57025,            0.028101,            0.031467,           0.0013385,            0.000694,            0.000694,            0.000694
                  49,            0.017348,             0.02648,           0.0019987,             0.87032,             0.85521,             0.85565,              0.5756,            0.027881,             0.03142,           0.0012793,            0.000496,            0.000496,            0.000496
