lemma_id,gloss_type_VLO41,gloss_type_Bamberg,gloss_type,gloss_form_VLO41,gloss_form_Bamberg,gloss_form,lemma_VLO41,gloss_VLO41,lemma_Bamberg,gloss_Bamberg,lemma,gloss
p452_l21_o06,S23,S23,S23,F3,F3,F3,domicilium,parua casida,domiciliũ ,domus auiũ,Domicilium ,domꝰ auiũ
p452_l23_o03,S22,S22,S22,F3,F3,F3,perpendo ,Libro / coequo ,Perpendo ,m̃suro ł penso,Perpendo ,coęquo ꝑpendo/mensuro
p452_l23_o05,S22,S22,S22,F2,F2,F2,euerso,destruo,Euerso ,destruo,Euerso ,destruo
p452_l27_o01,S22,S22,S22,F2,F2,F2,tego,cooperio ,Tego ,operio,Tego ,operio
p452_l27_o02,S22,S22,S22,F2,F2,F2,tegimen,cooperimentũ,Tegim̃ ,operim̃tũ,Tegimen ,operimentũ
p452_l31_o10,S22,S22,S22,F2,F2,F2,presertim,ĩ maxime ł ominino,pręsertim ,(maxime?),p̃sertim ,maxime
p453_l02_o06,S53,S53,S53,F3,F3,F3,positionis ,s̃ pͥme persone,positionis ,pͥmę ꝑsonę,positionis ,pͥmę ꝑsonę
p453_l05_o08,S22,S22,S22,F2,F2,F2,censor,iudex,censor ,iudex,censor ,iudex
p453_l12_o03,S22,S22,S22,F2,F2,F2,horreo.,timeo,horreo ,abhominor,Horreo ,abominor
p453_l14_o03,S22,S22,S22,F2,F2,F2,liquor,defluo,Liquor ,fluo,Liquor ,fluo
p453_l17_o07,S22,S22,S22,F2,F2,F2,sordidus , tͫpisseđ ,sordidus ,ma(culatus)?,sordidus ,maculatꝰ
p453_l19_o03,S22,S22,S22,F2,F2,F2,torreo ,arefio uro,Torreo ,uro,Torreo ,uro
p453_l27_o02,S22,S22,S22,F2,F2,F2,struo,congero,struo ,ędifico,Struo ,edifico
p453_l29_o07,S22,S22,S22,F2,F2,F2,efutio ,inanesco,Effutio ,effundo,Effutio ,effundo
p453_l29_o08,S22,S22,S22,F3,F3,F3,efutilis,uacuus instabilis,effutilis ,uanus instab̶is,effutił ,uanus/ instabilis
p453_l30_o01,S22,S22,S22,F2,F2,F2,occiduus,occidentalis,occiduus ,transitiuus,occiduus ,transitiuus
p453_l32_o01,S22,S22,S22,F2,F2,F2,strido,sono,Strido ,sono,Strido ,sono
p453_l32_o04,S22,S22,S22,F2,F2,F2,gerulus,portator,gerulus ,portitor,geruł ,portitor
