,lemma_id,gloss_type_VLO41,gloss_type_Bamberg,gloss_form_VLO41,gloss_form_Bamberg,lemma_VLO41,gloss_VLO41,lemma_Bamberg,gloss_Bamberg
67,p451_l12_o03,S22,S22,F2,F2,Ferio,ꝑcucio,ferio ,ꝑcutio
68,p451_l12_o05,S22,S22,F2,F2,Aperio,manifesto,aperio ,resero
69,p451_l13_o04,S22,S22,F2,F2,Inretio,inligo,irretio ,inlaqueo
70,p451_l14_o02,S22,S22,F2,F2,blandior,lenior,blandior ,adulor
71,p451_l14_o04,S22,S22,F2,F2,ordior,incipio,ordior ,incipio
72,p451_l14_o08,S22,S22,F2,F2,sortior,ĩ accipio,sortior ,accipio
73,p451_l21_o06,S22,S22,F3,F3,elitio,expͥmo /seduco,elicio ,extorqueo ł exprimo
74,p451_l21_o10,S22,S22,F2,F2,offitio,noceo,officio ,noceo
75,p451_l22_o04,S22,S22,F2,F2,orior,nascor,orior ,nascor
76,p451_l23_o05,S22,S22,F2,F2,potior,utor,potior ,fruor
77,p451_l33_o03,S22,S22,F2,F2,disserere,manifestare,disserere ,exponere
78,p451_l34_o05,S22,S22,F2,F2,ubertati,copie,ubertati ,abundantię
79,p452_l02_o04,S22,S22,F2,F2,motu ,ĩ modo,motu ,.i. modo
80,p452_l02_o07,S3232,S3232,F2,F2,eas,terminationes,eas ,sb̶ t̃mina/tiones
81,p452_l04_o03,S22,S22,F2,F2,adherentia ,ĩ coherentia,adhęrentia ,SERU ͣ ᷠ ͭ ͥ ͣ
82,p452_l05_o01,S22,S22,F3,F3,origines,principia exordia,origines ,INITI ͣ EXORDI ͣ
83,p452_l15_o08,S22,S22,F2,F2,litigo,rexo,litigo ,altercor
84,p452_l15_o09,S22,S22,F2,F2,litigium,iurgium,litigium ,rixa
85,p452_l15_o11,S22,S22,F2,F2,commertium,mercimoniũ,cõmertiũ ,lucrũ
86,p452_l16_o01,S22,S22,F2,F2,obsono ,contradico,obsono ,c̃trasono
87,p452_l17_o06,S22,S22,F2,F2,inpero,precipio,impero ,regno
88,p452_l18_o05,S22,S22,F2,F2,gaudeo,letor,gaudeo ,gratulor
89,p452_l18_o07,S22,S22,F2,F2,presideo,auxilio,pręsideo ,p̃sum
