lemma_id,gloss,gloss_type,gloss_form
p457_l18_o05,Machinor molior exquiro. fabrico. paro c̃fitio. Exstruo,S22,F3
p457_l19_o02,Nundinę loca mercati id ÷ argisteria.,S23,F3
p457_l19_o03,Nundinor meror . Emo. comparo.,S22,F3
f97v_l08_04-06,Mores. quę impedit,S23,F4
p457_l20_o05,Moror  ꝓcrastino differo .r&ardo,S22,F3
p457_l21_o04,Causor calõnior impedio,S22,F3
p457_l21_o07,gemino cresco,S22,F2
p457_l21_o10,Multa occisio. ł int̃emptio,S22,F3
p457_l21_o11,condẽpno uexo. lacero ł iterimo,S22,F3
p457_l22_o05,Lixa aqua lipida,S23,F3
p457_l22_o06,Eliquo id ÷ aqua excoquo÷,S23,F4
p457_l23_o01,Baccha oliuae. Lauriq; poma,S23,F3
p457_l23_o02,Bachor cũ furore discurro . insanio ł seuio,S23,F4
p457_l26_o07,ꝓbus. benemoratꝰ. honestus. Festiuus decens . grauis ,S22,F3
p457_l28_o05,uagor. circũfero discurro. erro ,S22,F3
p457_l28_o13,Desolo destituo nudo inopẽ facio.,S23,F4
p457_l30_o06,Serenus. purus. tranquillus . placidus.,S22,F3
p457_l32_o04,Obliquo . trasuerto . ł curuo delato . deposito inferor umposto ł latiorẽ facio.,S23,F4
p457_l34_o05,Apto. c̃iungo ł sotio,S22,F2
p457_l34_o08,Sollicito. inquięto. molesto. ,S22,F3
p457_l35_o09,uiduus. alienus. sterilis. Diuisus separatus,S22,F3
p457_l35_o10,Viduo. desclor,S22,F2
p458_l01_o01,Mutuus. cõmodatus,S22,F2
p458_l01_o10,fucus color niger,S23,F3
p458_l01_o11,Fuco tingo. inficio. depingo.,S22,F3
p458_l02_o10,Stimulo urgeo  fimo. Sordeo,S22,F3
p458_l03_o06,M&a finis ,S22,F2
p458_l03_o07,M&ior constituo castra designo,S23,F4
p458_l03_o10,ꝑenno. ꝑannos ago,S25,F3
p458_l05_o07,Stomachor . lacero . lrascor.,S22,F3
p458_l06_o06,Libũ .genus dulciam̃ti ł libam̃tũ ,S222,F3
p458_l06_o07,libo sacrifico. uel deglisto.,S22,F3
p458_l07_o06,peculiũ pecunia,S22,F2
p458_l07_o07,Depeculior depopulor conpilo. Exhaurio  e uesto,S22,F3
p458_l11_o11, ꝑagror circũeo ꝑãbo ꝑtranseo.giro. uagor,S22,F3
p458_l12_o02,integror. Reparo.,S22,F2
p458_l17_o07,Contionor . alloquor,S22,F2
p458_l18_o05,Deuirgino corrũpo. c̃tamino,S22,F2
p458_l19_o03,Lacto . decipio. blandior .,S22,F2
p458_l21_o06,Exuberor abundo,S22,F2
p458_l21_o09,Aggeror. comulo. congrego,S22,F3
p458_l24_o09,Auguro. Omina capito,S23,F3
p458_l25_o06,Nugas turpes. uanos. inutiles. uanos maculosos.,S22,F3
p458_l25_o08,Nugor t᷑pit̃ ago,S23,F3
p458_l26_o01,uas. uadis pignus ł uadimoniũ,S22,F3
p458_l26_o03,uador. ꝓmitoo. causã ago. Fidẽ fatio,S23,F4
p458_l26_o07,Aries machina,S222,F2
p458_l26_o08,Arieto impingo,S22,F2
p458_l27_o02,Comito. comeseo. ꝓsequor,S22,F3
p458_l27_o05,Sedo. Mollio placo. Mitigo // Sedo. pacifico. mitigo. ,S22,F3
p458_l29_o09, Detestor abominor,S22,F2
p459_l03_o05, lego legas. tes,S24,F3
p459_l04_o07,ꝑnox ꝑuigl,S22,F2
p459_l06_o02,p̃cipito ab alto deico,S23,F4
p459_l07_o07,ab estus. eftuo,S54,F3
p459_l07_o10,fluctuo uacillo. indiuersa rapior,S4181,F4
