Lt,Le,Tl,Gm,Gi,Gnorm,folio,line,Lorder,Mg,Temp,Loc,Forme,Sens,grammatical terminology (Schad),Notes divers,Concordance avec Latin 14087
machina,,,,instrum̃tũ qđcũq; p̃paratũ ad insidias,instrumentum quodcumque preparatum ad insidias,10v,21,a,A,T1,P0,F4,S23,,,Machina instructio bellica
machinor,,,,molior fraudẽ g̃ deponens,,10v,21,b,A,T1,P0,F3,S22 et S331,,,Machinor. molior ex quiro. fabrico. paro c̃fitio. Exstruo
pugna,,,,p̃liũ aliqđ,proelium aliquid,10v,21,c,AB,,P0,F3,S22,,,
nundine,,,,mercata pubica,,10v,22,a,A,T1,P0,F3,S23,,,Nundinę. loca mercati id ÷ argisteria.
nundinor,,,,mercator,,10v,22,b,A,T1,P0,F2,S22,,,Nundinor . meror . Emo. comparo.
aquor,,,,aquã deportor,aquam deportor,10v,23,,A,T1,P0,F3,S23,,,
moror,,,,tardo,,10v,24,a,A,T1,P0,F2,S22,,,Moror. ꝓcrastino differo .r&ardo. 
moras,,,,tardas,,10v,24,b,A,T1,P0,F2,S22,,,
quadra,,,,qͣsi diuido,quasi diuido,10v,24,c,AB,,P0,F2,S22,,,
quadror,,,,quadruplo,,10v,24,d,AB,,P0,F2,S22,,,
cura,,,,mundata,,10v,24,e,AB,,P0,F2,S22,,,
curo,,,,expio,,10v,24,f,AB,,P0,F2,S22,,,
causor,,,,testor,,10v,25,a,A,T1,P0,F2,S22,,,causor . calõnior impedio
roto,,,,uoluo,,10v,25,b,AB,,P0,F2,S22,,,
multo,,,,uindico punio,,11r,1,a,A,T1,P0,F2,S22,,,Multo. condẽpno uexo. lacero ł iterimo
rixo,,,,obiurgo,,11r,1,b,AB,,P0,F2,S22,,,
lixa,,,,ł aqua,,11r,1,,B,T2,P1 top,F2,S22,,,Lixa.aqua łipida
lixa,,,,mercenarius,,11r,1,c,A,T1,P0,F2,S22,,,
elixo,,,,aliꝗd aq(uor ?),aliquid aquor,11r,1,d,A,T1,P0,F3,S23,,*contendo plutôt rixo * elixo= aqua coquor, unde elixo id ÷ aqua excoquo÷
elixo,,,, c̃tendo,,11r,1,e,B,T2,P0,F2,S22,,,
bacha,,,,lauriẽ ,lauriem,11r,2,a,AB,,P0,F2,S22,,*bacha = navire ,Baccha oliuae. lauriq. poma
bachor,,,,ł idem stomachorł irascor,,11r,2,b,AB,,P0,F2,S22,,,Bachor. cũ furore discurro . insanio ł seuio
prob;,probus,,,idoneus strenuus sagax,,11r,6,,A,T1,P0,F2,S22,,,ꝓbus. benemoratꝰ. honestus. festiuus
o/pacus,,,,spissus ũbrosus ,,11r,7,a,A,T1,P0,F2,S22,,,
opaco,,,,denseo,,11r,7,b,A,T1,P0,F2,S22,,,
amico,,,,amititias cõpono,amicitias compono,11r,7,c,A,T1,P0,F3,S23,,,
nudus,,,,discooꝑtꝰ,discoopertus,11r,8,a,B,T2,P0,F2,S22,,,
fedus,,,,turpis ,,11r,8,b,A,T1,P0,F2,S22,,,
foedo,,,,amiciciã sig̃ne,amicitiam significare,11r,8,c,B,T2,P0,F3,S23,,,
uagus,,,,instans,,11r,8,d,B,T2,P0,F2,S22,,*instabilis,
pio,,,,purgo,,11r,9,,A,T1,P0,F2,S22,,,
serenus,,,,tranquillus,,11r,10,,A,T1,P0,F2,S22,,,Serenus. purus. tranquillus . placidus
uno,,,,ad,aduno,11r,10,a,A,T1,P0,F1,S611,,,
uno,,,,c̃grego ,congrego,11r,11,b,A,T1,P0,F2,S22,,,
unas,,,,ad,adunas,11r,11,c,A,T1,P0,F1,S611,,,
hibernus,,,,dr̃ ultima pars hiemis,dicitur ultima pars hiemis,11r,11,d,A,T1,P0,F4,S23,,,
crispus,,,,c̃cussus,concussus,11r,12,,B,T2,P0,F2,S22,,,
obliquus,,,,c̃tortus,contortus,11r,13,,A,T1,P0,F2,S22,,,Obliquo . trasuerto . ł curuo. 
ignarus,,,,inscius,,11r,14,a,A,T1,P0,F2,S22,,,
lassus,,,,fatigatus,,11r,14,b,A,T1,P0,F2,S22,,,
dilato,,,,ãplifico,,11r,15,a,A,T1,P0,F2,S22,,,
letor,,,,exulto,,11r,15,b,A,T1,P0,F2,S22,,,
aptus,,,,cõtus,contus,11r,15,c,A,T1,P0,F2,S22,,,
apto,,,,c̃iungo assotio,coniungo associo,11r,15,d,A,T1,P0,F2,S22,,,Apto. c̃iungo ł sotio
sollicitus,,,,curiosus,,11r,16,a,A,T1,P0,F2,S22,,,
sollicito,,,,curã ago,curam ago,11r,16,b,A,T1,P0,F2,S22,,,Sollicito. inquięto. molesto. 
cruentus,,,,atrox crudelus,,11r,16,c,A,T1,P0,F2,S22,,,
cruento,,,,asꝑgo ł lacero,aspergo uel lacero,11r,16,d,,,P0,F2,S22,,,
laxus,,,,ñ bene c̃iuntus,non bene coniuntus,11r,17,a,A,T1,P0,F3,S23,,,
laxo,,,,relinquo,,11r,17,b,B,T2,P0,F2,S22,,,
uiduus,,,,quasi diuisus,,11r,17,c,A,T1,P0,F3,S23,,,uiduus. alienus. sterilis. Diuisus separatus
uiduus,,,,a muliere,,11r,17,d,B,T2,P0,F3,S611,,,
a fixis locus,,,,dr̃ stabilis,dicitur stabilis,11r,19,a,B,T2,P0,F4,S22,,,
stimulo,,,,pungo,,11r,19,b,A,T1,P0,F2,S22,,,Stimulo urgeo  fimo. Sordeo
terminus,,,,finis meta,,11r,20,a,A,T1,P0,F2,S22,,,M&a finis 
termino,,,,finẽ fatio,finem facio,11r,20,b,A,T1,P0,F4,S54,,,M&ior constituo castra designo
grecor,,,,more grecorũ ago,,11r,21,a,A,T1,P0,F4,S23,,,
uulgus,,,,multitudo ho/minum,,11r,21,b,,,P0,F3,S23,,,
uulgo,,,,manifesto,,11r,21,c,A,T1,P0,F2,S22,,,
perenno,,,,toto anno inopere persisto,,11r,22,a,A,T1,P0,F4,S23,,,ꝑenno. ꝑannos ago
sono,,,,resono,,11r,22,b,B,T2,P0,F2,S22,,,
numero,,,,cõputo,computo,11r,22,c,B,T2,P0,F2,S22,,,
stomachor,,,,irascor,irascor,11r,24,a,A,T1,P0,F2,S22,,,Stomachor . lacero . lrascor.
stomachor,,,,ł  insanio,uel insanio,11r,24,b,,,P0,F2,S22,,,
utlibũ,,,,sacrificͥũ,sacrificium,11r,25,a,3,,P0,F2,S22,,,
uelo,,,,cooperio,,11r,25,b,A,T1,P0,F2,S22,,,
colum,,,,ubi lac mundatur,,11r,25,c,A,T1,P0,F4,S23,,,
peculiũ,perculium,,,pro onum substantia ponitur,,11v,1,a,,,P0,F4,S23,,,peculiũ pecunia
peculio,,,,peculiã aufero,peculiam aufero,11v,1,b,B,T2,P0,F4,S23,,,Depeculior depopulor conpilo. Exhaurio  e uesto
armo,,,,accingo,,11v,2,,B,T2,P0,F2,S22,,,
stagnũ,stagnum,,,aqua q; ñ decurritur,aqua que non decurritur,11v,3,,A,T1,P0,F4,S23,,,
liber,,,,ingenuus,,11v,6,a,A,T1,P0,F2,S22,,,
libero,,,,eripio,,11v,6,b,A,T1,P0,F2,S22,,,
sacer,,,,sc̃r,sacer,11v,6,c,A,T1,P0,F2,S22,,,
sacro,,,,scĩfico,sacrifico,11v,7,a,A,T1,P0,F2,S22,,,
peragro,,,,incedo,,11v,7,b,A,T1,P0,F2,S22,,, ꝑagror circũeo ꝑãbo ꝑtranseo.giro. Uagor
integro,,,,perfitio,,11v,7,c,A,T1,P0,F2,S22,,,integror. Reparo.
miser,,,,infelix,,11v,8,a,A,T1,P0,F2,S22,,,
miseror,,,,acõ,acerbo,11v,8,b,A,T1,P0,F2,S22,,,
saturo,,,,satio,,11v,9,,A,T1,P0,F2,S22,,,
minister,,,,Cp  ł minor sit in stacione,consiliorum princeps uel minor sit in statione,11v,10,,3,,P0,F4,S23,,,
obseruatis,,,,consideratis,,11v,11,,A,T1,P0,F2,S22,,,
contio,,,,coadunatio,,11v,13,a,A,T1,P0,F2,S22,,,
contionor,,,,multitudini alloquor,,11v,13,b,A,T1,P0,F3,S23,,,Contionor . alloquor
ordo,,,,dispositio,,11v,14,a,A,T1,P0,F2,S22,,,
ordino,,,,dispono,,11v,14,b,A,T1,P0,F2,S22,,,
exulo,,,,extra solũ eitio,extra solum eicio,11v,16,,A,T1,P0,F3,S54,,,
uber,,,,habundans,,11v,18,a,A,T1,P0,F2,S22,,,
ubero,,,, abundo,,11v,18,b,A,T1,P0,F2,S22,,,Exuberor abundo
agger,,,,tumultus,,11v,18,c,A,T1,P0,F2,S22,,,
agero,,,, c̃grego,congrego,11v,18,d,A,T1,P0,F2,S22,,,Aggeror. comulo. congrego
robur,,,,fortitudo,,11v,20,a,A,T1,P0,F2,S22,,,
robo,,,,c̃firmo,confirmo,11v,20,b,A,T1,P0,F2,S22,,,
murmur,,,,tumultus,,11v,21,a,D,T4,P0,F2,S22,,,
augur,,,,auguriator,,11v,21,b,D,T4,P0,F2,S22,,,
nugas,,,,uanꝰ ,,11v,22,a,B,T2,P0,F2,S22,,,
nugas,,,,recedens a lege,,11v,22,b,A,T1,P0,F3,S23,,,
nugas,,,, ł inutilis,,11v,22,c,D,T4,P0,F2,S22,,,
nugor,,,,efecero desitio ,,11v,23,a,B,T2,P0,F2,S22,,,Nugas turpes. uanos. inutiles. uanos maculosos. Nugor t̃pit̃ ago
nugor,,,,de(cur)so,,11v,23,b,D,T4,P0,F2,S22,,,
uas,,,,fideiussor,,11v,23,c,A,T1,P0,F2,S22,,,
uador,,,,uadiũ do,uadium do ,11v,23,d,A,T1,P0,F4,S54,,,Uador. ꝓmitoo. causã ago. fdẽ fatio
aries,,,,aliquantã machinã,aliquantam machinam,11v,24,a,B,T2,P0,F3,S23,,,Aries. machina.
arieto,,,,more arietis ,,11v,24,b,A,T1,P0,F4,S23,,, Arieto. impingo
arieto,,,,ago,,11v,24,c,B,T2,P0,F2,S4228,,,
comes,,,,sotius,,11v,24,d,A,T1,P0,F2,S22,,,
comitor,,,,simul ,,11v,25,a,B,T2,P0,F2,S4226,,,
comitor,,,,tecũ ꝑergo,tecum perergo,11v,25,b,A,T1,P0,F3,S331,,,
sedes,,,,quies,,11v,25,c,B,T2,P0,F2,S22,,,
sedo,,,,pacifico,,11v,25,d,A,T1,P0,F2,S22,,,Sedo. Mollio placo. Mitigo // Sedo. pacifico. mitigo. 
locuples,,,,diues copios,diues copias,11v,25,e,A,T1,P0,F2,S22,,,
locu/plo,,,,habundo,,11v,25,f,A,T1,P0,F2,S22,,,
heredo,,,,hereditatẽ aufero,hereditatem aufero,12r,1,,A,T1,P0,F3,S54,,,
turpo,,,,fodo,,12r,2,a,A,T1,P0,F2,S22,,,
turpo,,,,deformo,,12r,2,b,B,T2,P0,F2,S22,,,
tenuis,,,,gracilis,,12r,2,c,A,T1,P0,F2,S22,,,
tenuo,,,,minuo,,12r,2,d,A,T1,P0,F2,S22,,,
tristis,,,,dolens ,,12r,2,e,B,T2,P0,F2,S22,,,
tristis,,,,mestus,,12r,2,f,D,T4,P0,F2,S22,,,
testor,,,,confirmo,,12r,3,a,A,,P0,F2,S22,,,
orao,,,,precor,,12r,3,b,D,T4,P0,F2,S22,,,
roro,,,,inrigo ,,12r,4,a,3,,P0,F2,S22,,,
roro,,,,ł irore ꝑfundo, uel i rore perfundo,12r,4,b,D,T4,P0,F3,S23,,,
doto,,,,humefacto,,12r,4,c,B,T2,P0,F2,S22,,,
decus,,,,uentus ,,12r,4,d,B,T2,P0,F3,S22,,,
decus,,,,honor,,12r,4,e,A,T1,P0,F2,S22,,,
decoro,,,,orno ,,12r,5,a,B,T2,P0,F2,S22,,,
decoro,,,,uenusto,,12r,5,b,3,,P0,F2,S22,,,
ulcus,,,,dicitur qđ ex carne ꝓcedit ut scabies sanies, dicitur quod ex carne procedit ut scabies sanes,12r,5,c,A,T1,P0,F4,S23,,,
pondus,,,,honus m̃surae,honus mensurae,12r,5,d,A,T1,P0,F3,S23,,,
pondero,,,,libro equo,,12r,5,e,A,T1,P0,F3,S23,,,
onus,,,,grauatꝰ,grauatus,12r,6,a,B,T2,P0,F2,S22,,,
muneror,,,,qͣsi munus tribuo,quasi munus tribuo,12r,6,b,B,T2,P0,F3,S23,,,
adero ,,,,c̃pono aliꝗđ . aere,compono aliquid aere,12r,7,a,A,T1,P0,F4,S23,,,
fraus,,,,dr̃ furtũ deceptio,dicitur furtum,12r,7,b,B,T2,P0,F2,S22,,,
nex,,,,mors int̃emptio,mors interemptio,12r,8,,A,T1,P0,F2,S22,,,
uindex,,,,ultor,,12r,9,a,A,T1,P0,F2,S22,,,
uindico,,,,punio ,,12r,9,b,A,T1,P0,F2,S22,,,
uindico,,,,ulciscor,,12r,9,c,B,T2,P0,F2,S22,,,
remex,,,,nauigator ,nauigator ,12r,9,d,A,T1,P0,F2,S22,,,
remigio,,,,qui cũ ramis agit ĩ nauigo,qui cum ramis agit in nauigo,12r,9,e,A,T1,P0,F4,S23,,,
lego ,,,,dispono astruo c̃firmo,dispono astruo confirmo,12r,10,a,A,T1,P0,F2,S22,,,
eradico,,,,euełło,euangelio,12r,10,b,A,T1,P0,F2,S52(Commentaire exégétique) ?,,,
cornicor,,,,inanit̃ loquor ł garrio / more cornicis,,12r,11,a,A,T1,P0,F3,S22,,,
uox,,,,uocis,,12r,11,b,,,P0,F2,S22,,,
pernoto,,,,peruigilo,,12r,12,a,A,T1,P0,F2,S22,,,ꝑnox ꝑuigl.
mercs,,,,lucrũ,lucrum,12r,12,b,A,T1,P0,F2,S22,,,
merccis,,,,lucrũ,lucrum,12r,12,c,B,T2,P0,F2,S22,,,
hiemo,,,,aer,,12r,13,a,A,T1,P0,F2,S22,,,
p̃ceps,,,,impello ,,12r,13,b,A,T1,P0,F2,S22,,,
macies,,,,÷ p̃cipitium patens,Id est percipitium patens,12r,13,c,A,T1,P0,F3,S54,,,p̃cipito abalto dacuo.
aestuo,,,,ebullio ł tardeo,ebullio uel tardeo,12r,14,,B,T2,P0,F2,S22,,, ab estus. eftuo
fluctuo,,,,titubo,,12r,15,a,A,T1,P0,F2,S22,,,fluctuo. uacillo. indiuersa rapior.
tumulto,,,,quasi timor multꝰ,quasi timor multus,12r,15,b,A,T1,P0,F3,S54,,,
tumultuo,,,,c̃tendo,contendo,12r,15,c,B,T2,P0,F22,S22,,,
gelo,,,,constringo,,12r,16,a,A,T1,P0,F22,S22,,,
rabies,,,,insa(nia),,12r,16,b,,,P0,F22,S22,,,
macies,,,,tenuitas corporis,,12r,17,,A,T1,P0,F3,S23,,,
nutus,,,,potestas,,12r,22,a,A,T1,P0,F22,S22,,,
nisus,,,,conamen,,12r,22,b,3,,P0,F22,S22,,,Nisus conam̃
principium,,,,cognoscat᷑,cognoscatur,12v,5,a,3,,P0,F2,S611,,*rajout,
scriba,,,,doctor ñ officiale,doctor non officiale,12v,5,b,A,T1,P0,F3,S23,,,
cedes,,,,hec,haec,12v,9,a,AB,,P0,F2,S611,,,
lues,,,,hec,haec,12v,9,b,AB,,P0,F2,S611,,,
strues,,,,hec,haec,21f,10,,AB,,P0,F2,S611,,,
parcus,,,,abstinens,,12v,11,,A,T1,P0,F2,S22,,,
pando,,,,aperio manifesto,,12v,12,a,A,T1,P0,F2,S22,,,
pandus,,,,manifestus,,12v,12,b,A,T1,P0,F2,S22,,,
do,,,,dis,,12v,12,c,AB,,P0,F2,S611,,,
uiuo,,,,uiuis,,12v,13,,AB,,P0,F2,S611,,,
t̃minatia ,,,,finienciar[++++],,12v,16,,E,T5,P0,F2,S22,,,
formido,,,,timor,,12v,20,,A,T1,P0,F2,S22,,,
respondent,,,,resonant,,12v,23,,3,,P0,F2,S22,,,
tulisse,,,,facta eẽ,facta esse,12v,25,,A,T1,P0,F2,S22,,,
Nam,,,, ÷ certe,Id est certe,13r,1,,E,T5,P0,F2,S22,,,
maxime,,,,puls quam,plus quam,13r,10,a,E,T5,P0,F2,S22,,,
indesinenter,,,,indistant̃,indistanter,13r,10,b,A,T1,P0,F2,S22,,*ep:indifferenter,
superuacuo,,,,exsuperfluo,,13r,20,,A,T1,P0,F2,S22,,,
ñ diuersas,,,,ĩ̃ uarias,id est uarias,13r,25,,A,T1,P0,F2,S22,,,
eodem,,,,modo,,13v,3,,AB,,P0,F2,S22,,*rajout,
congruae,,,,commode,,13v,12,,A,T1,P0,F2,S22,,,
manceps,,,,manu capiens,,14r,1,,A,T1,P0,F3,S54,,,
inesco,,,,cibũ tribuo,cibum tributio,14r,7,,A,T1,P0,F3,S23,,,
radio,,,,luceo splendeo,,14r,10,a,A,T1,P0,F2,S22,,,
humo,,,,sepelio/cooperio,,14r,10,b,A,T1,P0,F2,S22,,,Humo huli trado ł sepelio.
cacumino,,,,exacuo,,14r,11,,A,T1,P0,F2,S22,,,
rumen ,,,,sũma pras gule,summa pras gule,14r,13,,A,T1,P0,F3,S23,,*pras=pars Latinitatis Italica,
scortũ,scortum,,,meretrix,,14r,16,a,A,T1,P0,F2,S22,,,
scortor,,,,mechor,,14r,16,b,A,T1,P0,F2,S22,,*Latinitatis Italica,
in gurgito,,,,in mergo,,14r,17,,A,T1,P0,F3,S22,,,lngurgito. p̃cipitẽdo.
ingurgitasses,,,,p̃cipitasses,praecipitasses,14r,18,,A,T1,P0,F2,S22,,,
procrastino,,,,ꝓduco in cras,produco in cras,14r,19,,A,T1,P0,F4,S54,,,ꝑendie. ꝓꝰcras. ud pꝰtertiumdiem ł antediem.
conperendino,,,,ꝑmaneο ł tardo.,permanet uel tardo,14r,20,,A,T1,P0,F2,S22,,,cõꝑendino. int̃tiũdiẽ ꝓtraho ł differo.
fore,,,,esse,,14v,1,,AB,,P0,F2,S22,,,
incrementa,,,,aumenta,,14v,21,,AB,,P0,F2,S22,,,
uello,,,,rũpo,rumpo,14v,22,,AB,,P0,F2,S22,,,Vello moueo
nutrico,,,,alo,,14v,23,,AB,,P0,F2,S22,,,Nt̃co. iurgo cõmunico.
frondico,,,,frondes auello,,15r,1,a,A,T1,P0,F3,S23,,,
debilis,,,,infirmus,,15r,1,b,A,T1,P0,F2,S22,,,
debilico,,,,infirmo,,15r,1,c,A,T1,P0,F2,S22,,,
periculũ,,,,discrimen,,15r,2,,AB,,P0,F2,S22,,,
gratus,,,,acceptus,,15r,3,a,A,T1,P0,F2,S22,,,
gratulor,,,,gaudeo,,15r,3,b,A,T1,P0,F2,S22,,,
opẽ tuli,,,,adiuuaui,,15r,5,a,AB,,P0,F2,S22,,,
opitulor,,,,auxilior,,15r,5,b,A,T1,P0,F2,S22,,,
presto,,,,accõmodo,,15r,5,c,A,T1,P0,F2,S22,,,
prestolor,,,,expecto,,15r,6,a,A,T1,P0,F2,S22,,,
p̃eo,,,,antecedo,,15r,6,b,A,T1,P0,F2,S22,,,
p̃ito,praeterito,,,antecello,,15r,6,c,A,T1,P0,F2,S22,,,
litigo,,,,contendo,,15r,8,,AB,,P0,F2,S22,,,
quia,,,,qđ,,15r,10,,AB,,P0,F2,S22,,,
netro,,,,funditꝰ intro,funditus intro,15r,14,a,A,T1,P0,F2,S22,,,
temere,,,,p̃sũtiose,presumptiose,15r,14,b,A,T1,P0,F2,S22,,*Latinitatis Italica,
temero,,,,contẽno,contemno,15r,14,c,A,T1,P0,F2,S22,,,
temero,,,,longius,,15r,15,,B,T2,P0,F2,S22,,,
recolligere,,,,codunare,,15r,23,,3,,P0,F2,S22,,,
canus,,,,caniger,,15v,4,a,A,T1,P0,F2,S22,,,
caneo,,,,ͬsenesco,,15v,4,b,A,T1,P0,F2,S22,,,
calles,,,,semita,,15v,4,c,A,T1,P0,F2,S22,,,
calleo,,,,astute ago,,15v,4,d,A,T1,P0,F3,S23,,,
calleo,,mollior insidior,,,,15v,4,,A,T1,P1 right,F2,S22,,,
flos ,,,,polleo,,15v,5,a,3,,P0,F2,S22,,,
frons ,,,,cresco,,15v,5,b,3,,P0,F2,S22,,,
census,,,,uectigal,,15v,6,,A,T1,P0,F2,S22,,,
imbuo,,,,instruo doceo,,15v,7,,A,T1,P0,F2,S22,,,
acuo,,,,acumino,,15v,8,a,3,,P0,F2,S22,,,
induo,,,,tibi,,15v,8,b,A,T1,P0,F2,S41(Signe de construction syntaxique),,*Priscianus Instituones grammaticae,
arguo,,,,increpo,,15v,8,c,A,T1,P0,F2,S22,,,
luo,,,,penas soluo,,15v,8,d,A,T1,P0,F3,S23,,,lues pestilentia ł clades / lues. pestis indagor // luo penã soluo
suo,,,,ips̃ ꝗđ ẽ c̃suo,ipsum quod est consuo ?,15v,8,e,A,T1,P0,F4,S22,,,
fatuo,,,,euanesco disipio,,15v,9,a,A,T1,P0,F2,S22,,,
fluctuo,,,,titubo,,15v,9,b,A,T1,P0,F2,S22,,,
tribus,,,,dr̃ a distributione,,15v,12,,A,T1,P0,F4,S54,,,
strues,,,,congeries lignorũ,,15v,13,,A,T1,P0,F3,S23,,,Strues. c̃geries cuiꝰ lib& regi
tribuor,,,,impertior ł diuido ⁊  dispono ,,15v,14,a,A,T1,P0,F2,S22,,,
metuo,,,,timeo,,15v,14,b,3,,P0,F2,S22,,,
bulla,,,,bulla dr̃ q: sit a uento/ł ornam̃tũ cingulorum,bulla dicitur quod sit a uento uel ornamentum cinguloruù,16r,1,,A,T1,P1 right,F4,S23,,, Bulla inflatio auqarũ ł ornam̃ in similitudine inflatioñ spumę aquarũ
ebuilio,,,,ferueo,,16r,2,,A,T1,P0,F2,S22,,,
punio,,,,ulciscor,,16r,3,a,A,T1,P0,F2,S22,,,
superbio,,,,extollo,,16r,3,b,A,T1,P0,F2,S22,,,
largior,,,,tribuo,,16r,4,,A,T1,P0,F2,S22,,,Largior  g{r}atiã p̃sto
murio,,,,muros edifico,,16r,5,a,A,T1,P0,F3,S54,,,
munio,,,,muro circũdo,,16r,5,b,A,T1,P0,F3,S22,,,
seuus,,,,aceruus,,16r,6,a,A,T1,P0,F2,S22,,,
seuio,,,,furio,,16r,6,b,A,T1,P0,F2,S22,,,
inretior,,,,inlaqeor in rete,inlaquor in rete,16r,10,a,A,T1,P0,F4,S54,,,
inpedio,,,,noceo,,16r,10,b,A,T1,P0,F2,S22,,,
insignis,,,,nobilis,,16r,12,a,A,T1,P0,F2,S22,,,
insignio,,,,decoro orno,,16r,12,b,A,T1,P0,F2,S22,,,
gestus,,,,actꝰ ł motus,actus uel motus,16r,15,a,A,T1,P0,F2,S22,,,
gestio,,,,adꝗro exulto,adquiro exulto,16r,15,b,A,T1,P0,F2,S22,,,
meta,,,,limes,,16v,1,a,A,T1,P0,F2,S22,,,
metor,,,,t̃mino finio,termino finio,16v,1,b,A,T1,P0,F2,S22,,,Termino finio
metior,,,,mensuro,,16v,2,,A,T1,P0,F2,S22,,,
insanio,,,,furio ł infirmo,furio uel infirmo,16v,4,,A,T1,P0,F2,S22,,,
apto,,,,adiungo,,16v,5,,A,T1,P0,F2,S22,,,
ineptio,,,,desipio,,16v,6,,A,T1,P0,F2,S22,,,
fatia,,,,enci,fatencia,16v,13,,3,,P0,F2,S611,,,
eger,,,,infirmus,,17r,7,,A,T1,P0,F2,S22,,,
egreo,,,,insanio,,17r,8,,A,T1,P0,F2,S22,,,
modis,,,,formis,,17r,13,,3,,P0,F2,S22,,,
duro,,,,durũ fatio,durum facio,17r,16,a,A,T1,P0,F3,S54,,,
dureo,,,,absolutũ,absolutum,17r,16,b,A,T1,P0,F2,S22,,,
denso,,,,opaco,,17r,16,c,A,T1,P0,F2,S22,,,
tueor,,,,p cogo,pro cogo ?,17r,25,,A,T1,P0,F2,S22,,,
polliceor,,,,ꝓmitto,promitto,18r,11,,A,T1,P0,F2,S22,,,ꝓmitto . polliceor. 
uereor,,,,timeor,,18r,12,,A,T1,P0,F2,S22,,,
fa/teor,,,,loquor,,18r,13,,A,T1,P0,F2,S22,,,
coguntur,,,,compelluntur,,18r,15,,A,T1,P0,F2,S22,,,
amitior,,,,tego,,18r,16,a,A,T1,P0,F2,S22,,,
ordior,,,,incoo,,18r,16,b,A,T1,P0,F2,S22,,,
uador,,,,error,,18v,8,a,3,,P0,F2,S22,,,
suffragor,,,,auxilior,,18v,8,b,3,,P0,F2,S22,,,
rimor,,,,ꝑscrutor,perscrutor,18v,8,c,3,,P0,F2,S22,,,
miror,,,,stupeo,,18v,9,,3,,P0,F2,S22,,,
labor,,,,cador,,18v,11,,3,,P0,F2,S22,,,
nitor,,,,conor ,,18v,12,a,3,,P0,F2,S22,,,
nitor,,,,{prop?certor},,18v,12,b,3,,P0,F2,S22,,,
sequor,,,,exsequor,,18v,20,,3,,P0,F2,S22,,*rajout,
paciscor,,,,pactũ facio,pactum facio,19r,4,,3,,P0,F2,S22,,,
adipiscor,,,,inueniscor,,19r,5,,3,,P0,F2,S22,,,Adipiscor conor / Nasiciscor Adipiscor Assequor
titubo,,,,uacillo,,19v,19,,A,T1,P0,F2,S22,,,
cubo,,,,ĩrequiesco,inrequiesco,20r,22,,A,T1,P0,F2,S22,,,
neco,,,,interficio,,20v,1,,3,,P0,F2,S22,,,
dico,,,,dono,,20v,18,,3,,P0,F2,S22,,*rajout,Dico dicas. consecro uł dono /  dico dicis Narro
Vfens,,,,nom̃ ꝓpͥũ,nomen proprium,21r,16,,3,,P0,F3,S553,,,
glisco,,,,cresco,,21v,14,,3,,P0,F2,S22,,,
pasco,,,,nutrio,,21v,16,,3,,P0,F2,S22,,,
bacchor ,,,,furo ł insanior,furo uel insanior,22r,6,,3,,P0,F2,S22,,,
nasciscor,,,,inuenio,,22r,16,,3,,P0,F2,S22,,,
foedus,,,,turpis,,22r,19,,3,,P0,F2,S22,,,
depido,,,,la,delapido,22r,21,,3,,P0,F1,S611,,,
ledo,,,,a,a ledo,22r,5,,3,,P0,F1,S611,,,
longitudinem dyptogi,,,,s̃,sunt,22r,5,,3,,P0,F1,S611,,,
trudo,,,,impello ,,22v,11,,3,,P0,F2,S22,,,
obtcant,,,,runc,obtruncant,22v,18,,3,,P0,F1,S611,,,
,BEAta ẽ eeeee,,,,,23v,4-9,,,,P1 left,,essais de plume,,,
,inq.pop,,,,,24r,5,,,,P1 right,,essais de plume,,,
,graphe lettres,,,,,24r,6-9,,,,P1 right,,essais de plume,,,
,ille pomatu pconpanpango oratius epistularum libro .i.concardus me fectc.,,,,,25r,1-3,,,,P1 top,,S72(souscription),,,
purgo enim as,,,,a purg̃,,25r,7,,,,,F3,S611,,,
,[a?]spiranti,,,,,25r,9,,,,P1 right,,essais de plume,,,
,S,,,,,25r,12,,,,P1 right,,,,,
,triump,,,ho,triumpho,25r,13,,,,,F1,S611,,,
an,,,,in,,25r,20,,,,,F1,S611,,,
,ambulo as ululo um uculo us. similo as. cum,,,,,25r,29,,,,P1 bottom,F4,essais de plume,,,
,e in i mu,,,,,26r,13,,,,P1 right,F3,S611,,,
obprimat consternat.,expontué,,,,,27r,11,,,,,,,,,
,,,,,,27r,13,,,,,,S611,,,
,,,,,,27r,17,,,,,,S611,,,
,,,,in i,,27v,20,,,,,F3,S611,,,
,,,,et etiam,,27v,22,,,,P1 right et left,F3,,,,
,bosceo ?,,,,,30v,25,,,,P1 left,,essais de plume,,,
