Lt,Le,Tl,Gm,Gi,Gnorm,folio,line,Lorder,Mg,Temp,Loc,Forme,Sens,grammatical terminology (Schad),Notes divers,Concordance avec Latin 14087
sagio,,,,diuino,,7v,10,e,B,T2,P0,F2,S22,,,
sagax,,,,agilis astutus,agilis astutis,7v,11,a,A,T1,P0,F2,S22,,,
presagax,,,,p̃scius futura,prescius futura,7v,11,b,A,T1,P0,F3,S23,,,
salax,,,,ꝗ frequent̃ sallit,qui frequenter  sallit,7v,11,c,A,T1,P0,F4,S23,,,
latex,,,,foris eoqđ latet,foris eo quod latet,7v,14,a,B,T2,P0,F4,S23,,,
uertex,,,,sumitas capitis,sumitas capitis,7v,14,b,B,T2,P0,F2,S22,,,
nibus,,,,s̃ in nomine,Scilicet in nomine,7v,15,,B,T2,P0,F3,S53,,,
clausu/lam,,,,t̃minacionẽ,terminacionem,7v,17,,A,T1,P0,F2,S22,,,
stabulum,,,,a stanto?,a stanto ?,7v,20,a,A,T1,P0,F3,S54,,,
uocabulũ,,,dr̃ nom̃ in corporalis rei seu in/animabus,,dicitur nomen in corporalis rei seu in animabus,7v,20,b,A,T1,P1 right,F4,S23,,,
patibulum,,,,crux  ł torm̃ta,crux uel tormenta,7v,21,a,A,T1,P0,F2,S22,,,
fundibu/lum,,,,locꝰ ubi aliꝗd funditur,locus ubi aliquid funditur,7v,21,b,A,T1,P0,F4,S23,,,
ludo,,,,scribo ⁊ ioco,scribo et ioco,7v,22,,B,T2,P0,F2,S22,,,
furibundus,,,,insanꝰ,insanus,7v,24,,B,T2,P0,F2,S22,,,
scriba,,,,legis doctor,,8r,5,a,A,T1,P0,F3,S23,,"*sed a uerbis quarte coniugacionis producitur, ut rnunimen, molimen, linimen, etc",
pronuba,,,,mulier ꝗ disponit nuptias,mulier qui disponit nuptias,8r,5,b,A,T1,P0,F4,S23,,,ꝓnuba. quę nubentibus p̃÷ łquae utrũq c̃iugit;
fuga ,,,,ipsa ꝓfeccio ,,8r,6,a,B,T2,P0,F3,S22,,,
profugio,,,,porro fugio,,8r,6,b,B,T2,P0,F3,S54,,,
aduenio,,,,peregrinꝰ,peregrinus,8r,6,c,B,T2,P0,F2,S22,,,
lenio,,,,blandior,,8r,7,a,A,T1,P0,F2,S22,,,
lena,,,,sillex,,8r,7,b,A,T1,P0,F2,S22,,,lena c̃cilatrox meretricũ;
conuenio,,,,adolator ,,8r,7,c,A,T1,P0,F2,S22,,,
conuenio,,,,deceptrix,,8r,7,d,B,T2,P0,F2,S22,,,
conuena,,,,ꝗ simulcũ aliis conuenit,,8r,7,e,A,T1,P0,F4,S23,,,Conuena.de diuersis uenientes locis
adsecula,,,,qͣsi serui mitis,,8r,7,f,B,T2,P0,F3,S23,,,assecula. domesticus diens familiaris subiectus;
terrigena,,,,ex t̃ra genitus,ex terra genitus,8r,8,,A,T1,P0,F3,S54,,,
conuiuo,,,,c̃ alia uiuo ,,8r,9,a,B,T2,P0,F3,S54,,,
conuiua,,,,comescor manduco,,8r,9,b,B,T2,P0,F2,S22,,,
insidiae,,,,deceptiones,,8r,9,c,A,T1,P0,F2,S22,,,
suadeo,,,,ortor,,8r,10,a,A,T1,P0,F2,S22,,,
suadela,,,,oratio,,8r,10,b,B,T2,P0,F2,S22,,,
lucina,,,,luna,,8r,11,,B,T2,P0,F2,S22,,,
ruo,,,,cado,,8r,12,a,B,T2,P0,F2,S22,,,
ruina,,,,euersio,,8r,12,b,B,T2,P0,F2,S22,,,
rapio,,,,tollo,,8r,12,c,B,T2,P0,F2,S22,,,
rapina,,,, p̃da,,8r,12,d,B,T2,P0,F2,S22,,,
cubo,,,,a cubando,,8r,12,e,A,T1,P0,F3,S54,,,Cubo reqͥesco.
mascłna,,,s genꝰ monstri,,genus monstri,8r,13,,B,T2,P1 right,F3,?,,,
epulo,,,,comedo ,,8r,14,a,A,T1,P0,F2,S22,,,
epulor,,,,uorax cõmesor,,8r,14,b,B,T2,P0,F2,S22,,,
latro,,,,a latendo,,8r,14,c,A,T1,P0,F3,S54,,,
lenio,,,,deceptor,,8r,14,d,B,T2,P0,F2,S22,,,
leno,,,,seductor,,8r,14,e,A,T1,P0,F2,S22,,,
comedo,,,,gluto,,8r,14,f,Β,Τ2,P0,F2,S22,,,
palpo,,,palpo potest dici papilio/at palpo potest dici dirigo,,,8r,14,g,A,T1,P1 right,F4,S22,,,
uerbero,,,,ꝑcucuio,percutio,8r,15,a,Β,Τ2,P0,F2,S22,,,
incubo,,,,genꝰ demonũ,genus demonum,8r,15,b,Β,Τ2,P0,F3,S52,,"*
Glossae biblicae in codice Fuldensi (Fulda, Hessische Landesbibliothek, Aa 2, [F], ff. 38r-117u, saec. x) seruatae - LLT
sectio: 36 (glossae in Isaiam), glossa: 48, pag.: 318, linea: 19//incubi uel satyri uel siluestres homines quos nonnulli fatuos carios uocant uel demonum genera:",Incubo immineo. insto.
turpedo,,,,foditas,,8r,17,a,A,T1,P0,F2,S22,,,
cupio,,,,desidero ,,8r,17,b,A,T1,P0,F2,S22,,,
cupido,,,,ꝗdã deus,,8r,17,c,Β,Τ2,P0,F3,S554,,,
libido ,,,,uoluptas,,8r,17,d,Β,Τ2,P0,F2,S22,,,
formido,,,,terror timor,,8r,17,e,A,T1,P0,F2,S22,,,
caligo,,,,qͣsi cecitas,,8r,18,a,Β,Τ2,P0,F2,S22,,,
propago ,,,,ad ui nite res ꝑtinet,ad ui nitae res pertinet,8r,18,b,A,T1,P0,F4,S23,,,ꝓpago linea generis
comedo,,,,manduco,,8r,18,c,Β,T2,P0,F2,S22,,,
opinor,,,,estimo,,8r,19,a,A,T1,P0,F2,S22,,,
opinio,,,,autumatio,,8r,19,b,A,T1,P0,F2,S22,,,
