lemma_id,folio_VLO41,lemma_VLO41,gloss_VLO41,gloss_type_VLO41,gloss_form_VLO41,marginal_note_id_VLO41,marginal_note_type_VLO41,marginal_note_form_VLO41,folio_Bamberg,lemma_Bamberg,gloss_id,gloss_Bamberg,gloss_type_Bamberg,gloss_form_Bamberg,nature,marginal_note_id_Bamberg,marginal_note_type_Bamberg,marginal_note_form_Bamberg,page,folio,lemma,gloss_id_Latin7499,gloss,gloss_type,gloss_form,marginal_note_id,marginal_note_type,marginal_note_form
p447_l12_o02,02r,discernendas,separandas,S22,F2,,,,71r,discernendas ,p447_l12_o02_a,distinguendas,S22,F2,normal,,,,p447,73r,discernendas ,p447_l12_o02_a,distinguendas separandas,S22,F3,,,
p447_l12_o09,02r,quorum,s duorũ librorũ,S3232,F3,,,,71r,quorũ ,p447_l12_o09_a,sb̶ librorũ,S3232,F2,normal,,,,p447,73r,Quorum ,p447_l12_o09_a,.s. librorũ,S3232,F2,,,
p447_l13_o03,02r,instruitur,ordinatur /(et di)sponitur,S22,F3,,,,71r,instruit᷑ ,p447_l13_o03_a,disponit᷑ ORDIN ͣ ͭ ͧ ͬ,S22,F3,normal,,,,p447,73r,instruit᷑ ,p447_l13_o03_a,ordinat᷑ et disponit᷑,S22,F3,,,
p447_l14_o02,02r,exsequit᷑,ꝑseꝗt᷑,S22,F2,,,,71r,exsequit᷑ ,p447_l14_o02_a,c̃seꝗt᷑ c̃tin&,S22,F3,normal,,,,p447,73r,exequit᷑ ,p447_l14_o02_a,÷ cseqͥt᷑  ualde seqͥt᷑ contin&,S23,F3,p447_l14_o02_b,S4181,F5
p447_l17_o08,02r,una ,(pt̃r)? prima,S53,F3,,,,71r,Vna ,p447_l17_o08_a,PRO pͥma PON ͥ ͭ ͧ ͬ,S53,F4,normal,,,,p447,73r,VNA ,p447_l17_o08_a,ꝓ pͥma ponit᷑,S53,F4,p447_l17_o08_b,S53,F5
p447_l18_o01,02r,carens,ammitens,S22,F2,,,,71r,carens ,p447_l18_o01_a,ñ habens,S23,F3,normal,,,,p447,73r,CARENS ,p447_l18_o01_a,÷ caret ac/centu in fine,S23,F4,,,
p447_l18_o05,02r,BARIΘONOC,grauis sonus,S211,F3,,,,71r,barutonos ,p447_l18_o05_a,bari apud g̃cos dr̃ grauis tonos accentꝰ inde/baritonos id ÷ grauis accentus,S211,F4,normal,,,,p447,73r,ΒΑΡΙΤΟΝΑ ,p447_l18_o05_a,grauisona,S211,F2,,,
p447_l18_o07,02r,eis,uidelicet [grecis],S3232,F3,,,,71r,eis ,p447_l18_o07_a,SUBAUD ͥ ͭ ͧ ͬ gręcis,S3232,F3,normal,,,,p447,73r,eis ,p447_l18_o07_a,.s. grecis,S3232,F2,,,
p447_l18_o09,02r,que,s̃ species,S3232,F2,,,,71r,quę ,p447_l18_o09_a,sb̶ pͥma species CONIUGA ͭ ͥ ͦ ᷠ ͥ ᷤ,S3232,F4,normal,,,,p447,73r,Quę ,p447_l18_o09_a,in pͥma spetie c̃tinent᷑ .VI. c̃iugationes carentes accentu in fine :,S53,F4,,,
p448_l01_o08,02r,significat,ostendit,S22,F2,,,,71r,significat ,p448_l01_o08_a,demonstrat,S22,F2,normal,,,,p448,73r,significat ,p448_l01_o08_a,declarat / demonstrat,S22,F3,,,
