,lemma_id,lemma_Bamberg,gloss_Bamberg,nature,lemma_Lat7499,gloss_Lat7499
948,p463_l10_o03,murio ,+,shorthand,Murio ,firmo murũ edifico
949,p463_l10_o05,munio ,+,shorthand,munio. ,defendo siue firmo
968,p463_l17_o05,crucio ,+,shorthand,Crucio ,torqueo passionẽ sustineo
984,p463_l33_o02,tertia ,(coniugatio),shorthand,tertia ,.s. c̃iugatio
996,p464_l12_o01,insinuo ,+(inserum mitto?),shorthand,insinuo ,ostendo doceo quasi intꝰ inẜũ mitto
999,p464_l14_o06,censeo ,"++ (indico, statuo?)",shorthand,censeo ,indico statuo
1000,p464_l18_o04,scđam ,+(coniugationem),shorthand,scđam ,c̃iugationem
1004,p465_l02_o11,extulit ,+,shorthand,extulit ,enuntiauit
1005,p465_l04_o06,contuor. ,+,shorthand,contuor ,simul uideo
1013,p465_l12_o05,quę ,uerba,shorthand,quę ,.s. uerba
1014,p465_l19_o03,sperno ,+,shorthand,sperno ,inhonoro/despitio
1015,p465_l19_o07,asꝑnor ,+,shorthand,Asꝑnor ,despicio ł derideo
1020,p465_l23_o02,ludificor ,+,shorthand,Ludificor ,decipio ł̃ ludũ fatio
1035,p465_l28_o09,Ordior ,texo (incipio loqui)?,shorthand,Ordior ,texo ł incipio loqͥ
1040,p465_l29_o07,assentior ,assensꝰ+,shorthand,Assentio ,c̃sentio
1064,p466_l15_o03,dir̃iuata ,+,shorthand,diriuata ,uerba
1065,p466_l16_o04,primitiua ,+,shorthand,primitiua ,Alii codices pͥuata
1066,p466_l16_o05,quartę ,+,shorthand,quartę ,c̃iugationis
1076,p466_l25_o02,diriuatis ,uerbis,shorthand,diriuatiuis ,uerbis
1077,p466_l25_o03,qđ ,sb̶ ÷?,shorthand,quę ,uerba in .sco. diriuatiua ut ebesco quã a uerbo ebeo / ut qͥesco pasco ⁊rł
1079,p466_l30_o08,diriuata ,uerba,shorthand,diriuata ,uerba
