folio,lemma_id,lemma,gloss_id,gloss,gloss_type,gloss_form,nature,marginal_note_id,marginal_note_type,marginal_note_form
72r,p450_l28_o02,satio ,,,,,,p450_l28_o02_b,S54,F3
72r,p451_l01_o03,Lanio ,p451_l01_o03_a,lacero,S22,F2,normal,p451_l01_o03_b,S54,F4
72r,p451_l02_o02,eadem ,p451_l02_o02_a,coni[ugatio],S3232,F2,normal,,,
72r,p451_l02_o05-06,ꝑ apocopã ,p451_l02_o05-06_a,ꝑ abscisione litterę,S22,F3,normal,,,
72r,p451_l02_o08-10,Coci lani fartores ,,,,,,p451_l02_o08-10_a,S63,F3
72r,p451_l03_o05,quicquid ,p451_l03_o05_a,igit᷑,S22,F2,normal,,,
72r,p451_l04_o10,priuatũ ,p451_l04_o10_a,alienatũ ł fraudatũ,S22,F3,normal,,,
72r,p451_l05_o07,hab& ,p451_l05_o07_a,SUBAUD ͥ ͭ ͧ ͬ SIC ++ HAB ͤ ͭ,S53,F3,normal,,,
72r,p451_l05_o08,adherens ,,,,,,p451_l05_o08_b,S53,F4
72r,p451_l07_o04-05,sine dubio ,p451_l07_o04-05_a,ꝓcul dubio,S22,F3,normal,,,
72r,p451_l07_o06,cognoscit᷑. ,p451_l07_o06_a,agnoscit᷑,S22,F2,normal,,,
72r,p451_l08_o04,Ambio ,p451_l08_o04_a,c̃cumeo,S22,F2,normal,,,
72r,p451_l08_o08,sancio ,p451_l08_o08_a,iudico diffinio,S22,F3,normal,,,
72r,p451_l08_o10,sartio ,p451_l08_o10_a,instauro,S22,F2,normal,,,
72r,p451_l09_o02,farcio ,p451_l09_o02_a,repleo,S22,F2,normal,,,
72r,p451_l09_o03,expedio ,p451_l09_o03_a,absoluo,S22,F2,normal,,,
72r,p451_l09_o04,inpedio ,p451_l09_o04_a,noceo,S22,F2,normal,,,
72r,p451_l09_o05,fastidio ,p451_l09_o05_a,nauseo,S22,F2,normal,,,
72r,p451_l09_o07,custodio ,p451_l09_o07_a,ꝓuideo,S22,F2,normal,,,
72r,p451_l09_o08,erudio ,p451_l09_o08_a,doceo,S22,F2,normal,,,
72r,p451_l09_o09,oboedio ,p451_l09_o09_a,pareo,S22,F2,normal,,,
72r,p451_l10_o01,uagio ,p451_l10_o01_a,+++ ͤ? INFAN ͭ ͧ ͫ EST uagire,S23,F4,normal,,,
72r,p451_l10_o02,pręsagio ,p451_l10_o02_a,futura p̃dico,S23,F4,normal,,,
72r,p451_l10_o05,stabilio ,p451_l10_o05_a,c̃firmo,S22,F2,normal,,,
72r,p451_l10_o06,mollio ,p451_l10_o06_a,mollis efficio,S23,F4,normal,,,
72r,p451_l10_o07,bullio ,p451_l10_o07_a,scateo?,S22,F2,normal,,,
72r,p451_l10_o09,redimio ,p451_l10_o09_a,corono ł como,S22,F3,normal,,,
72r,p451_l10_o10,exinanio ,p451_l10_o10_a,euacuo,S22,F2,normal,,,
72r,p451_l11_o01,insanio ,p451_l11_o01_a,seuio,S22,F2,normal,,,
72r,p451_l11_o04,insignio ,p451_l11_o04_a,nobilito,S22,F2,normal,,,
72r,p451_l11_o05,finio ,p451_l11_o05_a,t̃mino,S22,F2,normal,,,
72r,p451_l11_o06,hinnio ,p451_l11_o06_a,EQU ͦ ͬ ͧ ͫ EST HINN ͥ ͬ ͥ,S23,F4,normal,,,
72r,p451_l11_o07,tinnio ,p451_l11_o07_a,ęs tinnit,S23,F4,normal,,,
72r,p451_l11_o08,grunnio ,p451_l11_o08_a,murmuro,S22,F2,normal,,,
72r,p451_l11_o09,munio ,p451_l11_o09_a,defendo,S22,F2,normal,,,
72r,p451_l11_o10,punio ,p451_l11_o10_a,dãno ł ulciscor,S22,F3,normal,,,
72r,p451_l12_o01,sępio ,p451_l12_o01_a,circũdo,S22,F2,normal,,,
72r,p451_l12_o02,sopio ,p451_l12_o02_a,dormio,S22,F2,normal,,,
72r,p451_l12_o03,ferio ,p451_l12_o03_a,ꝑcutio,S22,F2,normal,,,
72r,p451_l12_o04,operio ,p451_l12_o04_a,tego,S22,F2,normal,,,
72r,p451_l12_o05,aperio ,p451_l12_o05_a,resero,S22,F2,normal,,,
72r,p451_l12_o06,garrio ,p451_l12_o06_a,garrire auiũ ÷ PROPRI ͤ,S23,F3,normal,,,
72r,p451_l12_o07,ligurrio ,p451_l12_o07_a,lingo,S22,F2,normal,,,
72r,p451_l12_o10,micturio ,p451_l12_o10_a,AB EO QUOD EST mingo DEDUC ͥ ͭ ͧ ͬ,S54,F4,normal,,,
72r,p451_l13_o01,prurio ,p451_l13_o01_a,scabeo,S22,F2,normal,,,
72r,p451_l13_o04,irretio ,p451_l13_o04_a,inlaqueo,S22,F2,normal,,,
72r,p451_l13_o05,sentio ,p451_l13_o05_a,intelligo,S22,F2,normal,,,
72r,p451_l14_o01,sęuio ,p451_l14_o01_a,bachor,S22,F2,normal,,,
72r,p451_l14_o02,blandior ,p451_l14_o02_a,adulor,S22,F2,normal,,,
72r,p451_l14_o04,ordior ,p451_l14_o04_a,incipio,S22,F2,normal,,,
72r,p451_l14_o06,largior ,p451_l14_o06_a,tribuo,S22,F2,normal,,,
72r,p451_l14_o08,sortior ,p451_l14_o08_a,accipio,S22,F2,normal,,,
72r,p451_l15_o01,partior ,p451_l15_o01_a,diuido,S22,F2,normal,,,
72r,p451_l16_o06-07,minꝰ trissillabis ,p451_l16_o06-07_a,.s. SED dyssillabis,S53,F3,normal,,,
72r,p451_l17_o06,notant᷑ ,p451_l17_o06_a,excipiunt᷑,S22,F2,normal,,,
72r,p451_l21_o06,elicio ,p451_l21_o06_a,extorqueo ł exprimo,S22,F3,normal,,,
72r,p451_l21_o07,inlicio ,p451_l21_o07_a,seduco,S22,F2,normal,,,
72r,p451_l21_o08,pellicio ,p451_l21_o08_a,decipio,S22,F2,normal,p451_l21_o08_b,S24,F4
72r,p451_l21_o09,int̃ficio ,p451_l21_o09_a,int̃imo occido,S22,F3,normal,p451_l21_o09_b,S22,F2
72r,p451_l21_o10,officio ,p451_l21_o10_a,noceo,S22,F2,normal,,,
72r,p451_l22_o03,cupio ,p451_l22_o03_a,desidero,S22,F2,normal,,,
72r,f75r_l06_o23,quatio ,f75r_l06_o23_a,moueo,S22,F2,normal,,,
72r,p451_l22_o10,concutio ,p451_l22_o10_a,cõmoueo,S22,F2,normal,,,
72r,p451_l22_o11,morior ,p451_l22_o11_a,intereo,S22,F2,normal,,,
72r,p451_l22_o04,orior ,p451_l22_o04_a,nascor,S22,F2,normal,,,
72r,p451_l23_o05,potior ,p451_l23_o05_a,fruor,S22,F2,normal,,,
72v,p451_l28_o11,desinens ,p451_l28_o11_a,VERB ͧ ͫ,S53,F2,shorthand,,,
72v,p451_l29_o02,scđę ,p451_l29_o02_a,CONIUGA ͭ ͥ ͦ ᷠ ͥ ᷤ SIMILIS? UT DOC  ͤ ͦ,S53,F4,normal,,,
72v,p451_l29_o12,sine ,p451_l29_o12_a,IDEST aut a nominib ueni aut ut nuntio aut non sic̃ ÷ ambio,S53,F4,normal,,,
72v,p451_l31_o07,uerba ,p451_l31_o07_a,SUBAUD ͥ ͭ ͧ ͬ  DIRIVA? ͭ ͣ,S53,F2,shorthand,,,
72v,p451_l33_o03,disserere ,p451_l33_o03_a,exponere,S22,F2,normal,,,
72v,p451_l34_o05,ubertati ,p451_l34_o05_a,abundantię,S22,F2,normal,,,
72v,p451_l34_o06,uocũ ,p451_l34_o06_a,uerborum?,S22,F2,normal,,,
72v,p451_l34_o07,studens ,p451_l34_o07_a,siue gens opera dans,S23,F3,normal,,,
72v,p451_l35_o06,ꝓcreauit. ,p451_l35_o06_a,ꝓgenuit,S22,F2,normal,,,
72v,p451_l35_o08,multa ,p451_l35_o08_,sb̶ uerba,S3232,F2,normal,,,
72v,p451_l36_o05,genuit ,p451_l36_o05_a,sb̶ natura,S415,F2,normal,,,
72v,p452_l01_o01,dedit ,p452_l01_o01_a,asscripsit,S22,F2,normal,,,
72v,p452_l02_o04,motu ,p452_l02_o04_a,.i. modo,S22,F2,normal,,,
72v,p452_l02_o07,eas ,p452_l02_o07_a,sb̶ t̃mina/tiones,S3232,F2,normal,,,
72v,p452_l03_o05,transduxit ,p452_l03_o05_a,SUBAUD ͥ ͭ ͧ ͬ IPS ͣ natura,S415,F3,normal,,,
72v,p452_l03_o06,quas ,p452_l03_o06_a,SUBAUD ͥ ͭ ͧ ͬ t̃minationes,S4224,F3,normal,,,
72v,p452_l04_o03,adhęrentia ,p452_l04_o03_a,SERU ͣ ᷠ ͭ ͥ ͣ,S22,F2,shorthand,,,
72v,p452_l04_o07,ipsa ,p452_l04_o07_a,sb̶ nomina,S3232,F2,normal,,,
72v,p452_l05_o01,origines ,p452_l05_o01_a,INITI ͣ EXORDI ͣ,S22,F3,shorthand,,,
72v,p452_l05_o03,deducant᷑ ,p452_l05_o03_a,diriuant᷑,S22,F2,normal,,,
72v,p452_l05_o07,trib ,,,,,,p452_l05_o07_a,S53,F4
72v,p452_l06_o05-07,ab indicatiuo-pręsenti ,,,,,,p452_l06_o05-07_a,S53,F4
72v,p452_l08_o05,generales ,p452_l08_o05_a,COMMU ᷠ ͤ ᷤ,S22,F2,shorthand,,,
72v,p452_l08_o07,speciales ,p452_l08_o07_a,PROPRI ͤ,S22,F2,shorthand,,,
72v,p452_l08_o08,distinctę ,p452_l08_o08_a,discretę,S22,F2,normal,,,
72v,p452_l13_o04,Illo ,p452_l13_o04_a,ud,S611,F2,normal,,,
72v,p452_l13_o08,positionis ,p452_l13_o08_a,primę ꝑsonę indicatiui MOD ͥ,S53,F3,normal,,,
72v,p452_l15_o08,litigo ,p452_l15_o08_a,altercor,S22,F2,normal,,,
72v,p452_l15_o09,litigium ,p452_l15_o09_a,rixa,S22,F2,normal,,,
72v,p452_l15_o11,cõmertiũ ,p452_l15_o11_a,lucrũ,S22,F2,normal,,,
72v,p452_l16_o01,obsono ,p452_l16_o01_a,c̃trasono,S22,F2,normal,,,
72v,p452_l16_o02,obsoniũ ,p452_l16_o02_a,CONUIU ͦ uenale,S23,F3,normal,,,
72v,p452_l16_o05,ędifico ,p452_l16_o05_a,c̃struo,S22,F2,normal,p452_l16_o05_b,S63,F3
72v,p452_l16_o07,sacrifico ,p452_l16_o07_a,offero c̃secro,S23,F4,normal,,,
72v,p452_l17_o01,sacrificium ,p452_l17_o01_a,oblatio,S22,F2,normal,,,
72v,p452_l17_o04,mancipo ,p452_l17_o04_a,subdo,S22,F2,normal,,,
72v,p452_l17_o06,impero ,p452_l17_o06_a,regno,S22,F2,normal,,,
72v,p452_l17_o07,imperiũ ,p452_l17_o07_a,POTESTAS REGN ͧ ͫ,S23,F3,shorthand,p452_l17_o07_b,S63,F3
72v,p452_l18_o01,c̃uiuor ,p452_l18_o01_a,CUM AL ͥ ͥ ᷤ AD CONUIUIUM SUM,S23,F4,shorthand,,,
72v,p452_l18_o05,gaudeo ,p452_l18_o05_a,gratulor,S22,F2,normal,,,
72v,p452_l18_o07,pręsideo ,p452_l18_o07_a,p̃sum,S22,F2,normal,,,
72v,p452_l19_o01,p̃sidiũ ,p452_l19_o01_a,adiutorium,S22,F2,normal,,,
72v,p452_l19_o02,medeor ,p452_l19_o02_a,medicor,S22,F2,normal,,,
72v,p452_l19_o03,Remediũ ,p452_l19_o03_a,Su ̶ ?  ͭ ͥ ͣ(sanitas?),S22,F2,shorthand,,,
72v,p452_l19_o04,Nubo ,p452_l19_o04_a,UX ͦ ͬ ͤ ͫ DUC ͦ,S23,F4,shorthand,,,
72v,p452_l19_o05,conubiũ ,p452_l19_o05_a,c̃iugiũ,S22,F2,normal,,,
72v,p452_l20_o01,Fastidio ,p452_l20_o01_a,nauseo,S22,F2,normal,,,
72v,p452_l20_o03,Exulo ,p452_l20_o03_a,peregrinor,S22,F2,normal,,,
72v,p452_l20_o04,c̃sulo ,p452_l20_o04_a,c̃siliũ do ꝑcunctor,S23,F4,normal,,,
72v,p452_l20_o07,exiliũ ,p452_l20_o07_a,peregrinatio,S22,F2,normal,,,
72v,p452_l21_o01,Obsequor ,p452_l21_o01_a,obtẽpero,S22,F2,normal,,,
72v,p452_l21_o05,domunculo ,p452_l21_o05_a,paruã domũ facio,S23,F4,normal,,,
72v,p452_l21_o06,domiciliũ ,p452_l21_o06_a,domus auiũ,S23,F3,normal,,,
72v,p452_l22_o01,Solsto ,p452_l22_o01_a,solẽ stare facio,S23,F4,normal,p452_l22_o01_b,S63,F3
72v,p452_l22_o02,solsticiũ ,p452_l22_o02_a,statio solis,S25,F3,normal,,,
72v,p452_l22_o04,iusticiũ ,p452_l22_o04_a,locꝰ UBI IUSTI ͭ ͥ ͣ FIT,S23,F4,shorthand,,,
72v,p452_l22_o06,silicernũ ,p452_l22_o06_a,DIC ͥ ͭ ͧ ͬ HOMO QUI SENEC ͭ ͧ ͭ ͤ ͫ ? SU ͥ CERN ͥ ͭ,S23,F4,shorthand,,,
72v,p452_l22_o07-09,Ante .iculũ. ,p452_l22_o07-09_a,SUBAUD ͥ ͭ ͧ ͬ SERU ͣ ᷠ ͭ CONSONAN ͭ ͤ ᷤ ?,S53,F4,shorthand,,,
72v,p452_l23_o02,ridiculũ ,p452_l23_o02_a,derisio,S22,F2,normal,,,
72v,p452_l23_o03,Perpendo ,p452_l23_o03_a,m̃suro ł penso,S22,F3,normal,,,
72v,p452_l23_o04,ꝑpendiculũ ,p452_l23_o04_a,genꝰ m̃sioꝵ ÷,S23,F4,normal,,,
72v,p452_l23_o05,Euerso ,p452_l23_o05_a,destruo,S22,F2,normal,p452_l23_o05_b,S63,F2
72v,p452_l23_o06,Euersiculũ ,p452_l23_o06_a,++? ͤ ᷠ ͭ ͥ ͣ(destructio?),S22,F2,shorthand,,,
72v,p452_l24_o02,Ueho ,p452_l24_o02_a,++?,S22,F2,shorthand,,,
72v,p452_l24_o03,uehiculũ ,p452_l24_o03_a,plaustrũ,S22,F2,normal,,,
72v,p452_l24_o05,periculũ ,,,,,,p452_l24_o05_a,S21,F4
72v,p452_l24_o07,ferculũ ,p452_l24_o07_a,discus,S22,F2,normal,,,
72v,p452_l25_o02,uincio ,p452_l25_o02_a,ligo,S22,F2,normal,,,
72v,p452_l25_o03,uinculũ ,p452_l25_o03_a,ligam̃tũ,S22,F2,normal,,,
72v,p452_l25_o08,iaculũ ,p452_l25_o08_a,telum,S22,F2,normal,,,
72v,p452_l26_o09,rego ,p452_l26_o09_a,guberno,S22,F2,normal,,,
72v,p452_l26_o10,regimen ,p452_l26_o10_a,gub̶natio,S22,F2,normal,,,
72v,p452_l27_o01,Tego ,p452_l27_o01_a,operio,S22,F2,normal,,,
72v,p452_l27_o02,Tegim̃ ,p452_l27_o02_a,operim̃tũ,S22,F2,normal,,,
72v,p452_l27_o08,.e. ,p452_l27_o08_a,UOCAL ͥᵇ ͧ ᷤ,S53,F2,shorthand,,,
72v,p452_l27_o09,pręeuntib; ,p452_l27_o09_a,ANTECED ͤ ᷠ ͭ ͥ ᵇ ͧ ᷤ,S22,F2,shorthand,,,
72v,p452_l28_o02,Vereor ,p452_l28_o02_a,timeo,S22,F2,normal,,,
72v,p452_l28_o09-11,Ante .or.quoq; ,p452_l28_o09-11_a,sb̶ seruant c̃sonantẽ UERB ͣ ITA? NOMINA ͫ ͧ ᷤ (uerba in nominibus?),S53,F4,shorthand,,,
72v,p452_l29_o01,pauca ,,,,,,,,
72v,p452_l29_o03,aliis ,p452_l29_o03_a,sb̶ c̃iugationib;,S3232,F2,normal,,,
73r,p452_l30_o01,& ,p452_l30_o01_a,sb̶ a,S611,F2,normal,,,
73r,p452_l30_o07,posst̃ ,,,,,,,,
73r,p452_l30_o10,transeuntia ,p452_l30_o10_a,migrantia,S22,F2,normal,,,
73r,p452_l31_o10,pręsertim ,p452_l31_o10_a,(maxime?),S22,F2,shorthand,,,
73r,p453_l01_o02,diriuatũ ,p453_l01_o02_a,deductũ,S22,F2,normal,,,
73r,p453_l02_o01,uocabulũ ,p453_l02_o01_a,(nomen?),S22,F2,shorthand,,,
73r,p453_l02_o03,seruata ,p453_l02_o03_a,custodita,S22,F2,normal,,,
73r,p453_l02_o06,positionis ,p453_l02_o06_a,pͥmę ꝑsonę,S53,F3,normal,,,
73r,p453_l03_o02,solę ,p453_l03_o02_a,sb̶ .s. & .t.,S53,F2,normal,,,
73r,p453_l03_o09,incorporalia ,,,,,,p453_l03_o09_a,S53,F4
73r,p453_l04_o08,deducta ,p453_l04_o08_a,diriuata,S22,F2,normal,,,
73r,p453_l05_o08,censor ,p453_l05_o08_a,iudex,S22,F2,normal,,,
73r,p453_l04_o11,defensor ,p453_l04_o11_a,tutor,S22,F2,normal,,,
73r,p453_l04_o12,c̃sultor ,p453_l04_o12_a,++ prudens,S22,F2,normal,,,
73r,p453_l05_o07,Vnde ,p453_l05_o07_a,ex quo,S22,F3,normal,,,
73r,p453_l06_o03,censeo ,p453_l06_o03_a,statuo ł diffinio ł iudico,S22,F3,normal,,,
73r,p453_l06_o04,censor ,,,,,,p453_l06_o04_a,S63,F2
73r,p453_l06_o05,traductũ ,,,,,,,,
73r,p453_l08_o06,coꝓbamꝰ. ,p453_l08_o06_a,cognoscimꝰ ł eis cernimꝰ,S22,F3,normal,,,
73r,p453_l09_o07,Sudo ,p453_l09_o07_a,sudorẽ effundo,S23,F4,normal,,,
73r,p453_l09_o08,sudor ,,,,,,p453_l09_o08_a,S63,F2
73r,p453_l10_o09,Rubeo ,p453_l10_o09_a,uerecundor,S22,F2,normal,,,
73r,p453_l10_o11,Marceo ,p453_l10_o11_a,areo,S22,F2,normal,,,
73r,f76v_l22_o04,obsono ,f76v_l22_o04_a,c̃rtasono ++,S22,F3,normal,,,
73r,p453_l11_o02,candeo ,p453_l11_o02_a,albesco,S22,F2,normal,,,
73r,p453_l11_o04,algeo ,p453_l11_o04_a,frigeo,S22,F2,normal,,,
73r,p453_l11_o05,algor ,p453_l11_o05_a,frigꝰ,S22,F2,normal,,,
73r,f73r_l10_o10,Alo ,f73r_l10_o10_a,nutrio nutritor,S22,F2,normal,,,
73r,p453_l11_o11,tenor ,p453_l11_o11_a,uis (uirtꝰ?),S22,F2,shorthand,,,
73r,p453_l12_o01,tepeo ,p453_l12_o01_a,(trepidꝰ fio?),S23,F4,shorthand,,,
73r,f73r_l11_o01,Stupeo ,f73r_l11_o01_a,admiror,S22,F2,normal,,,
73r,f73r_l11_o02,Stupor ,f73r_l11_o02_a,admiratio,S22,F2,normal,,,
73r,p453_l12_o03,horreo ,p453_l12_o03_a,abhominor,S22,F2,normal,,,
73r,p453_l12_o04,horror ,p453_l12_o04_a,+,S22,F2,shorthand,,,
73r,p453_l12_o05,ferueo ,p453_l12_o05_a,(ardeo?),S22,F2,shorthand,,,
73r,p453_l12_o07,strideo ,p453_l12_o07_a,sono,S22,F2,normal,p453_l12_o07_b,S53,F4
73r,p453_l13_o01,Tremeo ,,,,,,p453_l13_o01_a,S23,F3
73r,p453_l14_o02,furor ,p453_l14_o02_a,(ira?insania?),S22,F2,shorthand,p453_l14_o02_b,S63,F3
73r,p453_l14_o03,Liquor ,p453_l14_o03_a,fluo,S22,F2,normal,p453_l14_o03_b,S23,F4
73r,p453_l14_o06,Liquor ,p453_l14_o06_a,sicut oleũ,S22,F3,normal,,,
73r,p453_l14_o09,sopio ,p453_l14_o09_a,dormio,S22,F2,normal,,,
73r,p453_l14_o10,sõpor ,,,,,,p453_l14_o10_a,S63,F2
73r,p453_l15_o01-02,quorũ duo ,p453_l15_o01-02_a,+ Liquor & sopor,S3232,F3,normal,,,
73r,p453_l16_o06,.idus. ,,,,,,p453_l16_o06_a,S63,F2
73r,p453_l16_o08,positionis ,p453_l16_o08_a,÷ pͥmę ꝑsonę,S53,F3,normal,,,
73r,p453_l17_o02,madeo ,p453_l17_o02_a,humidꝰ sũ,S32,F4,normal,,,
73r,p453_l17_o04,Splendeo ,p453_l17_o04_a,luceo,S22,F2,normal,,,
73r,p453_l17_o06,Sordeo  ,p453_l17_o06_a,cõmaculo,S22,F2,normal,,,
73r,p453_l17_o07,sordidus ,p453_l17_o07_a,ma(culatus)?,S22,F2,shorthand,,,
73r,p453_l18_o02,Caleo ,,,,,,p453_l18_o02_a,S63,F3
73r,p453_l18_o08,Stupeo ,p453_l18_o08_a,(admiror?),S22,F2,shorthand,,,
73r,p453_l18_o09,stupidus ,p453_l18_o09_a,+,S22,F2,shorthand,,,
73r,p453_l19_o01,Areo ,,,,,,p453_l19_o01_a,S63,F3
73r,p453_l19_o03,Torreo ,p453_l19_o03_a,uro,S22,F2,normal,p453_l19_o03_b,S63,F2
73r,p453_l19_o07,Rapio ,p453_l19_o07_a,aufero,S22,F2,normal,,,
73r,p453_l19_o08,rapidus ,p453_l19_o08_a,uelox,S22,F2,normal,,,
73r,p453_l20_o02,uiuidus ,p453_l20_o02_a,uitalis,S22,F2,normal,p453_l20_o02_b,S63,F3
73r,p453_l20_o04,Fluo ,,,,,,p453_l20_o04_b,S53,F4
73r,p453_l21_o04-05,inuidus ,,,,,,p453_l21_o04-05_a,S63,F3
73r,p453_l21_o06,Trepidus ,,,,,,p453_l21_o06_b,S53,F4
73r,p453_l26_o04,tego ,p453_l26_o04_a,operio,S22,F2,normal,,,
73r,p453_l26_o06,Mergo ,,,,,,p453_l26_o06_a,S24,F3
73r,p453_l26_o08,cędo ,p453_l26_o08_a,int̃ficio,S22,F2,normal,,,
73r,p453_l26_o09,cędes ,p453_l26_o09_a,+,S22,F2,shorthand,,,
73r,p453_l26_o11,Luo ,p453_l26_o11_a,sustineo/ł soluo,S22,F3,normal,p453_l26_o11_b,S63,F3
73r,p453_l27_o01,Lues ,p453_l27_o01_a,pestis,S22,F2,normal,,,
73r,p453_l27_o02,struo ,p453_l27_o02_a,ędifico,S22,F2,normal,,,
73r,p453_l27_o03,strues ,p453_l27_o03_a,c̃genies t̃rę aug? cumulus,S23,F3,normal,,,
73r,p453_l27_o04,fido ,p453_l27_o04_a,fido,S22,F2,normal,,,
73r,p453_l27_o05,fides ,p453_l27_o05_a,credulitas,S22,F2,normal,,,
73r,p453_l28_o05,torquis ,p453_l28_o05_a,ornam̃tũ colli,S23,F3,normal,,,
73r,p453_l28_o12,docibilis ,p453_l28_o12_a,facile discens,S23,F3,normal,,,
73r,p453_l29_o02,nubilis ,p453_l29_o02_a,puella apta (ad nubendum?),S23,F3,shorthand,p453_l29_o02_b,S63,F2
73r,p453_l29_o03,Facio ,p453_l29_o03_a,ago,S22,F2,normal,,,
73r,p453_l29_o04,facilis ,p453_l29_o04_a,leuis,S22,F2,normal,,,
73r,p453_l29_o06,utilis ,p453_l29_o06_a,ꝓficuus,S22,F2,normal,,,
73r,p453_l29_o07,Effutio ,p453_l29_o07_a,effundo,S22,F2,normal,,,
73r,p453_l29_o08,effutilis ,p453_l29_o08_a,uanus instab̶is,S22,F3,normal,p453_l29_o08_b,S63,F3
73r,p453_l29_o12,Occido  ,,,,,,p453_l29_o12_a,S63,F3
73r,p453_l30_o01,occiduus ,p453_l30_o01_a,transitiuus,S22,F2,normal,,,
73r,p453_l30_o05,ceduus ,p453_l30_o05_a,incedens,S22,F2,normal,p453_l30_o05_b,S62,F3
73r,p453_l31_o02,diuiduus ,p453_l31_o02_a,diuisis,S22,F2,normal,,,
73r,p453_l31_o07,bibulus ,p453_l31_o07_a,nimis bibens,S23,F3,normal,,,
73r,p453_l32_o01,Strido ,p453_l32_o01_a,sono,S22,F2,normal,,,
73r,p453_l32_o02,stridulus ,p453_l32_o02_a,sonoris,S22,F2,normal,,,
73r,p453_l32_o04,gerulus ,p453_l32_o04_a,portitor,S22,F2,normal,,,
73r,p453_l32_o06,legulus ,p453_l32_o06_a,legens,S22,F2,normal,,,
73r,p453_l32_o08,murilegulus ,p453_l32_o08_a,÷ cattꝰ siue pilax. ++ sic uocatꝰ eo qđ/mures legit id ÷ furatur,S23,F4,normal,p453_l32_o08_b,S63,F3
73r,p453_l33_o04,cernulus ,,,,,,p453_l33_o04_a,S63,F2
73r,p453_l33_o08,adoptulus ,p453_l33_o08_a,adoptiuus,S22,F2,normal,,,
73r,p454_l01_o06,uoro ,,,,,,p454_l01_o06_a,S63,F3
73r,p454_l01_o12,contumeo ,p454_l01_o12_a,inflo suꝑbio,S22,F3,normal,,,
73r,p454_l02_o01,c̃tumax ,p454_l02_o01_a,suꝑbus,S22,F2,normal,,,
73r,p454_l02_o03,tenax ,p454_l02_o03_a,auarus,S22,F2,normal,,,
73r,f73r_l29_o02,carax ,f73r_l29_o02_a,ñ habens,S23,F3,normal,f73r_l29_o02_b,S63,F2
73r,p454_l03_o01,ꝑspicax ,p454_l03_o01_a,ingeniosus astutꝰ,S22,F3,normal,,,
73r,p454_l03_o03,efficax ,p454_l03_o03_a,efficiens ł potens,S22,F3,normal,,,
73r,p454_l03_o04,fallo ,p454_l03_o04_a,(mentior?),S22,F2,shorthand,,,
73v,p454_l03_o09,uiuax ,p454_l03_o09_a,uiuidus,S22,F2,normal,,,
73v,p454_l03_o10,sagio ,p454_l03_o10_a,+,S22,F2,shorthand,,,
73v,p454_l04_o02,sagax ,p454_l04_o02_a,sollicitꝰ,S22,F2,normal,,,
73v,p454_l04_o01,pręsagio ,p454_l04_o01_a,futura p̃dico,S23,F4,normal,,,
73v,p454_l04_o04,salax ,p454_l04_o04_a,uelox,S22,F2,normal,p454_l04_o04_b,S63,F2
73v,p454_l05_o05,mendax ,,,,,,p454_l05_o05_b,S22,F3
73v,p454_l05_o07,latex ,p454_l05_o07_a,fons a latendo (dicitur?),S54,F4,normal,p454_l05_o07_b,S63,F3
73v,p454_l05_o09,uertex ,p454_l05_o09_a,su? ++++ capilli,S23,F5,normal,,,
73v,p454_l06_o08,positionẽ ,p454_l06_o08_a,pͥma ꝑsonã,S53,F3,normal,,,
73v,p454_l09_o03,stabulũ ,p454_l09_o03_a,+ stando +,S54,F2,normal,p454_l09_o03_b,S63,F3
73v,p454_l09_o07,pateo ,p454_l09_o07_a,aperio,S22,F2,normal,p454_l09_o07_b,S63,F3
73v,p454_l09_o09,patibulũ ,p454_l09_o09_a,torm̃tũ,S22,F2,normal,,,
73v,p454_l09_o11,infundo ,p454_l09_o11_a,suꝑ/fundo,S22,F2,normal,,,
73v,p454_l10_o07,stabilis ,,,,,,p454_l10_o07_a,S63,F3
73v,p454_l10_o09-10,in .bundus. ,,,,,,p454_l10_o09-10_a,S63,F3
73v,p454_l11_o02,errabundꝰ ,p454_l11_o02_a,similis erranti,S22,F3,normal,,,
73v,p454_l11_o05,ludibundus ,p454_l11_o05_a,(similis) ludenti,S22,F2,normal,,,
73v,p454_l11_o08,moribundus ,p454_l11_o08_a,(similis) morenti,S22,F2,normal,,,
73v,p454_l12_o01,furio ,p454_l12_o01_a,insanio,S22,F2,normal,p454_l12_o01_b,S63,F2
73v,p454_l12_o03,furibundus ,p454_l12_o03_a,(similis) furenti,S22,F2,normal,,,
73v,p454_l13_o04,clausulę ,p454_l13_o04_a,t̃minatioñ,S22,F2,normal,p454_l13_o04_b,S53,F4
73v,p454_l14_o04,generales ,p454_l14_o04_a,cõmunes sb̶ clausulę (superiores?),S22,F3,shorthand,,,
73v,p454_l15_o01-04,in .a. ł in .ella. ,,,,,,p454_l15_o01-04_a,S63,F3
73v,p454_l17_o04,scribo  ,,,,,,p454_l17_o04_b,S22,F3
73v,p454_l17_o05,scriba ,p454_l17_o05_a,doctus,S22,F2,normal,,,
73v,p454_l17_o07,ꝓnuba ,p454_l17_o07_a,ꝗ nubentib p̃est,S23,F3,normal,p454_l17_o07_b,S63,F2
73v,p454_l18_o01,ꝓfuga ,p454_l18_o01_a,porro fugiens,S25,F3,normal,,,
73v,p454_l18_o03,aduena ,p454_l18_o03_a,peregrinꝰ,S22,F2,normal,,,
