lemma_id,folio,lemma,gloss,gloss_type,gloss_form,marginal_note_text,marginal_type,marginal_form
p453_l11_o05,06v,algor,frigus,S22,F2,,,
p453_l11_o07,06v,olor,odor,S22,F2,,,
p453_l11_o08,06v,timeo,& timiditas,S22,F2,,,
p453_l11_o09,06v,tenor,acentꝰ,S22,F2,,,
p453_l28_o08,06v,stupeo ,admiro,S22,F2,,,
f06v_l24_o04,06v,stupor ,admiratio,S22,F2,,,
p453_l12_o03,06v,horreo.,timeo,S22,F2,,,
p453_l12_o05,06v,ferueo ,ardeo incendo,S22,F2,,,
p453_l12_o06,06v,feruor,calor,S22,F2,,,
p453_l12_o07,06v,strideo,stride porcoru,S23,F3,,,
p453_l13_o04,07r,canor,ipsa modulatio ,S22,F3,,,
p453_l13_o05,07r,canor,dr̃ melodia ,S22,F4,,,
p453_l13_o06,07r,sapio,intelligo,S22,F2,,,
p453_l13_o08,07r,furo,insanio  ,S22,F2,,,
p453_l14_o02,07r,furor,ipsa iracundia,S22,F3,,,
p453_l14_o09,07r,sopio,dormio,S22,F2,,,
p453_l14_o10,07r,sopor ,ipsa quies sõnii,S22,F3,,,
p453_l14_o03,07r,liquor,defluo,S22,F2,,,
p453_l14_o04,07r,liq;ris,uerbum/illu liquans,S23,F3,,,
p453_l15_o01,07r,quorũ,nominũ p̃ dictoꝝ,S53,F3,,,
p453_l15_o06,07r,penultimã ,s. sillabã.,S53,F2,,,
p453_l17_o02,07r,madeo,umifio,S22,F2,,,
p453_l17_o03,07r,madidus,umiđ,S22,F2,,,
p453_l17_o05,07r,splendidus,luciđ /fulgidus ,S22,F3,,,
p453_l17_o06,07r,sordeo,squaleo,S22,F2,,,
p453_l17_o07,07r,sordidus , tͫpisseđ ,S22,F2,,,
p453_l17_o08,07r,frigeo,algeo,S22,F2,,,
p453_l19_o03,07r,torreo ,arefio uro,S22,F2,,,
p453_l19_o04,07r,torridus,arefactꝰ siccus,S22,F2,,,
p453_l19_o05,07r,ferueo ,Splendo / studeo,S22,F3,,,
p453_l19_o06,07r,feruidus,caliđ,S22,F2,,,
p453_l18_o07,07r,tepidus,dr̃ tẽperatꝰ,S22,F2,,,
p453_l18_o09,07r,stupidus,timidus. siue admirans,S22,F2,,,
p453_l19_o02,07r,aridus ,siccꝰ,S22,F2,,,
p453_l19_o07,07r,rapio ,tollo /aufero,S22,F3,,,
p453_l19_o08,07r,rapidus,agilis /uelox,S22,F3,,,
p453_l19_o09,07r,cupio ,desidero ,S22,F2,,,
p453_l19_o10,07r,cupidus,auidus,S22,F2,,,
p453_l20_o02,07r,uiuidus,sagax & agilis,S22,F2,,,
p453_l20_o06,07r,fluuidus,decurrens ł fluens,S22,F3,,,
p453_l21_o03,07r,ꝓferuntur,dic̃t᷑,S22,F2,,,
p453_l21_o05,07r,prandus,opulator,S22,F2,,,
p453_l21_o06,07r,trepidus,r,S611,F1,,,
p453_l21_o11,07r,trepido,formido,S22,F2,,,
p453_l26_o01-02,07r,ante clausulã,ante terminacionis,S22,F3,,,
p453_l26_o03,07r,seruantia,& habentia,S22,F2,,,
p453_l26_o05,07r,teges,ipsũ cooperimentũ,S22,F3,,,
p453_l26_o06,07r,mergo,infundo  ⁊  inolino,S22,F3,coruus maritimꝰ dr,S23,F4
p453_l26_o10,07r,luo,penas soluo ,S22,F2,,,
p453_l26_o09,07r,cedes,clades ꝑcutio,S22,F3,,,
p453_l27_o02,07r,struo,congero,S22,F2,,,
p453_l28_o04,07r,torqueo,Affligo / uereo,S22,F3,,,
p453_l28_o05,07r,torquis,circulus aureus /a torquendo,S23,F3,,,
p453_l29_o04,07r,fatilis , leuis/qͣsi possibilis,S22,F3,,,
p453_l29_o06,07r,utilis ,uibilis/uelox,S22,F3,,,
p453_l29_o07,07r,efutio ,inanesco,S22,F2,,,
p453_l29_o08,07r,efutilis,uacuus instabilis,S22,F3,,,
p453_l28_o12,07r,docibilis,ꝗ facile poti doceri,S23,F4,docibilis dr̃ sermo ꝗ facile  discit᷑,S23,F4
p453_l29_o12,07r,occido,ex ob& cado,S54,F3,,,
p453_l29_o01,07r,nubo,muliem du{xi},S23,F3,,,
p453_l29_o02,07r,nubilis ,nubilis dr̃ apta ad,S23,F4,,,
p453_l30_o01,07r,occiduus,occidentalis,S22,F2,,,
p453_l30_o02,07r,p̃do,uasto,S22,F2,,,
p453_l30_o03,07r,p̃duus ,ꝓpmtꝰ p̃de ,S22,F3,,,
p453_l30_o04,07r,cedo,paucior ãbulo / in,S22,F3,,,
p453_l30_o08,07v,perspicuus ,ꝗ bene potest ꝑspicere,S23,F3,,,
p453_31_o01,07v,duido ,secaro ,S22,F2,,,
p453_31_o02,07v,diuiduus,diuisibilis ⁊ mobilis,S22,F3,,,
p453_31_o03-05,07v,item in .ulus.,seruat &iã c̃sonans,S53,F2,,,
p453_31_o07,07v,bibulus ,potator ꝗ non sit satꝰ,S23,F4,,,
p453_31_o09,07v,pendulus,[ꝗ] indiget auxilio alterius,S23,F4,,,
p453_31_o11,07v,credulus, ꝗ dignꝰ ÷ ut credat᷑/ ꝗ facile cređ ,S23,F4,,,
p453_l32_o01,07v,strido,sono,S22,F2,,,
p453_l32_o04,07v,gerulus,portator,S22,F2,,,
p453_l32_o06,07v,legulus,assiduus in lectione,S23,F3,,,
p453_l32_o08,07v,murilegulus,captator  mures,S23,F3,,,
p453_l33_o01,07v,tremo ,mobo ł,S22,F2,,,
p453_l33_o02,07v,tremulus,titubans ñ finiꝰn,S23,F3,,,
p453_l33_o03,07v,cerno ,inclino uideo ,S22,F2,,,
p453_l33_o04,07v,cernulus,inspector,S22,F2,,,
p453_l33_o05,07v,queror,reclamo,S22,F2,,,
p453_l33_o06,07v,querulus,questor /quasi reclamator ,S22,F3,,,
p453_l33_o07,07v,adopto,associo,S22,F2,,,
p453_l33_o08,07v,adoptulus,quasi adoptiuus,S22,F2,,,
p454_l01_o06,07v,uoro ,comedo ,S22,F2,,,
p454_l01_o07,07v,uorax,commesor,S22,F2,,,
p454_l01_o09,07v,audax,statis animo,S22,F3,,,
p454_l01_o11,07v,tumans,inflatꝰ,S22,F2,,,
p454_l01_o12,07v,contumeo,suꝑb;,S22,F2,,,
p454_l02_o01,07v,contumax,arrogans c̃tem̃tor ,S22,F2,,,
p454_l02_o03,07v,tenax,parcus /auarꝰ ł ꝗcqđ conglutinat,S23,F4,,,
p454_l02_o05,07v,dicax ,loquax /eloquens ł multũ loquens,S22,F2,,,
f07v_o08_o04,07v,carax,indiguus,S22,F2,,,
p454_l02_o08,07v,rapio,aufero,S22,F2,,,
p454_l02_o10,07v,perspicio,totũ uideo,S23,F3,,,
p454_l03_o01,07v,perspicax,diluciđ manifestꝰ,S22,F3,,,
p454_l03_o03,07v,efficax,acius uelox,S22,F2,,,
p454_l03_o04,07v,fallo,,,,,,
p454_l03_o05,07v,fallax,decptor,S22,F2,,,
p454_l03_o07,07v,emax,negotiator,S22,F2,,,
p454_l03_o09,07v,uiuax,ꝗ diu uiuit,S23,F4,,,
p454_l02_o07,07v,capax,c̃tinens,S22,F2,,,
p454_l03_o10,07v,sagio,p̃sagio / diuino,S22,F3,,,
p454_l04_o01,07v,sagax,agilis astutus,S22,F2,,,
f07v_l11_o04,07v,presagax,p̃scius futura,S23,F3,,,
p454_l04_o04,07v,salax,ꝗ frequent̃ sallit,S23,F4,,,
p454_l05_o07,07v,latex,foris eoqđ latet,S23,F4,,,
p454_l05_o09,07v,uertex,sumitas capitis,S22,F2,,,
p454_l05_o11,07v,terminacionibus,s̃ in nomine,S53,F3,,,
p454_l07_o06,07v,clausulam,t̃minacionẽ,S22,F2,,,
p454_l09_o04,07v,stabulum,a stanto?,S54,F3,,,
p454_l09_o07,07v,uocabulũ,dr̃ nom̃ in corporalis rei seu in/animabus,S23,F4,,,
p454_l09_o10,07v,patibulum,crux  ł torm̃ta,S22,F2,,,
p454_l10_o03,07v,fundibulum,locꝰ ubi aliꝗd funditur,S23,F4,,,
p454_l11_o03,07v,ludo,scribo ⁊ ioco,S22,F3,,,
p454_l12_o03,07v,furibundus,insanꝰ,S22,F2,,,
p454_l17_o05,08r,scriba,legis doctor,S23,F3,,,
p454_l17_o07,08r,pronuba,mulier ꝗ disponit nuptias,S23,F4,,,
p454_l17_o09,08r,fuga ,ipsa ꝓfeccio ,S22,F3,,,
p454_l17_o10,08r,profugio,porro fugio,S54,F3,,,
p454_l18_o03,08r,aduenio,peregrinꝰ,S22,F2,,,
p454_l18_o07,08r,lenio,blandior,S22,F2,,,
p454_l18_o08,08r,lena,sillex,S22,F2,,,
p454_l18_o05,08r,conuenio,Adolator / deceptrix,S22,F3,,,
p454_l18_o06,08r,conuena,ꝗ simulcũ aliis conuenit,S23,F4,,,
p454_l18_o10,08r,adsecula,qͣsi serui militis,S23,F3,,,
p454_l19_o07,08r,terrigena,ex t̃ra genitus,S54,F3,,,
p454_l19_o08,08r,conuiuo,c̃ alia uiuo ,S54,F3,,,
p454_l19_o09,08r,conuiua,comescor manduco,S22,F3,,,
p454_l20_o02,08r,insidiae,deceptiones,S22,F2,,,
p454_l20_o08,08r,suadeo,ortor,S22,F2,,,
p454_l20_o09,08r,suadela,oratio,S22,F2,,,
p454_l21_o05,08r,lucina,luna,S22,F2,,,
p454_l21_o08,08r,ruo,cado,S22,F2,,,
p454_l21_o09,08r,ruina,euersio,S22,F2,,,
p454_l21_o10,08r,rapio,tollo,S22,F2,,,
p454_l21_o11,08r,rapina, p̃da,S22,F2,,,
p454_l22_o01,08r,cubo,a cubando,S54,F3,s genꝰ monstri,S23,F3
p454_l23_o03,08r,epulo,comedo ,S22,F2,,,
p454_l23_o02,08r,epulor,uorax cõmesor,S22,F3,,,
p454_l23_o05,08r,latro,a latendo,S54,F3,,,
p454_l23_o06,08r,lenio,deceptor,S22,F2,,,
p454_l23_o07,08r,leno,seductor,S22,F2,,,
p454_l23_o08,08r,comedo,gluto,S22,F2,,,
p454_l23_o09,08r,palpo,,,,palpo potest dici papilio/at palpo potest dici ?,S22,F4
p454_l23_o10,08r,uerbero,ꝑcucuio,S22,F2,,,
p454_l23_o11,08r,incubo,genꝰ demonũ,S52,F3,,,
p454_l25_o07,08r,turpedo,foditas,S22,F2,,,
p454_l25_o08,08r,cupio,desidero ,S22,F2,,,
p454_l25_o09,08r,cupido,ꝗdã deus,S554,F3,,,
p454_l25_o11,08r,libido ,uoluptas,S22,F2,,,
p454_l25_o12,08r,formido,terror timor,S22,F2,,,
p454_l26_o03,08r,caligo,qͣsi cecitas,S22,F2,,,
p454_l26_o04,08r,propago ,ad ui nite res ꝑtinet,S23,F4,,,
p454_l26_o07,08r,comedo,manduco,S22,F2,,,
p454_l27_o09,08r,opinor,estimo,S22,F2,,,
p454_l27_o10,08r,opinio,autumatio,S22,F2,,,
p454_l28_o08,08r,positionis ,s̃ ũbi,S53,F2,,,
p454_l28_o10,08r,parto,indulgeo,S22,F2,,,
p454_l29_o01,08r,parcus,abstinens frui,S23,F3,,,
p454_l29_o04,08r,ludo,iocor,S22,F2,,,
p454_l29_o05,08r,ludus,iocus,S22,F2,,,
p454_l29_o07,08r,fidus,in quo fiducia habet᷑/amicus,S23,F4,,,
p454_l29_o08,08r,pando,aperio,S22,F2,,,
p454_l29_o09,08r,pandus,aprtus,S22,F2,,,
p454_l29_o11,08r,lucꝰ,nemora silua,S22,F2,,,
p454_l30_o01,08r,arceo,uello,S22,F2,,,
p454_l30_o02,08r,arcus,ab arcendo,S54,F3,,,
p454_l30_o03,08r,metuo, aciđt,S42,F2,,,
p454_l30_o09,08r,multiscius,multa sciens,S24,F3,,,
p454_l30_o10,08r,inscius,noscius,S22,F2,,,
p454_l31_o01,08r,p̃scius,antescius,S22,F2,,,
p454_l31_o03,08r,refluus,retro currens,S23,F3,,,
p454_l31_o07,08r,inuideo,ꝗ fert inuidiã,S54,F2,,,
p454_l31_o10,08r,ꝓfugus,porro fugatus,S24,F2,,,
p454_l32_o03,08v,luctificus,luctũ faciens,S23,F3,,,
p454_l32_o04,08v,terrificus,t̃rore m̃ fatiens,S23,F3,,,
p454_l32_o06,08v,beneficus,fatiens bene,S23,F3,,,
p454_l32_o08,08v,ueneficus,tentator ł seductor,S22,F3,,,
p454_l33_o03,08v,fatidicus,diuͥnꝰ,S22,F2,,,
p454_l33_o09,08v,beneuolus,ꝗ bene uult ,S23,F4,,,
p454_l33_o10,08v,maliuolus,inuiđ,S22,F2,,,
p455_l01_o09,08v,naufragus,ꝗ cađ de naue,S23,F4,,,
p455_l02_o11,08v,uadũ,locus in fluminib;,S23,F3,,,
p455_l03_o03,08v,uadis,fideiussor,S22,F2,,,
p455_l03_o05,08v,scalprum,ab incidendũ,S23,F3,,,
p455_l03_o07,08v,fulcrũ,ornamentũ lecti,S23,F3,,,
p455_l03_o09,08v,iugũ,a iugendo,S54,F3,,,
p455_l05_o08,08v,rara,pauca,S22,F2,,,
p455_l06_o04,08v,inceptiuã,inchoatiuam,S22,F2,,,
p455_l07_o04,08v,clausulã,t̃minacione,S22,F2,,,
p455_l09_o13,08v,cornicen,cornu carens,S24,F3,,,
p455_l09_o14,08v,liticen,lituo canens,S24,F3,,,
p455_l09_o15,08v,tibicen,musatores,S22,F2,,,
p455_l10_o05,08v,compos,sotius siue effector uotiui,S22,F3,,,
p455_l10_o08,08v,auxpex,inspector auiũ aurator,S23,F3,,,
p455_l11_o01,08v,opifex,adiutoriũ fatiens,S23,F3,,,
p455_l11_o06,08v,auceps,aues capiens,S54,F3,,,
p455_l11_o09,08v,obex,oppositio,S22,F2,,,
p455_l12_o01,08v,p̃ses,ꝗ alios excellit,S23,F4,,,
p455_l12_o03,08v,deses,stultꝰ inconstans desidios,S22,F2,,,
p455_l12_o07,08v,quies,reꝗes,S22,F2,,,
p455_l15_o05,08v,in tor in trix,ł,S611,F1,,,
p455_l17_o04,08v,diriuationibus,,,,(sdr) hoc ẽ in diriuatiuis nominib;,S53,F4
p455_l18_o03,08v,mutatione,ꝑẽuersionẽ,S22,F2,,,
p455_l18_o10,09r,orac[ulũ],responsũ diuinũ,S22,F3,,,
p455_l19_o02,09r,ꝓpugnanculũ,torris ubi pugnatiũ,S23,F3,,,
p455_l19_o03,09r,fundamentum,s̃ stabilitas dοmoru,S23,F3,,,
p455_l19_o05,09r,sacram̃tũ,secretũ ł ocrultũ / ⁊ iuramentũ,S22,F3,,,
p455_l19_o06,09r,munimentũ,ꝓtectio ł tutela / scutũ,S22,F3,,,
p455_l20_o01,09r,alimentũ,cib; qualiscũq; /pabulũ,S22,F3,,,
p455_l20_o02,09r,incrementũ,aum̃tũ increm̃tũ,S22,F3,,,
F09r_l04_o02,09r,numen ,potestas diuina,S23,F2,,,
p455_l20_o03,09r,solamen,Solatiũ / auxiliũ,S22,F3,,,
p455_l20_o04,09r,foramen,tenebracio aliqͣ,S22,F2,,,
p455_l20_o05,09r,purgamen,purificatio,S22,F2,,,
p455_l20_o06,09r,fl[amen],[sa]cerdotũ iouis significat,S554,F4,,,
p455_l21_o01,09r,liquamen,res humida ◌͛ humida res,S22,F3,,,
p455_l21_o02,09r,certamen,pugnam̃ ,S22,F2,,,
p455_l21_o03,09r,agmen,pugna,S22,F2,,,
p455_l21_o04,09r,fragmen,mole,S22,F2,,,
f09r_l06_o01,09r,linimen,aliqua unctura,S23,F3,,,
p455_l21_o07,09r,flumen,aqͣ currens,S23,F3,,,
p455_l22_o02,09r,amabilis,dignꝰ amore,S23,F3,,,
p455_l22_o04,09r,laudabilis,dignꝰ laude,S23,F3,,,
p455_l22_o08,09r,mobilis,ꝗ motũ patitur,S23,F3,,,
p455_l27_o10,09r,probatio,exa,S22,F2,,,
p455_l28_o06,09r,equatio,p̃portio,S22,F2,,,
p455_l29_o01,09r,exhibitio,adtributio,S22,F2,,,
p455_l28_o07,09r,obseruatio,custodia,S22,F2,,,
p455_l28_o03,09r,obiurgatio,increpatio,S22,F2,,,
p455_l29_o07,09r,bellator,seruat᷑,S22,F2,,,
p455_l30_o02,09r,fultor,sustentator,S22,F2,,,
p455_l30_o03,09r,fultrix,adminiculatrix,S22,F2,,,
p455_l30_o04,09r,victor,discipuli,S22,F2,,,
p455_l30_o06,09r,petitor,a petendo,S54,F3,,,
p456_l01_o03,09r,eo,ipsũ documentũ  ,S3232,F3,,,
p456_l01_o04,09r,doctrina,sapientia,S22,F2,,,
p456_l01_o05,09r,tonsor,ꝗ aliꝗd tondit,S54,F4,,,
p456_l01_o07,09r,tonstrina,ipsa res ł domus,S23,F3,,,
p456_l01_o010,09r,textrina,offitiale nom̃,S222,F3,,,
p456_l02_o01,09r,optatiuus,desideratiuus,S22,F2,,,
p456_l02_o04,09r,subtilitiuus,subiectiuus,S22,F2,,,
p456_l03_o13,09r,mutatione,c̃uersione,S22,F2,,,
p456_l04_o08,09r,uisio,ꝑspicuitas,S22,F2,,,
p456_l05_o02,09v,iussor,ꝗ imperit,S23,F4,,,
p456_l05_o03,09v,suasor,adortator,S22,F2,,,
p456_l05_o05,09v,pransor,epulator,S22,F2,,,
p456_l05_o09,09v,lusor,ioculatores,S22,F2,,,
p456_l05_o10,09v,uisibilis,que uidet᷑,S23,F4,,,
p456_l06_o01,09v,plausibilis,ꝑuissibilis,S22,F2,,,
f09v_l03_o01,09v,passibilis,mutabilis,S22,F2,,,
p456_l06_o02,09v,sensibilis,ꝗ potest sentiri,S23,F4,,,
p456_l06_o03,09v,missibilis,aptis ad mittendũ ,S23,F3,,,
p456_l06_o05,09v,flatilis,qui◌̾ sub÷ flabilis ł inanis,S23,F3,,,
p456_l06_o06,09v,fictilis,cõpossibilis,S22,F2,,,
p456_l06_o08,09v,altilis,++++ ł saginatus,S22,F2,,,
p456_l06_o10,09v,scriptilis,abilis ad scribendũ ,S23,F3,,,
p456_l07_o01,09v,tortilis,funis,S22,F2,,,
p456_l07_o04,09v,aduectitius,deportatitius,S22,F2,,,
p456_l07_o05,09v,commentatitius,excogitatiuus ł argum̃tatiuus,S22,F3,,,
p456_l08_o03,09v,statio,ipsa res,S22,F2,,,
p456_l08_o09,09v,cedo,diuido,S22,F2,,,
p456_l10_o09,09v,rupes,saxe,S22,F2,,,
p456_l10_o10,09v,ambigo,dubito,S22,F2,,,
p456_l10_o11,09v,ambages,dubietates,S22,F2,,,
p456_l13_o03,09v,diriuatiue, dct̃r᷑ a uerƀ,S521,F4,,,
p456_l14_o03,09v,amandus,dignꝰ amari,S23,F3,,,
p456_l16_o06-07,09v,in accidentib; ,in adiectiuis,S22,F3,,,
p456_l17_o04,09v,uocabulis,nominib;,S22,F2,,,
p456_l18_o03,09v,pictura,immago,S22,F2,,,
p456_l18_o07,09v,censura,res ad iudicatio,S23,F2,,,
p456_l18_o05,09v,litura,linitio,S22,F2,,,
p456_l20_o07,09v,adminiculo,ausilio,S22,F2,,,
p456_l20_o08,09v,repperire,inuenire,S22,F2,,,
p456_l32_o02,10r,contentus,suffitiens,S22,F2,,,
p456_l33_o07,10r,temtabo,p,S611,F1,,,
p456_l36_o09,10r,ostendere,manifestare,S22,F2,,,
p457_l04_o06,10v,mere,iđ pure,S22,F2,,,
p457_l05_o03,10v,nomibus,ni,S611,F1,,,
p457_l05_o05,10v,propriis,,,,++++modi uerbis +propriis,S53,F4
p457_l06_o10,10v,accidentibus,ĩadiectiuis,S22,F3,,,
p457_l08_o02,10v,superuacua,suꝑflua,S22,F2,,,
p457_l08_o04,10v,traductio,deriuacio,S22,F2,,,
p457_l10_o03,10v,clementia,misericordia,S22,F2,,,
f10v_l09_o03,10v,dementia,insania,S22,F2,,,
p457_l10_o04,10v,sollertia,prudentia sagacitas,S22,F3,,,
p457_l10_o05,10v,inertia,pigritia ł stultitia,S22,F2,,,
p457_l11_o03,10v,acredo ,acerbitas,S22,F2,,,
p457_l11_o06,10v,seueritas,crudelitas,S22,F2,,,
f10v_l12_o01,10v,hospitalitas,receptio hospitũ,S23,F3,,,
p457_l12_o01,10v,paupertas,egestas,S22,F2,,,
p457_l14_o08,10v,pene, ñ õnes,S521,F3,,,
p457_l15_o05,10v,turba,cont᷑bacio,S22,F2,,,
p457_l16_o06,10v,predor,deponens uasto,S331,F3,,,
p457_l16_o09,10v,fuga ,dr̃ fugitiuus,S22,F3,,,
p457_l16_o10,10v,fugo,repẽllo ac,S22,F2,,,
p457_l17_o02,10v,stillo,defluo,S22,F2,,,
p457_l17_o05,10v,stipulor,int̃rogo ł inꝗro spondeo,S22,F3,,,
p457_l18_o02,10v,trutina,libra eꝗ lanx,S23,F3,,,
p457_l18_o03,10v,trutino,equo,S22,F2,,,
p457_l18_o04,10v,machina,instrum̃tũ qđcũq; p̃paratũ ad insidias,S23,F4,,,
p457_l18_o05,10v,machinor,molior fraudẽ g̃ deponens,S23,F3,,,
p457_l18_o07,10v,pugna,p̃liũ aliqđ,S22,F3,,,
p457_l19_o02,10v,nundine,mercata pubica,S23,F3,,,
p457_l19_o03,10v,nundinor,mercator,S22,F2,,,
p457_l20_o01,10v,aquor,aquã deportor,S23,F3,,,
p457_l20_o05,10v,moror,tardo,S22,F2,,,
p457_l20_o06,10v,moras,tardas,S22,F2,,,
p457_l20_o07,10v,quadra,qͣsi diuido,S22,F2,,,
p457_l20_o08,10v,quadror,quadruplo,S22,F2,,,
p457_l20_o10,10v,cura,mundata,S22,F2,,,
p457_l20_o11,10v,curo,expio,S22,F2,,,
p457_l21_o04,10v,causor,testor,S22,F2,,,
p457_l21_o09,10v,roto,uoluo,S22,F2,,,
p457_l21_o11,11r,multo,uindico punio,S22,F2,,,
p457_l22_o03,11r,rixo,obiurgo,S22,F2,,,
p457_l22_o05,11r,lixa,ł aqua/mercenarius,S22,F3,,,
p457_l22_o06,11r,elixo,aliꝗd aq(uor ?)/c̃tendo,S23,F3,,,
p457_l23_o01,11r,bacha,lauriẽ ,S22,F2,,,
p457_l23_o02,11r,bachor,ł idem stomachorł irascor,S22,F2,,,
p457_l26_o07,11r,prob;,idoneus strenuus sagax,S22,F2,,,
p457_l26_o11,11r,opacus,spissus ũbrosus ,S22,F2,,,
p457_l27_o01,11r,opaco,denseo,S22,F2,,,
p457_l27_o04,11r,amico,amititias cõpono,S23,F3,,,
p457_l27_o07,11r,nudus,discooꝑtꝰ,S22,F2,,,
p457_l27_o10,11r,fedus,turpis ,S22,F2,,,
p457_l28_o01,11r,foedo,amiciciã sig̃ne,S23,F3,,,
p457_l28_o04,11r,uagus,instans,S22,F2,,,
p457_l28_o09,11r,pio,purgo,S22,F2,,,
p457_l30_o06,11r,serenus,tranquillus,S22,F2,,,
p457_l30_o09,11r,uno,ad(uno)/c̃grego ,S22,F2,,,
p457_l30_o10,11r,unas,ad,S611,F1,,,
p457_l31_o02,11r,hibernus,dr̃ ultima pars hiemis,S23,F4,,,
p457_l31_o05,11r,crispus,c̃cussus,S22,F2,,,
p457_l32_o03,11r,obliquus,c̃tortus,S22,F2,,,
p457_l32_o04,11r,obliquo,,,,,,
p457_l33_o02,11r,ignarus,inscius,S22,F2,,,
p457_l33_o06,11r,lassus,fatigatus,S22,F2,,,
p457_l33_o11,11r,dilato,ãplifico,S22,F2,,,
p457_l34_o02,11r,letor,exulto,S22,F2,,,
p457_l34_o04,11r,aptus,cõtus,S22,F2,,,
p457_l34_o05,11r,apto,c̃iungo assotio,S22,F3,,,
p457_l34_o07,11r,sollicitus,curiosus,S22,F2,,,
p457_l34_o08,11r,sollicito,curã ago,S22,F2,,,
p457_l35_o01,11r,cruentus,atrox crudelus,S22,F2,,,
p457_l35_o02,11r,cruento,asꝑgo ł lacero,S22,F3,,,
p457_l35_o05,11r,laxus,ñ bene c̃iuntus,S23,F3,,,
p457_l35_o06,11r,laxo,relinquo,S22,F2,,,
p457_l35_o09,11r,uiduus,quasi diuisus/a muliere,S23,F3,,,
p458_l01_o05,11r,fixis,dr̃ stabilis,S22,F4,,,
p458_l02_o10,11r,stimulo,pungo,S22,F2,,,
p458_l03_o06,11r,terminus,finis meta,S22,F3,,,
p458_l03_o07,11r,termino,finẽ fatio,S54,F4,,,
p458_l02_o02,11r,grecor,more grecorũ ago,S23,F4,,,
p458_l02_o05,11r,uulgus,multitudo ho/minum,S23,F3,,,
p458_l02_o06,11r,uulgo,manifesto,S22,F2,,,
p458_l03_o10,11r,perenno,toto anno inopere persisto,S23,F4,,,
p458_l03_o03,11r,sono,resono,S22,F2,,,
p458_l04_o07,11r,numero,cõputo,S22,F2,,,
p458_l05_o07,11r,stomachor,irascor /ł  insanio,S22,F3,,,
p458_l06_o06,11r,libũ,sacrificͥũ,S22,F2,,,
p458_l06_o11,11r,uelo,cooperio,S22,F2,,,
p458_l06_o13,11r,colum,ubi lac mundatur,S23,F4,,,
p458_l07_o06,11v,peculiũ,pro onum substantia ponitur,S23,F4,,,
p458_l07_o07,11v,peculior,peculiã aufero,S23,F4,,,
p458_l08_o09,11v,armo,accingo,S22,F2,,,
p458_l08_o12,11v,stagnũ,aqua q; ñ decurritur,S23,F4,,,
p458_l11_o03,11v,liber,ingenuus,S22,F2,,,
p458_l11_o04,11v,libero,eripio,S22,F2,,,
p458_l11_o06,11v,sacer,sc̃r,S22,F2,,,
p458_l11_o07,11v,sacro,scĩfico,S22,F2,,,
p458_l11_o11,11v,peragro,incedo,S22,F2,,,
p458_l12_o02,11v,integro,perfitio,S22,F2,,,
p458_l12_o04,11v,miser,infelix,S22,F2,,,
p458_l12_o05,11v,miseror,acõ,S22,F2,,,
p458_l14_o01,11v,saturo,satio,S22,F2,,,
p458_l13_o06,11v,minister,Cp  ł minor sit in stacione,S23,F4,,,
p458_l16_o01,11v,obseruatis,consideratis,S22,F2,,,
p458_l17_o05,11v,contio,coadunatio,S22,F2,,,
p458_l17_o07,11v,contionor,multitudini alloquor,S23,F3,,,
p458_l17_o08,11v,ordo,dispositio,S22,F2,,,
p458_l18_o01,11v,ordino,dispono,S22,F2,,,
p458_l19_o13,11v,exulo,extra solũ eitio,S54,F3,,,
p458_l21_o05,11v,uber,habundans,S22,F2,,,
p458_l21_o06,11v,ubero, abundo,S22,F2,,,
p458_l21_o08,11v,agger,tumultus,S22,F2,,,
p458_l21_o09,11v,agero, c̃grego,S22,F2,,,
p458_l23_o09,11v,robur,fortitudo,S22,F2,,,
p458_l23_o10,11v,roboro,c̃firmo,S22,F2,,,
p458_l24_o05,11v,murmur,tumultus,S22,F2,,,
p458_l24_o07,11v,augur,auguriator,S22,F2,,,
p458_l25_o06,11v,nugas,uanꝰ / ł inutilis /recedens a lege,S23,F3,,,
p458_l25_o08,11v,nugor,efecero desitio de(cur)so,S22,F3,,,
p458_l26_o01,11v,uas ,fideiussor,S22,F2,,,
p458_l26_o03,11v,uador,uadiũ do,S54,F4,,,
p458_l26_o07,11v,aries,aliquantã machinã,S222,F3,,,
p458_l26_o08,11v,arieto,more arietis ago,S23,F4,,,
p458_l27_o01,11v,comes,sotius,S22,F2,,,
p458_l27_o02,11v,comitor,simul /tecũ ꝑergo,S23,F3,,,
p458_l27_o04,11v,sedes,quies,S22,F2,,,
p458_l27_o05,11v,sedo,pacifico,S22,F2,,,
p458_l27_o07,11v,locuples,diues copios,S22,F2,,,
p458_l27_o08,11v,locuplo,habundo,S22,F2,,,
p458_l28_o04,12r,heredo,hereditatẽ aufero,S54,F3,,,
p458_l28_o10,12r,turpo,fodo deformo,S22,F3,,,
p458_l29_o02,12r,tenuis,gracilis,S22,F2,,,
p458_l29_o03,12r,tenuo,minuo,S22,F2,,,
p458_l29_o05,12r,tristis,Dolens / mestus,S22,F3,,,
p458_l29_o09,12r,testor,confirmo,S22,F2,,,
p458_l30_o05,12r,orao,precor,S22,F2,,,
p458_l30_o09,12r,roro,inrigo /ł irore ꝑfundo,S23,F3,,,
p458_l30_o13,12r,doto,humefacto,S22,F2,,,
