lemma_id,folio,lemma,gloss,gloss_type,gloss_form,marginal_note_text,marginal_type,marginal_form
p448_l27_o08,03r,consentientib;,c̃cordantib;,S22,F2,,,
p448_l28_o02,03r,ebesco ,fadt᷑dr̃,S22,F2,,,
p448_l28_o04,03r,pertimesco,ualde timere incipio ,S23,F4,,,
p448_l28_o05,03r,euanesco,deficio,S22,F2,,,
p449_l01_o01,03r,patesco,aperire incip{io},S23,F3,,,
p449_l01_o02,03r,notesco,notꝰ fieri iñpio,S23,F3,,,
p449_l01_o04,03r,labasco,ruere,S22,F2,,,
p449_l02_o04,03r,glisco,cresco,S22,F2,,,
p449_l04_o01,03r,micturio,mingere /meditor,S22,F3,,,
p449_l04_o02,03r,esurio,manducare,S22,F2,,,
p449_l05_o08,03r,p̃cedente ,antecedente,S22,F2,,,
p449_l07_o01,03r,lectito,frequent̃ lego,S23,F3,,,
p449_l07_o02,03r,dictito ,frequent̃ dico,S23,F3,,,
p449_l07_o03,03r,cantito,frequent̃ cano,S23,F3,,,
p449_l07_o04,03r,cursito,frequent̃curso,S23,F3,,,
p449_l07_o05,03r,uisito,frequent̃ uideo,S23,F3,,,
p449_l07_o08,03r,merso ,frequent̃ mergo,S23,F3,,,
p449_l07_o10,03r,nexo,frequent̃ necto,S23,F3,,,
p449_l07_o11,03r,uiso ,desidero uidere,S23,F3,,,
p449_l08_o03,03r,qđ,uerbũ,S3232,F2,,,
p449_l08_o12,03r,inuisitis,desideratas aras uidere,S22,F4,,,
p449_l09_o04,03r,eodẽ ,s libro,S3232,F2,,,
p449_l10_o03,03r,gelidos,allidos /frigidos,S22,F3,,,
p449_l14_o09,03r,seruare,custodit,S22,F2,,,
p449_l15_o08,03r,anomala,inequalia,S22,F2,,,
p449_l16_o01,03r,defectiua,qua deficiunt ꝑ modos,S23,F4,,,
p449_l16_o04,03r,inuenire,i,S611,F1,,,
p449_l17_o02,03r,differentiis ,arbitror,,F2,,,
p449_l17_o03,03r,arbitror,estimor,S22,F2,,,
p449_l17_o05,03r,discerni,diuidi,S22,F2,,,
p449_l18_o01,03r,fatilior,leuior,S22,F2,,,
p449_l18_o03,03r,obseruatio,s regula,S22,F2,,,
p449_l18_o06,03r,Tres,s̃ a .or. c̃sonanctb;,S53,F3,,,
p449_l19_o13,03v,penitus ,uidelicet omnino.,S22,F3,,,
p449_l20_o02,03v,inuenitur,reperit᷑,S22,F2,,,
p449_l20_o06,03v,reboo,ĩ resono.,S22,F2,,,
p449_l22_o06,03v,reboantq;,&  resonant,S22,F2,,,
p449_l22_o10,03v,olimpus,nom̃ montis ẽ,S554,F3,,,
p449_l23_o02,03v,inchoo,incipio,S22,F2,,,
p449_l23_o06,03v,axoo,ch,S611,F2,,,
p449_l23_o09,03v,traductum,d,S611,F1,,,
p449_l25_o04,03v,(add),ueteres,S611,F2,,,
p449_l26_o02,03v,sola,coniugatio,S3232,F2,,,
p449_l26_o11,03v,aliae,+++ c̃. uix,S611,F3,,,
p449_l27_o03-04,03v,quo modo,sic̃,S22,F2,,,
p449_l28_o05,03v,secunda,s c̃iugatio,S53,F2,,,
p449_l29_o01,03v,spetialẽ,ꝓpͥã,S22,F2,,,
p449_l30_o04,03v,taceo,sileo,S22,F2,,,
p449_l30_o09,03v,maneo,habito,S22,F2,,,
p449_l30_o10,03v,stupeo,ãmiror,S22,F2,,,
f03v_l16_o02,03v,squaleo ,sordeo,S22,F2,,,
p449_l30_o11,03v,areo ,sicor,S22,F2,,,
p449_l31_o01,03v,censeo,iudico,S22,F2,,,
f03v_l16_o04,03v,candeo,splendeo ,S22,F2,,,
f03v_l16_o05,03v,doleo,lugeo,S22,F2,,,
p449_l31_o02,03v,pateo,aperio,S22,F2,,,
p449_l31_o04,03v,eodeq ;,&ipso,S22,F2,,,
