folio,lemma_id,lemma,gloss_id,gloss,gloss_type,gloss_form,marginal_note_id,marginal_note_type,marginal_note_form
73r,p447_l08_o06,itaq ,p447_l08_o06_a,.s.  ĩponit᷑ pręceptorib; necessitas respondendi a discipuł /  necessitas inexcusibilis ẽ :,S35,F5,,,
73r,p447_l08_o07,petitonib; ,p447_l08_o07_a,postulationib;,S22,F2,,,
73r,p447_l08_o08,satisfaciens ,p447_l08_o08_a,oboediens et sacis facere uolens,S23,F3,,,
73r,p447_l09_o03,dilectissime ,p447_l09_o03_a,studiosissime ꝗ es diligentissimꝰ,S22,F3,,,
73r,p447_l09_o05,CRATERE ,p447_l09_o05_a,ꝓpͥũ nom̃,S553,F3,,,
73r,p447_l09_o06,quem ,p447_l09_o06_a,.i. te,S53,F2,,,
73r,p447_l10_o01,facundia ,p447_l10_o01_a,÷ eloquentia lepore,S22,F3,p447_l10_o01_b,S54,F5
73r,p447_l10_o03,ęquiperantem ,p447_l10_o03_a,coęquantẽ,S22,F2,,,
73r,p447_l10_o04,maiores ,p447_l10_o04_a,assimilantẽ pͥores / ⁊ presequentes meliores,S22,F4,,,
73r,p447_l10_o06,sapientia ,p447_l10_o06_a,in doctrina,S22,F2,,,
73r,p447_l11_o01,excellentes ,p447_l11_o01_a,s. illos maiores / superantes eminentes,S22,F3,,,
73r,p447_l11_o04,doctrina ,p447_l11_o04_a,s. in oꝑũ,S22,F2,,,
73r,p447_l11_o05,superauisse ,p447_l11_o05_a,.s. te uicisse,S42,F3,,,
73r,p447_l11_o06,romana ,p447_l11_o06_a,÷ latina,S22,F2,,,
73r,p447_l11_o07,opusculum ,p447_l11_o07_a,paruũ opꝰ ł libellũ hunc,S23,F4,,,
73r,p447_l12_o02,discernendas ,p447_l12_o02_a,distinguendas separandas,S22,F3,,,
73r,p447_l12_o08,inclusi ,p447_l12_o08_a,ꝑstrinxi consũmaui cõp̃henid,S22,F3,,,
73r,p447_l12_o09,Quorum ,p447_l12_o09_a,.s. librorũ,S3232,F2,,,
73r,p447_l13_o01,prior ,p447_l13_o01_a,.s. lib̶,S3232,F2,,,
73r,p447_l13_o02,obseruationib; ,p447_l13_o02_a,regulis,S22,F2,,,
73r,p447_l13_o03,instruit᷑ ,p447_l13_o03_a,ordinat᷑ et disponit᷑,S22,F3,,,
73r,p447_l13_o04,generalib ,p447_l13_o04_a,cõmunib,S22,F2,,,
73r,p447_l13_o06,inditio ,p447_l13_o06_a,signo Agnitione :,S22,F3,,,
73r,p447_l13_o07,finalitatis ,p447_l13_o07_a,t̃minationis,S22,F2,,,
73r,p447_l14_o01,spetiales ,p447_l14_o01_a,singulares & ꝓpͥas,S22,F3,,,
73r,p447_l14_o02,exequit᷑ ,p447_l14_o02_a,÷ cseqͥt᷑  ualde seqͥt᷑ contin&,S23,F3,p447_l14_o02_b,S4181,F5
73r,p447_l01_o00,EVTICII ,p447_l01_o00_a,Eutex euticis. Inde euticius eutici,S54,F3,,,
73r,p447_l17_o02,QUIDEM ,p447_l17_o02_a,causa ł c̃iunctio,S35,F3,,,
73r,p447_l17_o08,VNA ,p447_l17_o08_a,ꝓ pͥma ponit᷑,S53,F4,p447_l17_o08_b,S53,F5
73r,p447_l18_o01,CARENS ,p447_l18_o01_a,÷ caret ac/centu in fine,S23,F4,,,
73r,p447_l18_o05,ΒΑΡΙΤΟΝΑ ,p447_l18_o05_a,grauisona,S211,F2,,,
73r,p447_l18_o07,eis ,p447_l18_o07_a,.s. grecis,S3232,F2,,,
73r,p447_l18_o09,Quę ,p447_l18_o09_a,in pͥma spetie c̃tinent᷑ .VI. c̃iugationes carentes accentu in fine :,S53,F4,,,
73r,p448_l01_o06,sex ,p448_l01_o06_a,.s. speties coniugationũ,S53,F3,,,
73r,p448_l01_o08,significat ,p448_l01_o08_a,declarat / demonstrat,S22,F3,,,
73r,p448_l01_o09,Alia ,p448_l01_o09_a,ẽ alia scđa ponit᷑ : scđa dr̃  seꝗt᷑ tertia : / ꝓnom̃ ordinis,S53,F4,,,
73r,p448_l02_o04,ꝓlata  ,p448_l02_o04_a,narrata / ꝓnuntiata / enuntiata,S22,F3,,,
73r,p448_l02_o06,eos ,p448_l02_o06_a,÷ grecos,S3232,F2,,,
73r,p448_l02_o07,iure ,p448_l02_o07_a,lege,S22,F2,,,
73r,p448_l02_o08,ΠΕΡΙCΠΩΜΕΝΗ ,p448_l02_o08_a,cirũflexibils; ΠΕΡΙCΠΩ ÷ circũfleto/ΠΕΡΙ dr̃ circũ unde perispomę / ne circũflexis accentꝰ,S211,F4,,,
73r,p448_l03_o09,trium ,p448_l03_o09_a,"In scđa spetiẽ c̃iunct᷑ tres coniugationes circũflectentes in fine : / quãuis ap̃ quesdã in paucis uerb̶ inue/niatur
                        quarta :",S53,F4,p448_l03_o09_b,S53,F5
73r,p448_l04_o01,ostendit ,p448_l04_o01_a,manifestat,S22,F2,,,
73r,p448_l04_o03,tertia ,p448_l04_o03_a,.s. species coniugationũ,S53,F3,,,
73r,p448_l04_o10,desinentẽ ,p448_l04_o10_a,finientem; ista t̃tia speties uocat᷑ .ω. desinens,S53,F4,,,
73r,p448_l04_o11,dicunt ,p448_l04_o11_a,.s. ipsi greci : in multis enĩ reguł : obseruationes gre / corũ seruamus : et in multis caremꝰ,S53,F4,,,
73r,p448_l05_o01,Licet ,p448_l05_o01_a,÷ quãuis,S22,F2,,,
73r,p448_l05_o05,quartã ,p448_l05_o05_a,.s. in scđa spetie,S53,F3,,,
73r,p448_l05_o06,habeant ,p448_l05_o06_a,greci,S53,F2,,,
73r,p448_l06_o02,aliis ,p448_l06_o02_a,.s. regulis,S3232,F2,,,
73r,p448_l06_o05,ꝓrsus ,p448_l06_o05_a,certe om̃ino,S22,F3,,,
73r,p448_l07_o01,inditia ,p448_l07_o01_a,signa,S22,F2,p448_l07_o01_b,S53,F5
73r,p448_l07_o03,iterum ,p448_l07_o03_a,.s. uident᷑,S53,F2,,,
73r,p448_l07_o04,carere ,p448_l07_o04_a,ñ habere,S23,F3,,,
73r,p448_l07_o06,om̃ib; ,p448_l07_o06_a,inditiis,S53,F2,,,
73r,p448_l07_o05,penitus ,p448_l07_o05_a,funditꝰ ꝑietũ,S23,F3,,,
73r,p448_l08_o01,ex parte ,,,,,p448_l08_o01_b,S53,F5
73r,p448_l08_o02,uident᷑ ,p448_l08_o02_a,.s. latini,S53,F2,,,
73r,p448_l08_o03,imitari ,p448_l08_o03_a,seqͥ assimilari,S22,F3,,,
73r,p448_l08_o05,terminalem ,p448_l08_o05_a,finalem,S22,F2,,,
73r,p448_l08_o08-09,in plerisq ,p448_l08_o08-09_a,in aliqͥb;,S22,F2,,,
73r,p448_l09_o01,Cumq; ,p448_l09_o01_a,.s. etsi sint,S23,F3,,,
73v,p448_l09_o07-08,natura romanę ,p448_l09_o07-08_a,ꝑ natura latinę,S22,F3,,,
73v,p448_l10_o04,tenore ,p448_l10_o04_a,accentu,S22,F2,,,
73v,p448_l10_o05,ꝓrsus ,p448_l10_o05_a,om̃ino penitꝰ,S22,F3,,,
73v,p448_l10_o08,carentia. ,p448_l10_o08_a,ñ habent ipsa ũba,S53,F4,,,
73v,p448_l11_o01,circũflexorũ ,p448_l11_o01_a,ΠΕΡΙCΠΟMENORṼ,S211,F2,,,
73v,p448_l11_o02,carent. ,p448_l11_o02_a,ñ hñt s hnt : / .s. ipsa uerba,S53,F4,,,
73v,p448_l12_o01,(add) ,p448_l12_o01_a,ordinẽ,S611,F2,,,
73v,p448_l12_o02,ostendentia. ,p448_l12_o02_a,manifestantia / .s. ipsa uerba,S22,F2,,,
73v,p448_l13_o01,terminalis ,p448_l13_o01_a,finalis,S22,F2,,,
73v,p448_l13_o03,qua ,p448_l13_o03_a,s̃ obseruatione scđę ꝑsonę,S3232,F3,,,
73v,p448_l13_o04,dinosci ,p448_l13_o04_a,cognosci / intellegi,S22,F3,,,
73v,p448_l13_o06-07,artium scriptores ,p448_l13_o06-07_a,÷ artigraphi / grammaticę artis auctores,S23,F3,,,
73v,p448_l14_o01,romanos ,p448_l14_o01_a,latinos,S22,F2,,,
73v,p448_l14_o02,penitꝰ ,p448_l14_o02_a,Radicitꝰ,S22,F2,,,
73v,p448_l14_o04,incerta ,p448_l14_o04_a,dubia,S22,F2,,,
73v,p448_l14_o08,cogimur ,p448_l14_o08_a,cõpellim᷑ s. nisi ueniamꝰ,S22,F3,,,
73v,p448_l14_o10,scribo ,p448_l14_o10_a,ad primã ꝑsonã : melius enĩ cognoscit᷑ ꝑ pͥmã ꝑsonã scđa : ꝙ ꝑ scđam pͥma quãuis utrisq sit auctoritas :,S53,F5,,,
73v,p448_l15_o02,tertię ,p448_l15_o02_a,.s. c̃iuguationis,S53,F2,,,
73v,p448_l15_o06,primę ,p448_l15_o06_a,.s.c̃iugat̃,S53,F2,,,
73v,p448_l16_o05,Conabor ,p448_l16_o05_a,tẽptabo,S22,F2,,,
73v,p448_l16_o09,possim ,p448_l16_o09_a,c̃iunctuius modus,S333,F3,,,
73v,p448_l17_o03,quasdã ,p448_l17_o03_a,aliquis,S22,F2,,,
73v,p448_l17_o04,ostendere. ,p448_l17_o04_a,manifestare,S22,F2,,,
73v,p448_l18_o06,positionis ,p448_l18_o06_a,÷ pͥmę ꝑsonę,S53,F3,,,
73v,p448_l18_o08,considerans ,p448_l18_o08_a,inspiciens: c̃spi/ciens. ꝑ pendens : qualit̃ cõnabor,S22,F2,,,
73v,p448_l18_o09,Notatis ,p448_l18_o09_a,segregatis signatis manifestatis,S22,F3,p448_l18_o09_b,S24,F4
73v,p448_l18_o10,scilet  ,p448_l18_o10_a,scire licet,S25,F3,,,
73v,p448_l19_o01,anomalis ,p448_l19_o01_a,inęqualib; / s. uerbis,S22,F2,p448_l19_o01_b,S22,F4
73v,p448_l19_o03,defectiuis ,p448_l19_o03_a,qͣ deficiunt / .s. uerbis,S23,F3,,,
73v,p448_l19_o06,plerũq ,p448_l19_o06_a,sepe sedulo,S22,F3,p448_l19_o06_b,S53,F5
73v,p448_l19_o07,ratio ,p448_l19_o07_a,regula,S22,F2,p448_l19_o07_b,S53,F5
73v,p448_l19_o10,analogię ,p448_l19_o10_a,similium ł con ratio/nalitatis,S22,F3,p448_l19_o10_b,S23,F5
73v,p448_l20_o01,sũ ,,,,,p448_l20_o01_b,S4181,F5
73v,p448_l20_o02,prosum ,p448_l20_o02_a,ꝓfitio,S22,F2,,,
73v,p448_l20_o03,inquã ,p448_l20_o03_a,dixi dico,S22,F2,,,
73v,p448_l20_o04,cędo ,p448_l20_o04_a,ꝑcutio,S22,F2,p448_l20_o04_b,S13,F5
73v,p448_l20_o05,Edo ,p448_l20_o05_a,manduco,S22,F2,p448_l20_o05_b,S5,F5
73v,p448_l20_o06,Faxo ,p448_l20_o06_a,facio ł illumino,S22,F3,,,
73v,p448_l20_o07,Sodes ,p448_l20_o07_a,si audes,S25,F3,,,
73v,p448_l20_o08,Aue ,p448_l20_o08_a,salue,S22,F2,,,
73v,p448_l20_o09,Ferit ,p448_l20_o09_a,ꝑcutit,S22,F2,p448_l20_o09_b,S5,F5
73v,p448_l20_o10,Infit ,p448_l20_o10_a,inꝗd,S22,F2,,,
73v,p448_l20_o12,his similib; ,p448_l20_o12_a,dat̃,S3114,F2,,,
73v,p448_l20_o13,Lic& ,p448_l20_o13_a,quãuis,S22,F2,,,
73v,p448_l21_o02,his ,p448_l21_o02_a,anomalib;,S3232,F2,,,
73v,p448_l21_o04,quędã ,p448_l21_o04_a,s.  in .o. / desinunt sic̃ / & illa,S3232,F4,,,
73v,p448_l22_o03,oboedire ,p448_l22_o03_a,parere / & requi,S22,F3,,,
73v,p448_l23_o08,generale ,p448_l23_o08_a,÷ generales regulas,S53,F3,,,
73v,p448_l24_o01-02,de hac ,p448_l24_o01-02_a,: de ista,S22,F3,,,
73v,p448_l24_o03,ambiguitate ,p448_l24_o03_a,dubietate,S22,F2,p448_l24_o03_b,S24,F3
73v,p448_l24_o05,diffinire  ,p448_l24_o05_a,narrare,S22,F2,,,
73v,p448_l24_o06,tẽptabo ,p448_l24_o06_a,conabor nitari  .s. de una ꝑfecta et trib; ĩꝑfectis :,S53,F4,p448_l24_o06_b,S53,F5
73v,p448_l24_o07,Qđ ,p448_l24_o07_a,ꝓ quia : s. tẽptabo illud definire generale : qđ inchoatiua ⁊rł,S53,F4,,,
73v,p448_l24_o08,inchoatiua  ,,,,,p448_l24_o08_a,S5,F5
73v,p448_l25_o08,tantummodo. ,p448_l25_o08_a,solũ modo,S22,F2,,,
73v,p448_l26_o12,tantũmodo ,p448_l26_o12_a,solũ modo,S22,F2,,,
73v,p448_l27_o04,ortographis ,p448_l27_o04_a,recti scriptorib artiũ / ł arti,S23,F3,,,
73v,p449_l28_o08,Horresco ,p449_l28_o08_a,incipio horrere ÷ timere,S23,F3,,,
73v,p449_l01_o03,Feruesco ,p449_l01_o03_a,incip̃ ebullire seu irasci,S23,F3,,,
73v,p449_l01_o06,Vesperasco ,p449_l01_o06_a,incip̃ obtenebrare,S23,F3,,,
73v,p449_l02_o02,Senesco ,p449_l02_o02_a,incip̃ senex eẽ,S23,F3,,,
73v,p449_l28_o03,Calesco ,p449_l28_o03_a,incip̃ caliđ eẽ,S23,F3,p449_l28_o03_b,S62,F5
73v,p448_l28_o06,Tremesco ,p449_l28_o06_a,inc̃ timere,S23,F3,p448_l28_o06_b,S23,F4
73v,p449_l01_o01,Patesco ,p449_l01_o01_a,inc̃ patere : inc̃ pateri,S23,F3,,,
73v,p449_l01_o04,Labasco ,p449_l01_o04_a,labare ÷ ruere,S23,F3,p449_l01_o04_b,S23,F4
73v,p449_l01_o07,Purpurasco ,p449_l01_o07_a,purpurare in / cipio,S23,F2,,,
73v,p449_l02_o03,Iuuenisco ,p449_l02_o03_a,inc̃ iuuenis eẽ,S23,F3,,,
73v,p448_l28_o04,Pertimesco ,p449_l28_o04_a,inc̃ ꝑtimere,S23,F3,,,
73v,p448_l28_o07,Terresco ,p449_l28_o07_a,inc̃ terrere,S23,F3,,,
73v,p449_l01_o02,Notesco ,p449_l01_o02_a,inc̃ notescere,S23,F3,p449_l01_o02_b,S23,F4
73v,p449_l02_o04,Glisco ,p449_l02_o04_a,÷ crescere,S23,F3,p449_l02_o04_b,S5,F5
73v,p449_l01_o05,Dormisco ,p449_l01_o05_a,÷ dormire,S23,F3,,,
73v,p449_l02_o01,Inueteresco ,p449_l02_o01_a,÷ ueterare,S23,F3,,,
73v,p448_l28_o02,Hebesco ,p448_l28_o02_a,hebes eẽ incipio,S23,F3,,,
73v,p448_l28_o03,Caluesco ,p448_l28_o03_a,inc̃ caluere,S23,F3,,,
73v,p448_l28_o05,Euanesco. ,p448_l28_o05_a,inc̃ euanere ł uacuare / ł uanus fieri incipio,S23,F3,,,
73v,p449_l02_o07,meditatiua. ,p449_l02_o07_a,÷ meditationes sig̃ / s. uerba,S53,F3,,,
73v,p449_l02_o10,solũ ,p449_l02_o10_a,solũ modo,S22,F2,,,
73v,p449_l03_o09,Lecturio ,p449_l03_o09_a,medit̃ legere,S23,F3,,,
73v,p449_l03_o10,dicturio ,p449_l03_o10_a,÷ dictare,S23,F3,,,
73v,p449_l04_o01,Micturio ,p449_l04_o01_a,÷ mingere,S23,F3,,,
73v,p449_l04_o02,Esurio ,p449_l04_o02_a,÷ esurire,S23,F3,,,
73v,p449_l04_o03,Frequentatiua ,p449_l04_o03_a,÷ sic̃ inchoatiua ⁊ meditatiua,S22,F3,p449_l04_o03_b,S53,F5
73v,p449_l04_o06,similiter ,,,,,p449_l04_o06_a,S53,F5
73v,p449_l05_o08,p̃cedente ,p449_l05_o08_a,ante,S22,F2,,,
73v,p449_l06_o05,desinuNT ,p449_l06_o05_a,finiuNT,S22,F2,,,
73v,p449_l06_o09,tantũmodo ,p449_l06_o09_a,solũ modo,S22,F2,,,
73v,p449_l07_o01,lectito ,p449_l07_o01_a,ł lecto freq̃t̃ lego,S23,F3,,,
74r,p449_l07_o02,"Dictito,  ",,,,,p449_l07_o02_a,S23,F3
74r,p449_l07_o03,Cantito ,p449_l07_o03_a,frequent̃ cano,S23,F3,,,
74r,p449_l07_o04,Cursito ,p449_l07_o04_a,freq̃t̃ curro,S23,F3,,,
74r,p449_l07_o05,Visito ,p449_l07_o05_a,freq̃t uideo,S23,F3,p449_l07_o05_b,S331,F5
74r,p449_l07_o06,Canto ,p449_l07_o06_a,freq̃t cano,S23,F3,,,
74r,p449_l07_o07,Dicto ,p449_l07_o07_a,÷ disco freq̃t̃,S23,F3,,,
74r,p449_l07_o08,Merso ,p449_l07_o08_a,a m̃go ũbo,S54,F3,,,
74r,p449_l07_o09,Curso ,p449_l07_o09_a,curso frẽs,S23,F3,,,
74r,p449_l07_o10,Nexo ,p449_l07_o10_a,nodo ligo freq̃ necto iũgo,S22,F3,,,
74r,p449_l08_o02,uisis ,p449_l08_o02_a,desideratiuę/formę ÷ desidero uidere,S23,F3,,,
74r,p449_l08_o09,refert ,p449_l08_o09_a,dicit,S22,F2,,,
74r,p449_l08_o10,forte ,p449_l08_o10_a,euentu,S22,F2,,,
74r,p449_l09_o04,eodem ,p449_l09_o04_a,s. libro,S3232,F2,,,
74r,p449_l10_o03,gelidos ,p449_l10_o03_a,frigidos,S22,F2,,,
74r,p449_l10_o05,fines. ,p449_l10_o05_a,t̃minos,S22,F2,,,
74r,p449_l12_o03,protheus ,p449_l12_o03_a,ꝓpũ nom̃,S553,F3,,,
74r,p449_l12_o04,pecus ,,,,,p449_l12_o04_a,S23,F5
74r,p449_l14_o02,sensu ,p449_l14_o02_a,intellectu : si quãuis habeat diriuationẽ ÷t̃minationem,S22,F2,,,
74r,p449_l14_o03,caret ,p449_l14_o03_a,si quãuis habeat diriuationẽ ÷t̃minationem,S53,F4,,,
74r,p449_l14_o08,illorũ. ,p449_l14_o08_a,seruat,S611,F2,,,
74r,p449_l15_o08,anomala ,p449_l15_o08_a,illegalia scilic&,S22,F2,,,
74r,p449_l17_o01,ea ,p449_l17_o01_a,s uerba,S3232,F2,,,
74r,p449_l17_o02,differentiis ,p449_l17_o02_a,"s. etsi inue/niant᷑ In quattuor
                        coniugationib;",S53,F4,,,
74r,p449_l17_o03,arbitror ,p449_l17_o03_a,iudico,S22,F2,,,
74r,p449_l17_o05,discernũ ,p449_l17_o05_a,distinguo,S22,F2,,,
74r,p449_l18_o01,facilior ,p449_l18_o01_a,planior leuior.,S22,F3,,,
74r,p449_l19_o04,uerbi ,p449_l19_o04_a,Alii codices habent finał uerbi,S62,F4,,,
74r,p449_l19_o05,finales ,p449_l19_o05_a,t̃minales,S22,F2,,,
74r,p449_l19_o10,Quia ,p449_l19_o10_a,penitus ad .a. ꝑtin&,S53,F4,,,
74r,p449_l19_o13,penitus ,p449_l19_o13_a,funditꝰ om̃ino,S22,F3,,,
74r,p449_l20_o06,reboo ,p449_l20_o06_a,resono,S22,F2,,,
74r,p449_l20_o11,GoωG ,p449_l20_o11_a,sono,S211,F2,,,
74r,p449_l21_o06,repperit᷑ ,p449_l21_o06_a,inuenit᷑,S22,F2,,,
74r,p449_l22_o06,Reboant ,p449_l22_o06_a,resonant,S22,F2,,,
74r,p449_l22_o10,olympus ,p449_l22_o10_a,mons excelsus,S554,F3,,,
74r,p449_l23_o02,inchoo ,p449_l23_o02_a,÷ incipio qͣsi inchao,S22,F3,,,
74r,p449_l23_o09,traductu ,p449_l23_o09_a,diriuatũ deductũ,S22,F3,,,
74r,p449_l24_o02,.gͥ. ,p449_l24_o02_a,ap,S22,F2,,,
74r,p449_l25_o04,ueteres ,p449_l25_o04_a,antiquos actores artiũ disciplinarũ / artiũ scriptores,S23,F3,,,
74r,p449_l25_o08,coniugationis. ,p449_l25_o08_a,s. sunt,S611,F2,,,
74r,p449_l26_o01,qͣ ,p449_l26_o01_a,scđa c̃iugatio,S3232,F3,,,
74r,p449_l26_o05,pͥmitiuis. ,p449_l26_o05_a,.s. uerbis,S3232,F2,p449_l26_o05_b,S53,F5
74r,p449_l26_o11,alię ,p449_l26_o11_a,c̃iugatioñ; ÷ suas ꝓprias terminationes,S53,F3,,,
74r,p449_l27_o01,diriuatiuis ,p449_l27_o01_a,s. uerbis,S53,F2,,,
74r,p449_l27_o07,frequentatiua ,p449_l27_o07_a,s. uerba possid&,S53,F3,,,
74r,p449_l27_o08,t̃tia ,p449_l27_o08_a,coniugatio,S53,F2,,,
74r,p449_l27_o09,inchoatiua ,p449_l27_o09_a,uerba possidet,S53,F4,,,
74r,p449_l28_o01,quarta ,p449_l28_o01_a,c̃iugatio,S3232,F2,,,
74r,p449_l28_o02,meditatiua ,p449_l28_o02_a,possid&,S53,F2,,,
74r,p449_l28_o05,scđa ,p449_l28_o05_a,c̃iugatio,S3232,F2,,,
74r,p449_l29_o01,specialẽ. ,p449_l29_o01_a,ꝓpriã,S22,F2,,,
74r,p449_l29_o02,ipsa ,p449_l29_o02_a,possid& coniugatio,S53,F3,,,
74r,p449_l29_o07,solũ ,p449_l29_o07_a,solũ mͦ /.s. hoc hab&,S22,F2,,,
74r,p449_l30_o03,Habeo ,p449_l30_o03_a,possideo,S22,F2,p449_l30_o03_b,S23,F5
74r,p449_l30_o04,Taceo ,p449_l30_o04_a,sileo,S22,F2,,,
74r,p449_l30_o09,Moneo ,p449_l30_o09_a,admoneo ł doceo,S22,F3,,,
74r,p449_l30_o10,Stupeo ,p449_l30_o10_a,admiror,S22,F2,,,
74r,f74r_l17_o12,Scabeo ,f74r_l17_o12_a,scalpo leꝓsus/effitio/scalpeo :,S22,F3,,,
74r,f74r_l18_o01,Arceo ,f74r_l18_o01_a,ꝓhibeo,S22,F2,,,
74r,p449_l31_o01,Censeo ,p449_l31_o01_a,iudico,S22,F2,p449_l31_o01_b,S24,F5
74r,p449_l30_o05,Candeo ,p449_l30_o05_a,albesco ł splendeo,S22,F3,,,
74r,p449_l30_o11,Areo ,p449_l30_o11_a,sicco,S22,F2,,,
74r,p449_l30_o07,Squaleo ,p449_l30_o07_a,sordido,S22,F2,,,
74r,f74r_l18_o07,Geo ,f74r_l18_o07_a,mensuro,S22,F2,f74r_l18_o07_b,S54,F4
74r,f74r_l18_o08,Scopeo ,f74r_l18_o08_a,purgo /et diriuatũ a scopis,S24,F2,,,
74r,p449_l30_o08,Timeo ,p449_l30_o08_a,uereor,S22,F2,,,
74r,p449_l30_o06,Egeo ,p449_l30_o06_a,indigeo ł opus habeo,S23,F3,,,
74r,f74r_l19_o03,Doleo ,f74r_l19_o03_a,odorẽ habe,S23,F3,,,
74r,p449_l31_o02,Pateo ,p449_l31_o02_a,aperio,S22,F2,,,
74r,p449_l31_o03,Caueo. ,p449_l31_o03_a,p̃uideo,S22,F2,,,
74r,p449_l31_o04,Eodẽ ,p449_l31_o04_a,sicuti illa uerba in .eo. desinentia,S53,F3,,,
74r,p449_l33_o02,polliceor ,p449_l33_o02_a,spondeo ł ꝓmitto,S22,F3,,,
74r,p449_l33_o03,Liqueor ,p449_l33_o03_a,liquorẽ facio,S23,F3,,,
74r,p449_l33_o04,Medeor ,,,,,p449_l33_o04_a,S23,F4
74r,p449_l33_o06,Mereor ,p449_l33_o06_a,tristor,S22,F2,p449_l33_o06_b,S554,F5
74r,p449_l33_o05,Reor ,p449_l33_o05_a,estimo,S22,F2,,,
74r,p449_l33_o07,Vereor ,p449_l33_o07_a,paueo timeo,S22,F3,p449_l33_o07_b,S24,F5
74r,p449_l33_o09,Misereor ,p449_l33_o09_a,miscđiã habeo,S23,F2,p449_l33_o09_b,S331,F5
74r,p449_l33_o10,Fateor ,p449_l33_o10_a,dico ł credo,S22,F3,,,
74r,p450_l01_o01,Profiteor ,p450_l01_o01_a,ualde fateor,S23,F3,,,
74r,p450_l01_o02,Tueor ,p450_l01_o02_a,uideo/ł defendo,S22,F3,,,
74r,p450_l01_o03,Intueor ,p450_l01_o03_a,inspitio cerno,S22,F3,,,
74r,f74r_l22_o05,Confiteor. ,f74r_l22_o05_a,÷ ualde credo,S23,F3,,,
74r,p450_l01_o04,Notant᷑ ,p450_l01_o04_a,excipiunt᷑,S22,F2,,,
74v,p450_l01_o07,Vt  ,,,,,p450_l01_o07_a,S4181,F5
74v,p450_l01_o08,beo ,p450_l01_o08_a,beatũ fatio,S23,F3,,,
74v,p450_l01_o09,Creo ,p450_l01_o09_a,condo,S22,F2,,,
74v,p450_l02_o01,Meo ,p450_l02_o01_a,transeo/ãbulo,S22,F3,,,
74v,p450_l02_o03,Nauseo ,p450_l02_o03_a,fastidio,S22,F2,,,
74v,p450_l02_o04,Enucleo ,p450_l02_o04_a,aperio /manifesto,S22,F3,p450_l02_o04_b,S54,F4
74v,p450_l02_o02,Comeo ,,,,,p450_l02_o02_a,S5,F5
74v,p450_l02_o05,Laqueo ,p450_l02_o05_a,irretio,S22,F2,p450_l02_o05_b,S23,F5
74v,f74r_l01_o09,Illaqueo ,f74r_l01_o09_a,Retineo,S22,F2,,,
74v,p450_l02_o06,Screo ,p450_l02_o06_a,spuo,S22,F2,p450_l02_o06_b,S54,F5
74v,p450_l02_o07,Quartę ,p450_l02_o07_a,.s. notant᷑ uerba,S53,F3,,,
74v,p450_l02_o09,Eo ,p450_l02_o09_a,ãbulor,S22,F2,,,
74v,p450_l02_o11,queo ,p450_l02_o11_a,possũ,S22,F2,,,
74v,p450_l03_o04,(e)is ,p450_l03_o04_a,eo et q̃o,S53,F3,,,
74v,p450_l03_o07,illis ,p450_l03_o07_a,s. ex superiorib; ÷ beo,S53,F3,,,
74v,p450_l05_o03,Imbuo ,p450_l05_o03_a,+Imbibo atq; immolo. ut uirgłs nrĩs ab ouilib/imbu& agnꝰ  /doceo c̃secro,S4181,F4,,,
74v,p450_l05_o04,Tribuo ,p450_l05_o04_a,dono do,S22,F3,p450_l05_o04_b,S24,F5
74v,p450_l05_o06,Induo ,p450_l05_o06_a,cirũdo,S22,F2,,,
74v,p450_l05_o07,Arguo ,p450_l05_o07_a,Rep̃hendo,S22,F2,p450_l05_o07_b,S23,F3
74v,p450_l05_o08,Fluo ,p450_l05_o08_a,decurro/mano,S22,F3,,,
74v,p450_l05_o09,Polluo ,p450_l05_o09_a,contamino : coinqͥno,S22,F3,,,
74v,p450_l05_o10,Pluo ,p450_l05_o10_a,humecto,S22,F2,p450_l05_o10_b,S53,F4
74v,p450_l05_o11,Alluo ,p450_l05_o11_a,mundo,S22,F2,,,
74v,p450_l06_o01,Innuo ,p450_l06_o01_a,ł nutũ facio/signo,S23,F3,,,
74v,p450_l06_o02,Minuo ,p450_l06_o02_a,subtraho,S22,F2,,,
74v,p450_l06_o03,spuo ,p450_l06_o03_a,reicio,S22,F2,,,
74v,p450_l06_o04,Ruo ,p450_l06_o04_a,cado,S22,F2,,,
74v,p450_l06_o05,Suo ,p450_l06_o05_a,c̃suo uestim̃ta,S23,F3,,,
74v,p450_l06_o06,Metuo ,p450_l06_o06_a,ma?,S22,F2,,,
74v,p450_l06_o07,Fatuo ,p450_l06_o07_a,hebeo tardo,S22,F3,p450_l06_o07_b,S5,F5
74v,p450_l06_o09,Liquor ,,,,,p450_l06_o09_a,S5,F5
74v,p450_l06_o08,Loquor ,p450_l06_o08_a,fateor,S22,F2,,,
74v,p450_l06_o10,Fruor ,p450_l06_o10_a,infructꝰ a fruendo,S54,F3,p450_l06_o10_b,S23,F4
74v,p450_l07_o03-04,exceptis paucis ,,,,,p450_l07_o03-04_a,S53,F5
74v,p450_l08_o01,ratio ,p450_l08_o01_a,regula,S22,F2,,,
74v,p450_l08_o04,qua ,p450_l08_o04_a,ratione,S3232,F2,,,
74v,p450_l08_o08,Vacuo ,p450_l08_o08_a,uacuus,S24,F2,,,
74v,p450_l08_o09,Viduo ,p450_l08_o09_a,desero ł cibo,S22,F3,,,
